OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
HM_1	0	Timeseabed	HM_1_L_MAH00117_3.MP4	5928	3.29663				0
HM_10	0	Timeseabed	HM_10_L_MAH00058119.MP4	8771	4.87765	HM_10_L_MAH00058119.MP4	62742	34.89152	1
HM_100	0	Timeseabed	HM_100_R_MAH000892.MP4	6943	3.86108				0
HM_101	0	Timeseabed	HM_101_L_MAH000863.MP4	10665	5.93093				0
HM_102	0	Timeseabed	HM_102_L_MAH000832.MP4	17309	9.62573				0
HM_103	0	Timeseabed	HM_103_L_MAH001031.MP4	7019	3.90334				0
HM_104	0	Timeseabed	HM_104_L_MAH001091.MP4	23639	13.14591				0
HM_105	0	Timeseabed	HM_105_L_MAH001111.MP4	8277	4.60293	HM_105_L_MAH001111.MP4	62251	34.61847	1
HM_107	0	Timeseabed	HM_107_L_MAH001151.MP4	15107	8.40117	HM_107_L_MAH001163.MP4	5904	38.43562	1
HM_108	0	Timeseabed	HM_108_L_MAH000883.MP4	9802	5.45100	HM_108_L_MAH000894.MP4	572	35.47043	1
HM_110	0	Timeseabed	HM_110_L_MAH000703.MP4	29603	16.46256	HM_110_L_MAH000714.MP4	20392	46.49256	1
HM_111	0	Timeseabed	HM_111_L_MAH000692.MP4	13125	7.29896				0
HM_112	0	Timeseabed	HM_112_L_MAH000723.MP4	8976	4.99165	HM_112_L_MAH000723.MP4	62980	35.02388	1
HM_113	0	Timeseabed	HM_113_L_MAH000702.MP4	6999	3.89222	HM_113_L_MAH000702.MP4	60973	33.90776	1
HM_114	0	Timeseabed	HM_114_L_MAH000753.MP4	7558	4.20309	HM_114_L_MAH000753.MP4	63210	35.15178	1
HM_115	0	Timeseabed	HM_115_L_MAH000712.MP4	13408	7.45634	HM_115_L_MAH000725.MP4	4165	37.46854	1
HM_116	0	Timeseabed	HM_116_L_MAH001131.MP4	4797	2.66766	HM_116_L_MAH001131.MP4	59571	33.12810	1
HM_117	0	Timeseabed	HM_117_L_MAH001051.MP4	3987	2.21722	HM_117_L_MAH001051.MP4	57980	32.24332	1
HM_118	0	Timeseabed	HM_118_L_MAH000882.MP4	6539	3.63641	HM_118_L_MAH000882.MP4	60500	33.64472	1
HM_119	0	Timeseabed	HM_119_L_MAH000903.MP4	6851	3.80992	HM_119_L_MAH000903.MP4	60850	33.83936	1
HM_120	0	Timeseabed	HM_120_L_MAH000913.MP4	4473	2.48748	HM_120_L_MAH000913.MP4	58437	32.49746	1
