OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
S10_D2	3	S10_D2_L1.1.MP4	41967	S10_D2_R1.1.MP4	41827	23.33832	Timeseabed	16.16837	197.67089000000001	185.0434	-2509.50248	1.39819	1.3952	9.27876	4.26559	2524.06765	6.07304	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S10_D3	25	S10_D3_L1.1.MP4	33343	S10_D3_R1.1.MP4	33399	18.54241	Timeseabed	15.6295	524.5933	371.5972	-3884.47348	3.40368	3.08751	21.96237	3.06686	3937.31086	8.89911	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S10_D4	1	S10_D4_L1.1.MP4	5042	S10_D4_R1.1.MP4	4810	2.80391		-1	-453.09991	-315.35324	-4406.47187	3.50327	2.88494	28.32279	0.71316	4440.91675	7.20554	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S10_D5	1	S10_D5_L1.1.MP4	4024	S10_D5_R.1.MP4	3724	2.23779	Timeseabed	0	879.85445	226.95225	-4186.83532	5.58584	2.58994	25.77343	0.5854	4284.30171	12.13333	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S11_D1	2	S11_D1_L1.1.MP4	9083	S11_D1_R1.1.MP4	10843	5.05116	Timeseabed	0.06451	-171.3528	414.13327	-5452.16645	2.90545	4.65738	42.73766	3.09386	5470.55638	3.98164	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S11_D3	1	S11_D3_L3.1.MP4	15222	S11_D3_R3.1.MP4	14625	8.46512	Timeseabed	0	-31.91384	-142.53437	-1689.94025	0.84592	0.88457	4.3413	0.27613	1696.24073	5.60916	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S12_D1	41	S12_D1_L1.1.MP4	44147	S12_D1_R1.1.MP4	44087	24.55064	Timeseabed	21.35244	107.09398	1682.28589	-4937.42399	2.48436	12.36602	35.10327	0.54867	5217.25125	18.42509	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S12_D2	38	S12_D2_L2.1.MP4	54099	S12_D2_R2.1.MP4	53989	30.08506	Timeseabed	27.82391	-790.40338	-48.44141	-4781.03754	5.72783	2.31385	33.13576	0.31735	4846.17416	9.43331	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S12_D3	42	S12_D3_L3.1.MP4	53709	S12_D3_R3.1.MP4	53861	29.86817	Timeseabed	28.39559	-305.98091	43.87093	-2213.68977	1.41933	1.10549	7.24593	0.67963	2235.16696	7.87638	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S13_D1	10	S13_D1_L1.1.MP4	28000	S13_D1_R1.1.MP4	27572	15.57111	Timeseabed	7.26615	-507.31028	256.64543	-2493.18655	2.1172	1.53308	9.17554	1.24516	2557.18787	12.79545	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S13_D2	24	S13_D2_L2.1.MP4	41619	S13_D2_R2.1.MP4	41416	23.14479	Timeseabed	19.05125	1177.62098	-939.58888	-3130.68825	5.19276	4.41989	14.2822	0.53261	3474.30962	25.77595	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S13_D3	3	S13_D3_L3.1.MP4	6093	S13_D3_R3.1.MP4	5685	3.38838	Timeseabed	0.15794	229.26014	-173.63538	-5215.65292	3.03055	2.71293	39.44911	1.22811	5223.57587	3.46823	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S14_D1	5	S14_D1_L1.1.MP4	14159	S14_D1_R1.1.MP4	13743	7.87398	Timeseabed	4.43443	-163.22876	-570.01948	-4814.06643	2.56106	4.20329	33.64575	0.41163	4850.44343	7.78464	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S14_D2	7	S14_D2_L2.1.MP4	5303	S14_D2_R2.1.MP4	5100	2.94906	Timeseabed	1.10666	649.23675	216.93403	-4445.25429	4.56809	2.86421	28.71911	0.93308	4497.64988	8.50812	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S14_D3	12	S14_D3_L3.1.MP4	20735	S14_D3_R3.1.MP4	20664	11.53096	Timeseabed	9.13134	1641.85442	474.78524	-3916.52837	8.87782	3.36801	22.05382	3.49591	4273.2074	23.45177	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S15_D1	8	S15_D1_L1.MP4	41972	S15_D1_R1.MP4	41878	23.3411	Timeseabed	17.77276	-475.9495	-97.15275	-3516.89427	2.84802	1.75056	17.95303	2.3831	3550.28335	7.89019	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S15_D2_Repeat	2	S15_D2_Repeat_L2.1.MP4	3871	S15_D2_Repeat_R2.1.MP4	2788	2.15271	Timeseabed	0.39095	2268.2543	709.69026	-5119.63537	15.85855	5.85557	37.17887	15.4293	5644.40468	24.78892	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S15_D3	18	S15_D3_L1.MP4	10698	S15_D3_R1.MP4	10668	5.94928	Timeseabed	2.84506	2017.44069	132.56911	-4719.80186	13.31886	2.69809	32.22077	0.48933	5134.60525	23.14657	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
S16_D1	61	S16_D1_L2.MP4	12580	S16_D1_R2.MP4	12650	42.14877	Timeseabed	36.32796	159.35531	1274.55775	-4268.10254	2.26919	8.26245	26.36815	0.84217	4457.1954	16.32623	NA	NA	NA	NA	0	NA	NA	Vis	NA	NA
