OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
S10_D2	0	0	1499.27011	427.76923	1023.38896	445.73077
S10_D2	0	1	1090.20288	341.80769	682.60864	369.69231
S10_D2	1	0	478.96038	358.96154	293.30612	408.80769
S10_D2	1	1	290.53301	219.34615	23.62545	285.57692
S10_D2	2	0	672.50780	217.11538	413.48980	263.57692
S10_D2	2	1	544.03241	26.53846	136.56663	98.84615
S10_D2	3	0	1044.09724	423.38462	1100.54142	440.96154
S10_D2	4	0	1361.50540	334.30769	717.35654	355.30769
S10_D2	4	1	762.94958	79.03846	216.57983	139.92308
S10_D2	5	0	1226.37335	388.11538	587.89796	409.96154
S10_D2	5	1	1226.70948	60.57692	569.20288	88.84615
S10_D2	6	0	598.62665	624.65385	478.72749	646.84615
S10_D2	6	1	358.33854	566.38462	256.30252	590.30769
S10_D2	7	0	1001.79712	317.80769	612.98319	349.23077
S10_D2	7	1	553.86435	377.11538	221.84874	420.34615
S10_D2	8	0	1199.51261	779.34615	892.81753	806.96154
S10_D2	8	1	1339.53661	821.46154	1094.49820	857.15385
S10_D2	9	0	844.53902	73.84615	460.47179	125.76923
S10_D2	9	1	550.79952	21.34615	227.09844	98.07692
S10_D2	10	0	867.62425	232.73077	806.03241	265.38462
S10_D2	10	1	689.56903	197.53846	642.38295	242.30769
S10_D2	11	0	1056.36615	165.23077	1008.46699	180.50000
S10_D2	11	1	914.61345	143.88462	859.79952	170.69231
S10_D2	12	0	1572.10444	324.84615	1554.46339	311.46154
S10_D2	12	1	1725.38175	259.65385	1733.09484	226.65385
S10_D2	13	0	1217.68067	239.03846	1125.15606	243.38462
S10_D2	13	1	1351.94238	236.15385	1293.41537	230.69231
S10_D3	0	0	1336.01681	733.26923	534.54382	739.61538
S10_D3	0	1	1397.67347	734.42308	593.89556	741.92308
S10_D3	1	0	850.33733	833.96154	777.30372	838.73077
S10_D3	1	1	761.02161	840.88462	692.02161	845.65385
S10_D3	2	0	1625.09484	747.88462	1485.67587	755.76923
S10_D3	2	1	1513.88235	773.84615	1377.92077	783.46154
S10_D3	3	0	848.40936	896.84615	658.57743	898.84615
S10_D3	3	1	971.72269	893.96154	755.96038	902.88462
