"Campaign.ID","Sample","Latitude","Longitude","Date","Time","Status","Depth","Successful.count","Successful.length","max.distance","Observer.count","Observer.length","Zone","Observer","Site","Location"
"2022_GSR_StereoBRUVs","S2_D1",-34.5762,150.8844,20220516,"10:16:00","Fished",14.8,"Yes","Yes",NA,"Adrian Ferguson","Adrian Ferguson","OUTSIDE","Adrian Ferguson","S2","Bass Point"
"2022_GSR_StereoBRUVs","S2_D2",-34.5742,150.8886,20220516,"10:24:00","Fished",24.7,"Yes","Yes",NA,"Adrian Ferguson","Adrian Ferguson","OUTSIDE","Adrian Ferguson","S2","Bass Point"
"2022_GSR_StereoBRUVs","S2_D3",-34.573,150.8923,20220516,"10:29:00","Fished",29.2,"Yes","No",NA,"Adrian Ferguson","","OUTSIDE","Adrian Ferguson","S2","Bass Point"
"2022_GSR_StereoBRUVs","S1_D1",-34.589,150.902,20220516,"10:40:00","Fished",22.7,"Yes","Yes",NA,"Josh Moloney","Josh Moloney","OUTSIDE","Josh Moloney","S1","Bass Point"
"2022_GSR_StereoBRUVs","S1_D2",-34.5863,150.9044,20220516,"10:45:00","Fished",28.3,"Yes","Yes",NA,"Josh Moloney","Josh Moloney","OUTSIDE","Josh Moloney","S1","Bass Point"
"2022_GSR_StereoBRUVs","S1_D3",-34.585,150.9103,20220516,"10:52:00","Fished",24.3,"Yes","Yes",NA,"Josh Moloney","Josh Moloney","OUTSIDE","Josh Moloney","S1","Bass Point"
"2022_GSR_StereoBRUVs","S3_D1",-34.5315,150.9068,20220517,"8:33:00","Fished",32,"Yes","Yes",NA,"Adrian Ferguson","Adrian Ferguson","OUTSIDE","Adrian Ferguson","S3","Bass Point"
"2022_GSR_StereoBRUVs","S3_D2",-34.5289,150.9047,20220517,"8:41:00","Fished",27,"Yes","No",NA,"Adrian Ferguson","","OUTSIDE","Adrian Ferguson","S3","Bass Point"
"2022_GSR_StereoBRUVs","S3_D3",-34.5281,150.9002,20220517,"8:49:00","Fished",22,"Yes","Yes",NA,"Adrian Ferguson","Adrian Ferguson","OUTSIDE","Adrian Ferguson","S3","Bass Point"
"2022_GSR_StereoBRUVs","S4_D3",-34.4969,150.9407,20220517,"9:40:00","Fished",29.8,"Yes","Yes",NA,"Adrian Ferguson","Adrian Ferguson","OUTSIDE","Adrian Ferguson","S4","Five islands"
"2022_GSR_StereoBRUVs","S4_D2",-34.5,150.9434,20220517,"9:51:00","Fished",35,"Yes","Yes",NA,"Josh Moloney","Josh Moloney","OUTSIDE","Josh Moloney","S4","Five islands"
"2022_GSR_StereoBRUVs","S4_D1",-34.5035,150.9455,20220517,"10:01:00","Fished",40.3,"Yes","Yes",NA,"Josh Moloney","Josh Moloney","OUTSIDE","Josh Moloney","S4","Five islands"
"2022_GSR_StereoBRUVs","S5_D1",-34.4647,150.952,20220517,"11:09:00","Fished",32.9,"Yes","Yes",NA,"Adrian Ferguson","Adrian Ferguson","OUTSIDE","Adrian Ferguson","S5","Five islands"
"2022_GSR_StereoBRUVs","S5_D2",-34.4621,150.9479,20220517,"11:22:00","Fished",29.8,"Yes","Yes",NA,"Jason Delamont","Jason Delamont","OUTSIDE","Jason Delamont","S5","Five islands"
"2022_GSR_StereoBRUVs","S5_D3",-34.4594,150.947,20220517,"11:27:00","Fished",29.8,"Yes","Yes",NA,"Josh Moloney","Josh Moloney","OUTSIDE","Josh Moloney","S5","Five islands"
"2022_GSR_StereoBRUVs","S6_D1",-34.4604,150.9272,20220517,"11:43:00","Fished",19.5,"Yes","Yes",NA,"Josh Moloney","Josh Moloney","OUTSIDE","Josh Moloney","S6","Five islands"
"2022_GSR_StereoBRUVs","S6_D2",-34.4532,150.9266,20220517,"11:53:00","Fished",19.5,"Yes","No",NA,"Adrian Ferguson","","OUTSIDE","Adrian Ferguson","S6","Five islands"
