OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
S10_D2	1.09	2024 04 05 15:18:08	F:\BRUVs_HSMB_2022\	S10_D2.EMObs
S10_D3	1.09	2024 04 05 15:18:08	E:\HSMB_BRUVs_2022\	S10_D3.EMObs
S10_D4	1.09	2024 04 05 15:18:08	F:\BRUVs_HSMB_2022\	S10_D4.EMObs
S10_D5	1.09	2024 04 05 15:18:08	E:\HSMB_BRUVs_2022\	S10_D5.EMObs
S11_D1	1.09	2024 04 05 15:18:08	E:\HSMB_BRUVs_2022\	S11_D1.EMObs
S11_D2	1.09	2024 04 05 15:18:08	F:\BRUVs_HSMB_2022\	S11_D2.EMObs
S11_D3	1.09	2024 04 05 15:18:08	E:\HSMB_BRUVs_2022\	S11_D3.EMObs
S12_D1	1.09	2024 04 05 15:18:08	E:\HSMB_BRUVs_2022\	S12_D1.EMObs
S12_D2	1.09	2024 04 05 15:18:08	Z:\Greater Sydney BRUVs\2022_HSMB_BRUVs\	S12_D2.EMObs
S12_D3	1.09	2024 04 05 15:18:08	E:\HSMB_BRUVs_2022\	S12_D3.EMObs
S13_D1	1.09	2024 04 05 15:18:08	E:\HSMB_BRUVs_2022\	S13_D1.EMObs
S13_D2	1.09	2024 04 05 15:18:08	E:\HSMB_BRUVs_2022\	S13_D2.EMObs
S13_D3	1.09	2024 04 05 15:18:08	Z:\Greater Sydney BRUVs\2022_HSMB_BRUVs\	S13_D3.EMObs
S14_D1	1.09	2024 04 05 15:18:08	Z:\Greater Sydney BRUVs\2022_HSMB_BRUVs\	S14_D1.EMObs
S14_D2	1.09	2024 04 05 15:18:08	Z:\Greater Sydney BRUVs\2022_HSMB_BRUVs\	S14_D2.EMObs
S14_D3	1.09	2024 04 05 15:18:08	E:\HSMB_BRUVs_2022\	S14_D3.EMObs
S15_D1	1.09	2024 04 05 15:18:08	F:\BRUVs_HSMB_2022\	S15_D1.EMObs
S15_D2_Repeat	1.09	2024 04 05 15:18:08	E:\HSMB_BRUVs_2022\	S15_D2_Repeat.EMObs
S15_D3	1.09	2024 04 05 15:18:08	E:\HSMB_BRUVs_2022\	S15_D3.EMObs
S16_D1	1.09	2024 04 05 15:18:08	E:\HSMB_BRUVs_2022\	S16_D1.EMObs
S16_D2	1.09	2024 04 05 15:18:08	E:\HSMB_BRUVs_2022\	S16_D2.EMObs
S16_D3	1.09	2024 04 05 15:18:08	Z:\Greater Sydney BRUVs\2022_HSMB_BRUVs\	S16_D3.EMObs
S17_D1	1.09	2024 04 05 15:18:08	Z:\Greater Sydney BRUVs\2022_HSMB_BRUVs\	S17_D1.EMObs
S17_D2	1.09	2024 04 05 15:18:08	Z:\Greater Sydney BRUVs\2022_HSMB_BRUVs\	S17_D2.EMObs
S17_D3	1.09	2024 04 05 15:18:08	Z:\Greater Sydney BRUVs\2022_HSMB_BRUVs\	S17_D3.EMObs
S18_D1	1.09	2024 04 05 15:18:08	Z:\Greater Sydney BRUVs\2022_HSMB_BRUVs\	S18_D1.EMObs
S18_D2	1.09	2024 04 05 15:18:08	E:\HSMB_BRUVs_2022\	S18_D2.EMObs
S18_D3	1.09	2024 04 05 15:18:08	Z:\Greater Sydney BRUVs\2022_HSMB_BRUVs\	S18_D3.EMObs
S19_D1_Repeat	1.09	2024 04 05 15:18:08	E:\HSMB_BRUVs_2022\	S19_D1_Repeat.EMObs
S19_D2	1.09	2024 04 05 15:18:08	Z:\Greater Sydney BRUVs\2022_HSMB_BRUVs\	S19_D2.EMObs
S19_D3_Repeat	1.09	2024 04 05 15:18:08	E:\HSMB_BRUVs_2022\	S19_D3_Repeat.EMObs
S1_D1	1.09	2024 04 05 15:18:08	Z:\Greater Sydney BRUVs\2022_HSMB_BRUVs\	S1_D1.EMObs
S1_D2	1.09	2024 04 05 15:18:08	F:\BRUVs_HSMB_2022\	S1_D2.EMObs
S1_D3	1.09	2024 04 05 15:18:08	Z:\Greater Sydney BRUVs\2022_HSMB_BRUVs\	S1_D3.EMObs
S20_D1	1.09	2024 04 05 15:18:08	Z:\Greater Sydney BRUVs\2022_HSMB_BRUVs\	S20_D1.EMObs
S20_D2	1.09	2024 04 05 15:18:08	E:\HSMB_BRUVs_2022\	S20_D2.EMObs
S20_D3_Repeat	1.09	2024 04 05 15:18:08	Z:\Greater Sydney BRUVs\2022_HSMB_BRUVs\	S20_D3_Repeat.EMObs
S21_D1	1.09	2024 04 05 15:18:08	E:\HSMB_BRUVs_2022\	S21_D1.EMObs
S21_D2	1.09	2024 04 05 15:18:08	Z:\Greater Sydney BRUVs\2022_HSMB_BRUVs\	S21_D2.EMObs
S21_D3	1.09	2024 04 05 15:18:08	Z:\Greater Sydney BRUVs\2022_HSMB_BRUVs\	S21_D3.EMObs
S22_D1	1.09	2024 04 05 15:18:08	E:\HSMB_BRUVs_2022\	S22_D1.EMObs
