Sample,Family,Genus,Species,Count
FSPAM3,Ariidae,Neoarius,graeffei,2
FSUAM2,Ariidae,Neoarius,graeffei,1
PSPCA3,Ariidae,Neoarius,graeffei,1
PSPLA1,Ariidae,Neoarius,graeffei,1
PSPLA2,Ariidae,Neoarius,graeffei,1
PSPLA5,Ariidae,Neoarius,graeffei,1
PSUCA1,Ariidae,Neoarius,graeffei,1
PSUMA1,Ariidae,Neoarius,graeffei,1
PSUMA3,Ariidae,Neoarius,graeffei,1
PSUMA5,Ariidae,Neoarius,graeffei,1
PWILO1,Ariidae,Neoarius,graeffei,1
PWIPE7,Ariidae,Neoarius,graeffei,1
FSPWA1,Atherinidae,Atherinomorus,vaigiensis,150
FSPWA8,Atherinidae,Atherinomorus,vaigiensis,21
FSUWA6,Atherinidae,Atherinomorus,vaigiensis,50
FSUWA8,Atherinidae,Atherinomorus,vaigiensis,7
FSUWA2,Belonidae,Tylosurus,gavialoides,1
PWIPE6,Belonidae,Tylosurus,gavialoides,2
FSPAM1,Blenniidae,Petroscrites,variabilis,1
FSPHO3,Blenniidae,Petroscrites,variabilis,1
FSPPA6,Blenniidae,Petroscrites,variabilis,2
FSPWA1,Blenniidae,Petroscrites,variabilis,1
FSPWA4,Blenniidae,Petroscrites,variabilis,1
FSUHO1,Blenniidae,Petroscrites,variabilis,3
FSUHO2,Blenniidae,Petroscrites,variabilis,1
FSUWA3,Blenniidae,Petroscrites,variabilis,2
FSUWA5,Blenniidae,Petroscrites,variabilis,1
FSUWA6,Blenniidae,Petroscrites,variabilis,2
FSUWA7,Blenniidae,Petroscrites,variabilis,1
FSUWA8,Blenniidae,Petroscrites,variabilis,1
FWIAM2,Blenniidae,Petroscrites,variabilis,2
FWIAM7,Blenniidae,Petroscrites,variabilis,1
FWIHO1,Blenniidae,Petroscrites,variabilis,2
FWIHO2,Blenniidae,Petroscrites,variabilis,1
FWIHO6,Blenniidae,Petroscrites,variabilis,3
FWIHO8,Blenniidae,Petroscrites,variabilis,4
FWIWA1,Blenniidae,Petroscrites,variabilis,6
FWIWA3,Blenniidae,Petroscrites,variabilis,1
FWIWA5,Blenniidae,Petroscrites,variabilis,1
