OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
S101_D1	0	0	1736.15950	586.14552	1862.58132	552.73881
S101_D1	0	1	1608.22665	652.13433	1713.99790	632.83209
S101_D1	1	0	1301.68248	717.48139	510.12003	670.61042
S101_D1	1	1	1359.29588	723.51117	569.74320	675.97022
S101_D1	2	0	1616.78909	683.95896	1651.54250	658.91791
S101_D1	2	1	1747.74397	682.95149	1809.69570	655.89552
S101_D1	3	0	1491.56453	646.31343	1375.15740	618.16418
S101_D1	3	1	1617.48269	611.55597	1524.74816	573.83582
S101_D1	4	0	1604.21196	735.32463	1712.99056	720.79104
S101_D1	4	1	1754.81007	784.69030	1911.43757	782.75000
S101_D1	5	0	1463.80273	870.14925	1263.53410	854.17910
S101_D1	5	1	1286.00630	840.42910	1103.86988	824.45896
S101_D1	6	0	934.57608	899.57090	820.21196	882.11940
S101_D1	6	1	1268.49003	839.63806	1259.32214	832.76493
S101_D1	7	0	1005.61175	872.07090	739.68520	846.91791
S101_D1	7	1	767.87828	1002.53731	447.55509	960.76119
S101_D1	8	0	1334.54250	579.67537	1163.26233	546.27612
S101_D1	8	1	1156.74607	537.36194	952.22350	510.51119
S101_D1	9	0	484.79224	334.88806	679.34732	351.94030
S101_D1	9	1	434.92865	337.91045	628.98006	358.99254
S101_D1	10	0	712.79833	92.45658	925.83391	103.17618
S101_D1	11	0	550.42183	949.17164	366.59077	910.05970
S101_D1	11	1	707.06401	925.49627	559.49738	891.92537
S101_D1	12	0	1547.60860	717.00000	1626.68940	692.24254
S101_D1	12	1	1612.07870	758.30597	1684.61175	748.15672
S101_D1	13	0	1226.89927	846.14925	1040.60126	825.35821
S101_D1	13	1	1778.97167	983.42537	1321.47219	964.69776
S101_D1	14	0	1543.25289	668.37313	1377.37041	637.08582
S101_D1	14	1	1734.14481	569.13806	1646.83526	520.72388
S101_D1	15	0	1804.65897	751.74254	1695.36201	725.81716
S101_D1	15	1	1873.66212	672.65672	1834.87933	636.15299
S101_D1	16	0	1087.82581	792.09701	955.66737	775.05970
S101_D1	16	1	775.88458	733.80970	423.11752	707.20149
S101_D1	17	0	99.48478	808.01119	172.77859	773.31343
S101_D1	17	1	461.62539	726.91045	504.19517	709.84328
S101_D1	18	0	789.21826	525.07463	761.21826	514.51119
S101_D1	18	1	662.79643	482.25746	606.08709	480.25746
S101_D1	19	0	1462.84155	557.77612	1395.14586	522.73881
S101_D1	19	1	1730.79538	591.52612	1671.66212	547.42164
S101_D1	20	0	962.46800	812.29478	728.18468	787.21269
S101_D1	20	1	685.44806	931.17537	434.54355	891.48507
S101_D1	21	0	477.07240	623.54104	329.42497	616.90299
S101_D1	21	1	1730.61910	933.70522	1236.70829	913.72388
S101_D1	22	0	1228.14481	818.02985	1018.05352	797.56343
S101_D1	22	1	1288.08185	789.82090	1055.32529	768.34701
S101_D1	23	0	979.88772	638.89179	511.91291	609.76493
S101_D1	23	1	923.98006	540.66418	331.59811	515.56716
S101_D1	24	0	943.21826	809.67910	625.68520	780.13433
S101_D1	24	1	897.88772	882.21642	501.27807	845.11567
