OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
S101_D1	Jason Del	23.2																	
S101_D2	Jason Del	21.1																	
S101_D3	Jason Del	24.0																	
S101_D4	Jason Del	26.5																	
S102_D1	Jason Del	25.1																	
S102_D2	Jason Del	27.1																	
S102_D3	Jason Del	25.0																	
S102_D4	Jason Del	22.8																	
S103_D1	Jason Del	20.5																	
S103_D2	Jason Del	20.0																	
S103_D3	Jason Del	24.5																	
S103_D4	Jason Del	27.4																	
S104_D1	Jason Del	22.8																	
S104_D2	Jason Del	20.2																	
S104_D3	Jason Del	21.4																	
S104_D4	Jason Del	28.4																	
S10_D1	Jason Del	26.2																	
S10_D2	Jason Del	22																	
S10_D3	Jason Del	24.8																	
S10_D3_R	Jason Del	23.9																	
S10_D4_R	Jason Del	22.1																	
S11_D1	Jason Del	27.5																	
S11_D2	Jason Del	30.9																	
S11_D3_R	Jason Del	26.1																	
S11_D4	Jason Del	38.1																	
S12_D3	Jason Del	24.7																	
S12_D4	Jason Del	25.1																	
S13_D1	Jason Del	26.1																	
S13_D2	Jason Del	22.9																	
S13_D3	Jason Del	26.8																	
S13_D4	Jason Del	22.6																	
S18_D1_R	Jason Del	20																	
S18_D3_R	Jason Del	23.5																	
S18_D4	Jason Del	28.2																	
S19_D1	Jason Del	26.3																	
S19_D2	Jason Del	29.1																	
S19_D3_R	Jason Del	23.9																	
S19_D4_R	Jason Del	22.1																	
S201_D1	Jason Del	23.2																	
S201_D2	Jason Del	22.5																	
S201_D3	Jason Del	21.2																	
S201_D4	Jason Del	24.5																	
S202_D1	Jason Del	28.6																	
S202_D2	Jason Del	23.5																	
S202_D3	Jason Del	20.8																	
S202_D4	Jason Del	26.0																	
S203_D1	Jason Del	30.9																	
S203_D2	Jason Del	30.0																	
S203_D3	Jason Del	20.2																	
S203_D4	Jason Del	19.1																	
S203_D5	Jason Del	28.7																	
S204_D1	Jason Del	23.7																	
S204_D2	Jason Del	27.8																	
S204_D3	Jason Del	30.7																	
S204_D4	Jason Del	30.7																	
S6_D1	Jason Del	27.3																	
S6_D3	Jason Del	29.1																	
S6_D4	Jason Del	29.5																	
S7_D1	Jason Del	28.2																	
S7_D2	Jason Del	29.6																	
S7_D3	Jason Del	22.0																	
S7_D4	Jason Del	30.8																	
S8_D1_R	Jason Del	24.2																	
S8_D2_R	Jason Del	31.1																	
S8_D3	Jason Del	28.3																	
S8_D4_R	Jason Del	27.1																	
S9_D2_R	Jason Del	29.8																	
S9_D3	Jason Del	29.5																	
S9_D4_R	Jason Del	31.1																	
