OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
S101_D1	0	S101_D1_L_MAH00268.MP4	23499	S101_D1_R_MAH00250.MP4	23415	13.06805		-1	226.66918	6.83106	3.51336	2701.38206	28.29414	36.46524	34.99841	1279.21414	-56.24437	-2378.63675	Cheilodactylidae	Morwong	fuscus	37377009	1	AD	Passing		NA	NA
S101_D1	2	S101_D1_L_MAH00268.MP4	26887	S101_D1_R_MAH00250.MP4	26803	14.95216	Timeseabed	1.87576	176.91901	4.97601	1.80794	2339.00274	28.01257	18.49518	5.25525	1089.77185	-138.58464	-2064.97589	Mullidae	Upeneichthys	lineatus	37355001	1	AD	Passing		NA	NA
S101_D1	3	S101_D1_L_MAH00268.MP4	31547	S101_D1_R_MAH00250.MP4	31463	17.54364	Timeseabed	4.46724	167.67543	2.36707	1.40993	1814.00894	21.49404	0.56034	18.47138	662.31381	-55.80759	-1687.85496	Pomacentridae	Chromis	hypsilepis	37372002	1	AD	Passing		NA	NA
S101_D1	4	S101_D1_L_MAH00268.MP4	32395	S101_D1_R_MAH00250.MP4	32311	18.01522	Timeseabed	4.93882	253.23663	6.31327	1.80875	2759.38749	29.46512	14.92948	15.32558	1324.51204	-296.64593	-2402.47546	Serranidae	Hypoplectrodes	nigroruber	37311037	1	AD	Passing		NA	NA
S101_D1	5	S101_D1_L_MAH00268.MP4	34893	S101_D1_R_MAH00250.MP4	34809	19.40439	Timeseabed	6.32799	187.60712	2.88789	1.11616	1595.13222	17.54527	31.01199	1.29019	369.45988	-307.78711	-1520.92514	Scorpaenidae	Scorpaena	jacksoniensis	37287066	1	AD	Passing		NA	NA
S101_D1	6	S101_D1_L_MAH00268.MP4	34972	S101_D1_R_MAH00250.MP4	34888	19.44832	Timeseabed	6.37192	679.60713	5.01137	1.44699	2042.8676	13.6425	33.2708	1.30542	215.04562	-431.18704	-1985.23076	Muraenidae	Gymnothorax	prasinus	37060006	1	AD	Passing		NA	NA
S101_D1	7	S101_D1_L_MAH00268.MP4	35029	S101_D1_R_MAH00250.MP4	34945	19.48002	Timeseabed	6.40362	278.46978	2.14263	0.68073	1382.39873	16.52598	32.16957	17.48243	-172.80861	-353.21635	-1325.29304	Scorpaenidae	Scorpaena	jacksoniensis	37287066	1	AD	Passing		NA	NA
S101_D1	8	S101_D1_L_MAH00268.MP4	35136	S101_D1_R_MAH00250.MP4	35052	19.53952	Timeseabed	6.46312	233.2324	1.69518	2.15679	1604.92526	8.26874	11.1847	8.28545	230.70624	7.06183	-1588.24112	Scorpididae	Scorpis	lineolata	37361009	1	AD	Passing		NA	NA
S101_D1	9	S101_D1_L_MAH00268.MP4	35136	S101_D1_R_MAH00250.MP4	35052	19.53952	Timeseabed	6.46312	178.9017	27.62429	8.12973	4225.21129	16.34703	56.50754	12.07176	-1089.33637	477.02624	-4054.40534	Scorpididae	Scorpis	lineolata	37361009	1	AD	Passing		NA	NA
S101_D1	11	S101_D1_L_MAH00268.MP4	35644	S101_D1_R_MAH00250.MP4	35560	19.82202	Timeseabed	6.74563	212.67127	3.86667	2.17078	1674.12934	20.83379	45.68626	3.43417	-416.84289	-425.16411	-1564.66818	Labridae	Notolabrus	gymnogenis	37384041	1	F	Passing		NA	NA
