OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
H1_1_1_Northern_20220901	0	0	1161.98582	202.35789	1196.88312	213.27731
H1_1_1_Northern_20220901	0	1	1382.12766	165.97895	1407.69776	176.97479
H1_1_1_Northern_20220901	1	0	1469.82249	646.52632	1491.12426	628.05263
H1_1_1_Northern_20220901	1	1	1607.57396	638.00000	1626.03550	616.68421
H1_1_1_Northern_20220901	2	0	1033.67456	980.52632	968.26036	974.84211
H1_1_1_Northern_20220901	2	1	1160.06509	895.26316	1088.97041	885.31579
H1_1_2_Northern_20220901	0	0	1547.92899	62.52632	1667.21893	90.94737
H1_1_2_Northern_20220901	0	1	1775.14793	105.15789	1883.07692	135.00000
H1_1_2_Northern_20220901	1	0	120.71006	82.42105	132.07101	12.78947
H1_1_2_Northern_20220901	1	1	337.98817	105.15789	360.71006	58.26316
H1_1_2_Northern_20220901	2	0	397.63314	235.89474	426.03550	200.36842
H1_1_2_Northern_20220901	2	1	541.06509	233.05263	570.88757	204.63158
H1_1_2_Northern_20220901	3	0	106.50888	162.00000	224.37870	123.63158
H1_1_2_Northern_20220901	3	1	320.94675	191.84211	454.43787	166.26316
H1_1_3_Northern_20220901	0	0	52.38195	444.08209	155.13116	460.86567
H1_1_3_Northern_20220901	0	1	191.39559	627.44030	333.43127	660.34328
H1_1_3_Northern_20220901	1	0	1373.01154	254.88806	1229.01889	289.14179
H1_1_3_Northern_20220901	1	1	1521.09129	179.32836	1364.00315	228.69403
H1_1_4_Northern_20220901	0	0	827.84155	948.02239	843.08395	943.99254
H1_1_4_Northern_20220901	0	1	740.20252	897.64925	758.46695	893.61940
H1_1_4_Northern_20220901	1	0	601.65792	414.34328	583.20147	381.82836
H1_1_4_Northern_20220901	1	1	534.16579	345.83582	513.69465	300.22388
H1_1_4_Northern_20220901	2	0	219.87408	350.87313	116.80063	265.97015
H1_1_4_Northern_20220901	2	1	155.40399	260.20149	51.32319	152.12687
H1_1_4_Northern_20220901	3	0	570.62120	587.11194	503.67261	562.18657
H1_1_4_Northern_20220901	3	1	493.05561	512.55970	432.15110	476.55224
H1_1_4_Northern_20220901	4	0	1688.31060	601.59701	1574.48059	644.99254
H1_1_4_Northern_20220901	4	1	1557.35572	624.76866	1465.68730	657.08209
H1_1_4_Northern_20220901	5	0	662.05456	935.93284	599.12907	936.94030
