Campaign.ID,Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Successful.count,Successful.length,Observer.count,Observer.length,MarinePark,Location_name,MP Zoning,Rep_ID,Observer,Zone
2022-08-SIMP.intermediate.reef-stereoBRUVs,S1_1_1_Northern_20220901,-29.73028,153.35375,20220901,11:10:00,S1_1,S1,No-take,30,Yes,Yes,HamishMalcolm,HamishMalcolm,SIMP,Northern ,No-take,S1_1_1,HamishMalcolm,SZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,S1_1_2_Northern_20220901,-29.72806,153.355,20220901,9:57:00,S1_1,S1,No-take,32,Yes,Yes,SarahChyriwsky,SarahChyriwsky,SIMP,Northern ,No-take,S1_1_2,SarahChyriwsky,SZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,S1_1_3_Northern_20220901,-29.7261,153.35469,20220901,10:03:00,S1_1,S1,No-take,28,Yes,Yes,ArtSchultz,ArtSchultz,SIMP,Northern ,No-take,S1_1_3,ArtSchultz,SZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,S1_1_4_Northern_20220901,-29.725,153.35583,20220901,10:07:00,S1_1,S1,No-take,29,Yes,Yes,KateSeinor,KateSeinor,SIMP,Northern ,No-take,S1_1_4,KateSeinor,SZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,S1_2_1_Northern_20221111,-29.74967,153.35307,20221111,9:28:00,S1_2,S1,No-take,34,Yes,Yes,HamishMalcolm,HamishMalcolm,SIMP,Northern ,No-take,S1_2_1,HamishMalcolm,SZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,S1_2_3_Northern_20221111,-29.74724,153.3497,20221111,9:40:00,S1_2,S1,No-take,35,Yes,Yes,ArtSchultz,ArtSchultz,SIMP,Northern ,No-take,S1_2_3,ArtSchultz,SZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,S1_2_4_Northern_20221111,-29.74548,153.35111,20221111,9:46:00,S1_2,S1,No-take,35,Yes,Yes,ArtSchultz,ArtSchultz,SIMP,Northern ,No-take,S1_2_4,ArtSchultz,SZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,S3_1_1_Butterfly_20221017,-29.95597,153.29799,20221017,9:28:00,S3_1,S3,No-take,28,Yes,Yes,ArtSchultz,ArtSchultz,SIMP,Butterfly,No-take,S3_1_1,ArtSchultz,SZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,S3_1_2_Butterfly_20221017,-29.95428,153.29872,20221017,10:29:00,S3_1,S3,No-take,27,Yes,Yes,SarahChyriwsky,SarahChyriwsky,SIMP,Butterfly,No-take,S3_1_2,SarahChyriwsky,SZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,S3_1_3_Butterfly_20221017,-29.95241,153.29935,20221017,9:55:00,S3_1,S3,No-take,28,Yes,Yes,ArtSchultz,ArtSchultz,SIMP,Butterfly,No-take,S3_1_3,ArtSchultz,SZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,S3_1_4_Butterfly_20221017,-29.95112,153.29791,20221017,10:00:00,S3_1,S3,No-take,27,Yes,Yes,ArtSchultz,ArtSchultz,SIMP,Butterfly,No-take,S3_1_4,ArtSchultz,SZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,S3_2_1_Butterfly_20220818,-29.94715,153.30512,20220818,11:03:00,S3_2,S3,No-take,32,Yes,Yes,ArtSchultz,ArtSchultz,SIMP,Butterfly,No-take,S3_2_1,ArtSchultz,SZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,S3_2_2_Butterfly_20220818,-29.94695,153.30289,20220818,11:08:00,S3_2,S3,No-take,28,Yes,Yes,SarahChyriwsky,SarahChyriwsky,SIMP,Butterfly,No-take,S3_2_2,SarahChyriwsky,SZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,S3_2_3_Butterfly_20220818,-29.94657,153.30061,20220818,11:14:00,S3_2,S3,No-take,28,Yes,Yes,ArtSchultz,ArtSchultz,SIMP,Butterfly,No-take,S3_2_3,ArtSchultz,SZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,S3_2_4_Butterfly_20220818,-29.94355,153.3027,20220818,11:19:00,S3_2,S3,No-take,29,Yes,Yes,KateSeinor,KateSeinor,SIMP,Butterfly,No-take,S3_2_4,KateSeinor,SZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,S4_1_1_40Acres_20220802,-30.20448,153.22656,20220802,9:26:00,S4_1,S4,No-take,28,Yes,Yes,SarahChyriwsky,SarahChyriwsky,SIMP,40Acres,No-take,S4_1_1,SarahChyriwsky,SZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,S4_1_2_40Acres_20220802,-30.20292,153.2253,20220802,9:31:00,S4_1,S4,No-take,27,Yes,Yes,SarahChyriwsky,SarahChyriwsky,SIMP,40Acres,No-take,S4_1_2,SarahChyriwsky,SZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,S4_1_3_40Acres_20220802,-30.20074,153.22378,20220802,9:37:00,S4_1,S4,No-take,25,Yes,Yes,KateSeinor,KateSeinor,SIMP,40Acres,No-take,S4_1_3,KateSeinor,SZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,S4_1_4_40Acres_20220802,-30.19828,153.22532,20220802,9:43:00,S4_1,S4,No-take,27,Yes,Yes,KateSeinor,KateSeinor,SIMP,40Acres,No-take,S4_1_4,KateSeinor,SZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,S4_2_1_40Acres_20220803,-30.2071,153.2194,20220803,9:19:00,S4_2,S4,No-take,27,Yes,Yes,HamishMalcolm,HamishMalcolm,SIMP,40Acres,No-take,S4_2_1,HamishMalcolm,SZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,S4_2_2_40Acres_20220803,-30.20731,153.21712,20220803,9:25:00,S4_2,S4,No-take,26,Yes,Yes,SarahChyriwsky,SarahChyriwsky,SIMP,40Acres,No-take,S4_2_2,SarahChyriwsky,SZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,S4_2_3_40Acres_20220803,-30.20766,153.21361,20220803,9:31:00,S4_2,S4,No-take,25,Yes,Yes,ArtSchultz,ArtSchultz,SIMP,40Acres,No-take,S4_2_3,ArtSchultz,SZ
2022-08-SIMP.intermediate.reef-stereoBRUVs,S4_2_4_40Acres_20220803,-30.20703,153.21043,20220803,9:38:00,S4_2,S4,No-take,25,Yes,Yes,KateSeinor,KateSeinor,SIMP,40Acres,No-take,S4_2_4,KateSeinor,SZ
