OpCode	Camera	MovieSeqIndex	StartTimeOffset	Format	Filename	Frames	Rate
H1_1_1_Northern_20220901	0	0	0.00000	0	HPZNorth_Cam1_LC_1Sept2022_H1_1_1a.MP4	63212	29.97003
H1_1_1_Northern_20220901	0	0	0.00000	0	HPZNorth_Cam1_LC_1Sept2022_H1_1_1b.MP4	3392	29.97003
H1_1_1_Northern_20220901	1	0	0.00000	0	HPZNorth_Cam1_RC_1Sept2022_H1_1_1a.MP4	63212	29.97003
H1_1_1_Northern_20220901	1	0	0.00000	0	HPZNorth_Cam1_RC_1Sept2022_H1_1_1b.MP4	3032	29.97003
H1_1_2_Northern_20220901	0	0	0.00000	0	HPZNorth_Cam2_LC_1Sept2022_H1_1_2a.MP4	63212	29.97003
H1_1_2_Northern_20220901	0	0	0.00000	0	HPZNorth_Cam2_LC_1Sept2022_H1_1_2b.MP4	6287	29.97003
H1_1_2_Northern_20220901	1	0	0.00000	0	HPZNorth_Cam2_RC_1Sept2022_H1_1_2a.MP4	63212	29.97003
H1_1_2_Northern_20220901	1	0	0.00000	0	HPZNorth_Cam2_RC_1Sept2022_H1_1_2b.MP4	5612	29.97003
H1_1_3_Northern_20220901	0	0	0.00000	0	HPZNorth_Cam3_LC_1Sept2022_H1_1_3a.MP4	63212	29.97003
H1_1_3_Northern_20220901	0	0	0.00000	0	HPZNorth_Cam3_LC_1Sept2022_H1_1_3b.MP4	6782	29.97003
H1_1_3_Northern_20220901	1	0	0.00000	0	HPZNorth_Cam3_RC_1Sept2022_H1_1_3a.MP4	63212	29.97003
H1_1_3_Northern_20220901	1	0	0.00000	0	HPZNorth_Cam3_RC_1Sept2022_H1_1_3b.MP4	6437	29.97003
H1_1_4_Northern_20220901	0	0	0.00000	0	HPZNorth_Cam4_LC_1Sept2022_H1_1_4a.MP4	63210	29.97003
H1_1_4_Northern_20220901	0	0	0.00000	0	HPZNorth_Cam4_LC_1Sept2022_H1_1_4b.MP4	6060	29.97003
H1_1_4_Northern_20220901	1	0	0.00000	0	HPZNorth_Cam4_RC_1Sept2022_H1_1_4a.MP4	63210	29.97003
H1_1_4_Northern_20220901	1	0	0.00000	0	HPZNorth_Cam4_RC_1Sept2022_H1_1_4b.MP4	6135	29.97003
H1_2_1_Northern_20220901	0	0	0.00000	0	HPZNorth_Cam1_LC_1Sept2022_H1_2_1a.MP4	63212	29.97003
H1_2_1_Northern_20220901	0	0	0.00000	0	HPZNorth_Cam1_LC_1Sept2022_H1_2_1b.MP4	21557	29.97003
H1_2_1_Northern_20220901	1	0	0.00000	0	HPZNorth_Cam1_RC_1Sept2022_H1_2_1a.MP4	63212	29.97003
H1_2_1_Northern_20220901	1	0	0.00000	0	HPZNorth_Cam1_RC_1Sept2022_H1_2_1b.MP4	21527	29.97003
H1_2_2_Northern_20220901	0	0	0.00000	0	HPZNorth_Cam2_LC_1Sept2022_H1_2_2a.MP4	63212	29.97003
H1_2_2_Northern_20220901	0	0	0.00000	0	HPZNorth_Cam2_LC_1Sept2022_H1_2_2b.MP4	16232	29.97003
H1_2_2_Northern_20220901	1	0	0.00000	0	HPZNorth_Cam2_RC_1Sept2022_H1_2_2a.MP4	63212	29.97003
H1_2_2_Northern_20220901	1	0	0.00000	0	HPZNorth_Cam2_RC_1Sept2022_H1_2_2b.MP4	15962	29.97003
H1_2_3_Northern_20220901	0	0	0.00000	0	HPZNorth_Cam3_LC_1Sept2022_H1_2_3a.MP4	63212	29.97003
