OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
H1_1_1_Northern_20220901	0	set	HPZNorth_Cam1_LC_1Sept2022_H1_1_1a.MP4	4552	2.53142	HPZNorth_Cam1_LC_1Sept2022_H1_1_1a.MP4	58605	32.59089	1
H1_1_2_Northern_20220901	0	set	HPZNorth_Cam2_LC_1Sept2022_H1_1_2a.MP4	6033	3.35502	HPZNorth_Cam2_LC_1Sept2022_H1_1_2a.MP4	60066	33.40337	1
H1_1_3_Northern_20220901	0	Start	HPZNorth_Cam3_LC_1Sept2022_H1_1_3a.MP4	5438	3.02413				0
H1_1_4_Northern_20220901	0	HPZNorth_Cam4_1Sept2022_H1_1_4	HPZNorth_Cam4_LC_1Sept2022_H1_1_4a.MP4	4642	2.58147	HPZNorth_Cam4_LC_1Sept2022_H1_1_4a.MP4	59535	33.10807	1
H1_2_1_Northern_20220901	0	set	HPZNorth_Cam1_LC_1Sept2022_H1_2_1a.MP4	3113	1.73117	HPZNorth_Cam1_LC_1Sept2022_H1_2_1a.MP4	57214	31.81734	1
H1_2_2_Northern_20220901	0	set	HPZNorth_Cam2_LC_1Sept2022_H1_2_2a.MP4	3310	1.84073	HPZNorth_Cam2_LC_1Sept2022_H1_2_2a.MP4	58364	32.45687	1
H1_2_3_Northern_20220901	0	Start	HPZNorth_Cam3_LC_1Sept2022_H1_2_3a.MP4	4961	2.75887				0
H1_2_4_Northern_20220901	0	HPZNorth_Cam4_1Sept2022_H1_2_4	HPZNorth_Cam4_LC_1Sept2022_H1_2_4a.MP4	5619	3.12479	HPZNorth_Cam4_LC_1Sept2022_H1_2_4a.MP4	59598	33.14311	1
H2_1_1_Central_20221017	0	H2_1_1_Central_17Oct2022_Unit1 Start	Central-H2_1_1_17October2022_Unit1_LC.MP4	2541	1.41308				0
H2_1_2_Central_20221017	0	Start	Central_H2_1_2_17October2022_1122a_Unit2_LC.MP4	2964	1.64831				0
H2_1_3_Central_20221017	0	Start	Central_H2_1_3a_17October2022_Unit3_LC.MP4	4652	2.58703				0
H2_1_4_Central_20221017	0	Start	Central_H2_1_4a_17October2022_Unit4_LC.MP4	3025	1.68224				0
H2_2_1_Central_20220818	0	set	Central_Cam1_LC_18Aug2022_H2_2_1a.MP4	3173	1.76454	Central_Cam1_LC_18Aug2022_H2_2_1a.MP4	57393	31.91689	1
H2_2_2_Central_20220818	0	H2_2_2_Central_18Aug2022_Unit2 start	Central_Cam2_LC_18Aug2022_H2_2_2a.MP4	4582	2.54810				0
H2_2_3_Central_20220818	0	start	Central_Cam3_LC_18Aug2022_H2_2_3a.MP4	3300	1.83517				0
H2_2_4_Central_20220818	0	Central_Cam4_18Aug2022_H2_2_4	Central_Cam4_LC_18Aug2022_H2_2_4a.MP4	6507	3.61862	Central_Cam4_LC_18Aug2022_H2_2_4a.MP4	60690	33.75038	1
H4_1_1_SplitBommie_20220803	0	SplitBom_Cam4_3Aug2022_H4_1_1	SplitBom_Cam4_LC_3Aug2022_H4_1_1a.MP4	7866	4.37437	SplitBom_Cam4_LC_3Aug2022_H4_1_1a.MP4	61872	34.40771	1
H4_1_2_SplitBommie_20220803	0	H4_1_2_SplitBom_3Aug2022_Unit3 Start	SplitBom_Cam3_LC_3Aug2022_H4_1_2a.MP4	4528	2.51807				0
H4_1_3_SplitBommie_20220803	0	Start	SplitBom_Cam2_LC_3Aug2022_H4_1_3a.MP4	9256	5.14736				0
H4_1_4_SplitBommie_20220803	0	Start	SplitBom_Cam1_LC_3Aug2022_H4_1_4a.MP4	4545	2.52752				0
H4_2_1_SplitBommie_20220802	0	SplitBom_Cam4_2Aug22_H4_2_1	SplitBom_Cam4_LC_2Aug22_H4_2_1a.MP4	5061	2.81448	SplitBom_Cam4_LC_2Aug22_H4_2_1a.MP4	59240	32.94402	1
H4_2_2_SplitBommie_20220802	0	SplitBom_Cam3_2Aug2022_H4_2_2	SplitBom_Cam3_LC_2Aug2022_H4_2_2a.MP4	4226	2.35013	SplitBom_Cam3_LC_2Aug2022_H4_2_2a.MP4	58191	32.36066	1
H4_2_3_SplitBommie_20220802	0	H4_2_3_SplitBom_2Aug2022_Unit2 Start	SplitBom_Cam2_LC_2Aug2022_H4_2_3a.MP4	3795	2.11044				0
H4_2_4_SplitBommie_20220802	0	O4_2_4_SplitBom_2Aug2022_Unit1 start	SplitBom_Cam1_LC_2Aug2022_H4_2_4a.MP4	3747	2.08375				0
O1_1_1_Bullocky_20220802	0	set	Bullocky_Cam1_LC2Aug2022_O1_1_1a.MP4	3060	1.70170	Bullocky_Cam1_LC2Aug2022_O1_1_1a.MP4	57376	31.90743	1
O1_1_2_Bullocky_20220802	0	Start	Bullocky_Cam2_LC_2Aug2022_O1_1_2a.MP4	10163	5.65176				0
O1_1_3_Bullocky_20220802	0	Bullocky_Cam3_2Aug2022_O1_1_3	Bullocky_Cam3_LC_2Aug2022_O1_1_3a.MP4	7226	4.01846	Bullocky_Cam3_LC_2Aug2022_O1_1_3a.MP4	61191	34.02900	1
O1_1_4_Bullocky_20220802	0	Bullocky_Cam4_2Aug22_O1_1_4	Bullocky_Cam4_LC_2Aug22_O1_1_4a.MP4	2921	1.62440	Bullocky_Cam4_LC_2Aug22_O1_1_4a.MP4	56928	31.65829	1
O1_2_1_Bullocky_20220803	0	Start	Bullocky_Cam1_LC_3Aug2022_O1_2_1a.MP4	3883	2.15938				0
O1_2_2_Bullocky_20220803	0	Start	Bullocky_Cam2_LC_3Aug2022_O1_2_2a.MP4	4376	2.43354				0
O1_2_3_Bullocky_20220803	0	Start	Bullocky_Cam3_LC_3Aug2022_O1_2_3a.MP4	4994	2.77722				0
O1_2_4_Bullocky_20220803	0	Bullocky_Cam4_3Aug2022_O1_2_4	Bullocky_Cam4_LC_3Aug2022_O1_2_4a.MP4	7417	4.12468	Bullocky_Cam4_LC_3Aug2022_O1_2_4a.MP4	61384	34.13632	1
O2_1_1_Patch_20220822	0	O2_1_1_Patch_22Aug2022_Unit1_Start	Patch_Cam1_LC_22Aug2022_O2_1_1a.MP4	5083	2.82671				0
O2_1_2_Patch_20220822	0	Start	Patch_Cam2_LC_22Aug2022_O2_1_2a.MP4	5059	2.81337				0
O2_1_3_Patch_20220822	0	Start	Patch_Cam3_LC_22Aug2022_O2_1_3a.MP4	4383	2.43744				0
O2_2_1_Patch_20220819	0	O2_2_1_Patch_19Oct2022_Unit1_Start	Patch_Cam1_LC_19Aug2022_O2_2_1a.MP4	3590	1.99644				0
O2_2_2_Patch_20220819	0	Start	Patch_Cam2_LC_19Aug2022_O2_2_2a.MP4	3451	1.91914				0
O2_2_3_Patch_20220819	0	O2_2_3_Patch_19Aug2022_Cam2 Start	Patch_Cam2_LC_19Aug2022_O2_2_3a.MP4	4407	2.45078				0
O2_2_4_Patch_20220819	0	O2_2_4_Patch_19Aug2022_Unit1_Start	Patch_Cam1_LC_19Aug2022_O2_2_4a.MP4	3023	1.68112				0
O4_1_1_BroomsHead_20221121	0	set	BroomsHead_O4_1_1_21Nov2022_Unit1_LC.MP4	4546	2.52808	BroomsHead_O4_1_1_21Nov2022_Unit1_LC.MP4	59987	33.35944	1
O4_1_2_BroomsHead_20221121	0	Start	BroomsHead_O4_1_2a_21Nov2022_Unit3_LC.MP4	2637	1.46646				0
O4_1_3_BroomsHead_20221121	0	O4_1_3_BroomsHead_21Nov2022_Unit4 start	BroomsHead_O4_1_3a_21Nov2022_Unit4_LC.MP4	3638	2.02313				0
O4_1_4_BroomsHead_20221121	0	set	BroomsHead_O4_1_4_21Nov2022_Unit1_LC.MP4	2290	1.27349	BroomsHead_O4_1_4_21Nov2022_Unit1_LC.MP4	56569	31.45865	1
O4_2_1_BroomsHead_20221121	0	O4_2_1_BroomsHead_21Nov2022_Unit1 Start	BroomsHead_O4_2_1_21Nov2022_Unit1_LC.MP4	2274	1.26460				0
O4_2_2_BroomsHead_20221121	0	Start	BroomsHead_O4_2_2_21Nov2022_Unit3_LC.MP4	2181	1.21288				0
O4_2_3_BroomsHead_20221121	0	O4_2_3_BroomsHead_21Nov2022_Unit4 Start	BroomsHead_O4_2_3a_21Nov2022_Unit4_LC.MP4	2716	1.51040				0
