OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
H1_1_1_Northern_20220901	1.09	2023 11 09 13:16:47	O:\1 September 2022\UNit 1\	H1_1_1_Northern_20220901.EMObs
H1_1_2_Northern_20220901	1.09	2023 11 09 13:16:47	O:\1 September 2022\UNit 2\	H1_1_2_Northern_20220901.EMObs
H1_1_3_Northern_20220901	1.09	2023 11 09 13:16:47	O:\1 September 2022\UNit 3\	H1_1_3_Northern_20220901.EMObs
H1_1_4_Northern_20220901	1.09	2023 11 09 13:16:47	N:\2022\1 September 2022\Unit 4\	H1_1_4_Northern_20220901.EMObs
H1_2_1_Northern_20220901	1.09	2023 11 09 13:16:47	O:\1 September 2022\UNit 1\	H1_2_1_Northern_20220901.EMObs
H1_2_2_Northern_20220901	1.09	2023 11 09 13:16:47	O:\1 September 2022\UNit 2\	H1_2_2_Northern_20220901.EMObs
H1_2_3_Northern_20220901	1.09	2023 11 09 13:16:47	O:\1 September 2022\UNit 3\	H1_2_3_Northern_20220901.EMObs
H1_2_4_Northern_20220901	1.09	2023 11 09 13:16:47	D:\1 September 2022\Unit 4\	H1_2_4_Northern_20220901.EMObs
H2_1_1_Central_20221017	1.09	2023 11 09 13:16:47	E:\2022 BRUVs for Art October 2023\Unit 1\	H2_1_1_Central_20221017.EMObs
H2_1_2_Central_20221017	1.09	2023 11 09 13:16:47	D:\17 October 2022\UNit 2\	H2_1_2_Central_20221017.EMObs
H2_1_3_Central_20221017	1.09	2023 11 09 13:16:47	O:\17 October 2022\UNit 3\	H2_1_3_Central_20221017.EMObs
H2_1_4_Central_20221017	1.09	2023 11 09 13:16:47	O:\17 October 2022\Unit 4\	H2_1_4_Central_20221017.EMObs
H2_2_1_Central_20220818	1.09	2023 11 09 13:16:47	E:\BRUVS\2022 Statewide BRUVs SIMP\18 August 2022\UNit 1\	H2_2_1_Central_20220818.EMObs
H2_2_2_Central_20220818	1.09	2023 11 09 13:16:47	N:\2022\18 August 2022\UNit 2\	H2_2_2_Central_20220818.EMObs
H2_2_3_Central_20220818	1.09	2023 11 09 13:16:47	O:\18 August 2022\UNit 3\	H2_2_3_Central_20220818.EMObs
H2_2_4_Central_20220818	1.09	2023 11 09 13:16:47	E:\18 August 2022\Unit 4\	H2_2_4_Central_20220818.EMObs
H4_1_1_SplitBommie_20220803	1.09	2023 11 09 13:16:47	D:\03 August 2022\Unit 4\	H4_1_1_SplitBommie_20220803.EMObs
H4_1_2_SplitBommie_20220803	1.09	2023 11 09 13:16:47	E:\2022 BRUVs for Art October 2023\Unit 3\	H4_1_2_SplitBommie_20220803.EMObs
H4_1_3_SplitBommie_20220803	1.09	2023 11 09 13:16:47	D:\03 August 2022\UNit 2\	H4_1_3_SplitBommie_20220803.EMObs
