"","name","value","is_filter"
"1","Sampling: Bait type","Pilchards",TRUE
"2","Sampling: Deployment duration (min)","30",TRUE
"3","Sampling: Bait quantity (g)","500",FALSE
"4","Sampling: Bait consistency","Mushed",FALSE
"5","Sampling: Camera configuration","Stereo",FALSE
"6","Annotation: Upload type","EventMeasure database output",TRUE
"7","Sampling: Artificial lighting","None",FALSE
"8","Annotation: Annotation tool/software","EventMeasure-stereo",FALSE
"9","Annotation: Annotation tool/software","TransectMeasure",FALSE
"10","Annotation: Taxa that have been ID'd","Fish only",FALSE
"11","Annotation: Taxonomic resolution","All taxa identified to the lowest possible taxonomic level",FALSE
"12","Sampling: Bait arm length (m)","1.5",FALSE
"13","Annotation: Observer/Anotator experience (>years)","3",FALSE
"14","Annotation: Type of Length measure","Fork length",FALSE
"15","Annotation: Maximum range annotations were made (m)","5",FALSE
"16","Sampling: Minimum separation distance of samples (m)","200",FALSE
