OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
S10_44	0	0	1276.47863	699.71535	502.72842	696.81073
S10_44	0	1	1335.62364	700.92250	559.45935	695.60358
S10_44	1	0	253.81056	817.43219	68.80134	812.01788
S10_44	1	1	411.12825	697.92399	281.64292	709.00745
S10_44	2	0	1401.09975	605.60358	1443.34535	600.66319
S10_44	2	1	1342.75943	556.11028	1388.22381	548.35320
S10_44	3	0	1453.74015	457.55589	1627.86505	430.76304
S10_44	3	1	1580.07712	452.72727	1798.46018	413.86289
S10_44	4	0	1411.19698	470.84650	1679.79883	445.32489
S10_44	4	1	1333.14166	479.29657	1596.51299	461.42027
S10_44	5	0	324.11484	164.32489	415.13831	238.10581
S10_44	5	1	396.13495	190.88227	506.06873	253.79881
S10_44	6	0	799.62699	133.59165	777.39648	162.82265
S10_44	6	1	690.18860	186.30402	715.03269	222.77794
S10_44	7	0	1845.16345	333.78689	1640.17770	268.98212
S10_44	7	1	1465.75021	337.00596	1376.41241	302.72727
S10_44	8	0	1059.56412	480.39642	1116.80637	482.32489
S10_44	8	1	850.40821	440.00596	921.66806	454.56036
S10_44	9	0	495.36127	526.44411	362.55658	555.16542
S10_44	9	1	718.66387	479.36513	490.90528	506.07452
S10_44	10	0	404.93965	583.00596	415.84577	608.97019
S10_44	10	1	240.78206	575.36066	242.83655	600.92250
S10_44	11	0	1134.94719	337.85842	802.48617	343.83458
S10_44	11	1	1363.07795	322.16542	983.13998	307.21759
S10_44	12	0	264.15004	453.34426	310.27913	492.97019
S10_44	12	1	398.93630	447.30849	407.64711	485.32489
S10_44	13	0	874.34954	141.76304	557.43168	175.24888
S10_44	13	1	1107.30847	142.56781	750.15591	159.95827
S10_44	14	0	1102.19698	197.54396	795.21291	205.79881
S10_44	14	1	1326.30427	217.26080	1004.03101	207.00596
S10_44	15	0	1510.07209	313.01788	1214.14669	283.38450
S10_44	15	1	1741.42163	328.71088	1438.91618	285.05812
S10_44	16	0	1421.24392	655.10134	895.34954	655.97765
S10_44	16	1	1608.33529	686.88972	1029.33110	686.96125
S10_44	17	0	1003.11484	368.60358	1227.40402	366.50373
S10_44	17	1	1075.93965	368.60358	1296.20536	360.46796
S10_44	18	0	1606.84577	550.65127	1667.55658	530.22504
S10_44	18	1	1444.69992	571.57526	1491.32858	560.40387
S10_44	19	0	1308.85331	433.66319	1621.05281	410.30849
S10_44	19	1	1389.32272	427.62742	1711.17854	396.22504
S10_44	20	0	445.81056	480.52012	757.41995	508.99404
S10_44	21	0	1116.54484	771.22504	952.41576	778.42027
S10_44	21	1	1819.01090	722.40835	1688.24811	724.79881
S10_44	22	0	305.06790	756.08644	154.50126	755.55142
S10_44	22	1	536.72087	597.69151	477.81056	609.87034
S10_44	23	0	1520.17016	307.49627	1681.41995	252.01788
S10_44	23	1	1370.09472	297.43666	1502.37552	259.26080
S10_44	24	0	1236.05281	334.81073	1155.07628	321.06557
S10_44	24	1	1045.34032	382.69449	999.77033	386.25186
S10_44	25	0	627.66974	339.01788	572.58005	375.04173
S10_44	25	1	551.62615	413.86140	549.64627	444.65425
S10_44	26	0	359.47443	825.15350	34.19950	823.73472
S10_44	26	1	534.49539	749.50522	255.89271	755.73174
S10_44	27	0	1313.43168	592.79881	1142.35373	590.87034
S10_44	27	1	1183.53311	455.01788	911.56832	456.62742
S10_44	28	0	1449.63873	606.99404	1302.62699	601.82265
S10_44	28	1	1325.71584	547.03875	1197.21207	541.86736
S10_44	29	0	813.84577	431.33681	459.53730	452.04173
S10_44	29	1	651.29757	331.54545	343.66136	368.34575
S10_44	30	0	1545.34954	581.27273	1033.60268	573.79881
S10_44	30	1	1674.90528	565.98212	1227.93630	554.48435
S10_44	31	0	1123.41911	657.56036	1088.30176	661.73920
S10_44	31	1	1248.95138	674.86289	1258.89690	675.42027
S10_44	32	0	1403.93210	424.17735	1525.92791	398.07004
S10_44	32	1	1290.87259	424.57973	1391.54401	406.52012
S10_44	33	0	1677.09975	377.67511	1487.65046	334.32489
S10_44	33	1	1510.12573	369.22504	1382.23554	336.73920
S10_46	0	0	1319.85750	722.81073	540.49790	720.77496
S10_46	0	1	1378.19782	727.23696	600.44761	726.40835
S10_46	1	0	1530.65884	629.87183	1741.27242	661.24888
S10_46	1	1	1495.65465	623.79136	1705.46354	653.54694
S10_46	2	0	1034.85834	573.97914	1156.05951	599.07452
S10_46	2	1	929.84577	586.95082	1021.46186	612.33085
S10_46	3	0	1569.82900	657.52012	1269.42666	667.68256
S10_46	3	1	1769.73931	632.28912	1563.92875	641.16990
S10_46	4	0	1539.54401	674.42623	1786.76278	715.70790
S10_46	4	1	1368.91702	656.43964	1519.90528	686.21013
S10_46	5	0	1575.08718	643.75112	1796.38810	677.23547
S10_46	5	1	1189.44258	626.66766	1382.08885	658.69598
S10_46	6	0	1575.30008	643.67213	1796.47946	676.68107
