Campaign.ID,Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Successful.count,Successful.length,Max.distance,Observer.count,Observer.length,Zone,Observer
2022_BMP_StereoBRUVs,S1_18,-35.52599,150.42403,20220919,11:36:00,1,Brush.Is.,No-take,19.9,Yes,Yes,6641.85,AdrianFerguson,AdrianFerguson,SZ,AdrianFerguson
2022_BMP_StereoBRUVs,S1_19,-35.52446,150.4285,20220919,11:24:00,1,Brush.Is.,No-take,25.7,Yes,Yes,16158.31,JasonDelamont,JasonDelamont,SZ,JasonDelamont
2022_BMP_StereoBRUVs,S1_20,-35.52583,150.42615,20220919,11:32:00,1,Brush.Is.,No-take,19.7,Yes,Yes,5303.724,AdrianFerguson,AdrianFerguson,SZ,AdrianFerguson
2022_BMP_StereoBRUVs,S1_21,-35.52622,150.42884,20220919,11:28:00,1,Brush.Is.,No-take,26.6,Yes,Yes,,JoshMoloney,JoshMoloney,SZ,JoshMoloney
2022_BMP_StereoBRUVs,S10_44,-35.67331,150.3139,20220901,8:38:00,10,Bate..N.,Fished,22.4,Yes,Yes,,JoshMoloney,JoshMoloney,HPZ,JoshMoloney
2022_BMP_StereoBRUVs,S10_46,-35.67317,150.31696,20220901,8:44:00,10,Bate..N.,Fished,25.6,Yes,Yes,,JoshMoloney,JoshMoloney,HPZ,JoshMoloney
2022_BMP_StereoBRUVs,S10_46a,-35.67317,150.31855,20220901,8:49:00,10,Bate..N.,Fished,28.9,Yes,Yes,8266.582,JasonDelamont,JasonDelamont,HPZ,JasonDelamont
2022_BMP_StereoBRUVs,S10_55,-35.67327,150.3211,20220901,8:55:00,10,Bate..N.,Fished,30.3,Yes,Yes,,JoshMoloney,JoshMoloney,HPZ,JoshMoloney
2022_BMP_StereoBRUVs,S11_167,-35.68337,150.31091,20220901,8:22:00,11,Bate..N.,Fished,21.3,Yes,Yes,,JoshMoloney,JoshMoloney,HPZ,JoshMoloney
2022_BMP_StereoBRUVs,S11_48,-35.68256,150.31284,20220901,8:27:00,11,Bate..N.,Fished,26.4,Yes,Yes,,JoshMoloney,JoshMoloney,HPZ,JoshMoloney
2022_BMP_StereoBRUVs,S11_50,-35.68257,150.30773,20220901,8:15:00,11,Bate..N.,Fished,17.4,Yes,Yes,13183.223,JasonDelamont,JasonDelamont,HPZ,JasonDelamont
2022_BMP_StereoBRUVs,S11_58,-35.68337,150.31497,20220901,8:32:00,11,Bate..N.,Fished,31.4,Yes,Yes,6253.692,JasonDelamont,JasonDelamont,HPZ,JasonDelamont
2022_BMP_StereoBRUVs,S13_63,-35.7155,150.29106,20220722,9:05:00,13,Bate..M,Fished,24.7,Yes,Yes,5081.752,JasonDelamont,JasonDelamont,HPZ,JasonDelamont
2022_BMP_StereoBRUVs,S13_65,-35.7161,150.29301,20220722,9:10:00,13,Bate..M,Fished,27.5,Yes,Yes,,JoshMoloney,JoshMoloney,HPZ,JoshMoloney
2022_BMP_StereoBRUVs,S13_66,-35.7167,150.29576,20220722,9:17:00,13,Bate..M,Fished,33.1,Yes,Yes,6424.198,JasonDelamont,JasonDelamont,HPZ,JasonDelamont
2022_BMP_StereoBRUVs,S13_67,-35.71752,150.2968,20220722,9:24:00,13,Bate..M,Fished,34,Yes,Yes,,JoshMoloney,JoshMoloney,HPZ,JoshMoloney
2022_BMP_StereoBRUVs,S14_67,-35.72466,150.29026,20220831,12:18:00,14,Bate..M,Fished,32.1,Yes,Yes,,JoshMoloney,JoshMoloney,HPZ,JoshMoloney
2022_BMP_StereoBRUVs,S14_68,-35.72581,150.29169,20220831,12:26:00,14,Bate..M,Fished,33.3,Yes,Yes,5483.828,JasonDelamont,JasonDelamont,HPZ,JasonDelamont
2022_BMP_StereoBRUVs,S14_69,-35.72618,150.2932,20220831,12:32:00,14,Bate..M,Fished,36.3,Yes,Yes,,JoshMoloney,JoshMoloney,HPZ,JoshMoloney
2022_BMP_StereoBRUVs,S14_70,-35.72735,150.29173,20220831,12:40:00,14,Bate..M,Fished,33.6,Yes,Yes,,JoshMoloney,JoshMoloney,HPZ,JoshMoloney
2022_BMP_StereoBRUVs,S16_102,-35.75507,150.26872,20220721,10:37:00,16,Toll..N,No-take,26.8,Yes,Yes,5577.189,JoshMoloney,JoshMoloney,SZ,JoshMoloney
2022_BMP_StereoBRUVs,S16_103,-35.75522,150.26647,20220721,10:34:00,16,Toll..N,No-take,23.5,Yes,Yes,6089.538,JasonDelamont,JasonDelamont,SZ,JasonDelamont
2022_BMP_StereoBRUVs,S16_94,-35.7534,150.26329,20220721,10:19:00,16,Toll..N,No-take,19.3,Yes,Yes,5308.54,JasonDelamont,JasonDelamont,SZ,JasonDelamont
