OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
S10_44	1.09	2024 04 05 15:05:55	Z:\Statewide subtidal reef monitoring BRUVs\2022 Statewide BRUVs monitoring of reef fishes (MIMP)\	S10_44.EMObs
S10_46	1.09	2024 04 05 15:05:55	D:\BRUVs_Statewide_2022\	S10_46.EMObs
S10_46a	1.09	2024 04 05 15:05:55	D:\BRUVs_Statewide_2022\	S10_46a.EMObs
S10_55	1.09	2024 04 05 15:05:55	D:\BRUVs_Statewide_2022\	S10_55.EMObs
S11_167	1.09	2024 04 05 15:05:55	D:\BRUVs_Statewide_2022\	S11_167.EMObs
S11_48	1.09	2024 04 05 15:05:55	Z:\Statewide subtidal reef monitoring BRUVs\2022 Statewide BRUVs monitoring of reef fishes (MIMP)\	S11_48.EMObs
S11_50	1.09	2024 04 05 15:05:55	F:\2022_StateWide_BRUV_Footage\	S11_50.EMObs
S11_58	1.09	2024 04 05 15:05:55	F:\2022_StateWide_BRUV_Footage\	S11_58.EMObs
S13_63	1.09	2024 04 05 15:05:55	Z:\2022 Statewide BRUVs monitoring of reef fishes (MIMP)\	S13_63.EMObs
S13_65	1.09	2024 04 05 15:05:55	Z:\Statewide subtidal reef monitoring BRUVs\2022 Statewide BRUVs monitoring of reef fishes (MIMP)\	S13_65.EMObs
S13_66	1.09	2024 04 05 15:05:55	F:\2022_StateWide_BRUV_Footage\	S13_66.EMObs
S13_67	1.09	2024 04 05 15:05:55	Z:\Statewide subtidal reef monitoring BRUVs\2022 Statewide BRUVs monitoring of reef fishes (MIMP)\	S13_67.EMObs
S14_67	1.09	2024 04 05 15:05:55	D:\BRUVs_Statewide_2022\	S14_67.EMObs
S14_68	1.09	2024 04 05 15:05:55	F:\2022_StateWide_BRUV_Footage\	S14_68.EMObs
S14_69	1.09	2024 04 05 15:05:55	D:\BRUVs_Statewide_2022\	S14_69.EMObs
S14_70	1.09	2024 04 05 15:05:55	Z:\Statewide subtidal reef monitoring BRUVs\2022 Statewide BRUVs monitoring of reef fishes (MIMP)\	S14_70.EMObs
S16_102	1.09	2024 04 05 15:05:55	F:\2022_StateWide_BRUV_Footage\	S16_102.EMObs
S16_103	1.09	2024 04 05 15:05:55	D:\BRUVs_Statewide_2022\	S16_103.EMObs
S16_94	1.09	2024 04 05 15:05:55	D:\BRUVs_Statewide_2022\	S16_94.EMObs
S16_95	1.09	2024 04 05 15:05:55	E:\BRUVs_Statewide_2022\	S16_95.EMObs
S17_59	1.09	2024 04 05 15:05:55	E:\BRUVs_Statewide_2022\	S17_59.EMObs
S17_60	1.09	2024 04 05 15:05:55	Z:\Statewide subtidal reef monitoring BRUVs\2022 Statewide BRUVs monitoring of reef fishes (MIMP)\	S17_60.EMObs
S17_61	1.09	2024 04 05 15:05:55	F:\2022_StateWide_BRUV_Footage\	S17_61.EMObs
S17_62	1.09	2024 04 05 15:05:55	Z:\Statewide subtidal reef monitoring BRUVs\2022 Statewide BRUVs monitoring of reef fishes (MIMP)\	S17_62.EMObs
S18_100	1.09	2024 04 05 15:05:55	Z:\Statewide subtidal reef monitoring BRUVs\2022 Statewide BRUVs monitoring of reef fishes (MIMP)\	S18_100.EMObs
S18_14	1.09	2024 04 05 15:05:55	E:\BRUVs_Statewide_2022\	S18_14.EMObs
S18_15	1.09	2024 04 05 15:05:55	E:\BRUVs_Statewide_2022\	S18_15.EMObs
S19_86	1.09	2024 04 05 15:05:55	E:\BRUVs_Statewide_2022\	S19_86.EMObs
S19_88	1.09	2024 04 05 15:05:55	Z:\Statewide subtidal reef monitoring BRUVs\2022 Statewide BRUVs monitoring of reef fishes (MIMP)\	S19_88.EMObs
S19_89	1.09	2024 04 05 15:05:55	E:\BRUVs_Statewide_2022\	S19_89.EMObs
