OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
H1_1_1_Northern_20230914	0	0	866.79972	310.85112	986.02233	311.24069
H1_1_1_Northern_20230914	0	1	1007.48360	351.71960	1124.69644	354.78908
H1_1_1_Northern_20230914	1	0	684.66155	446.20347	974.06839	467.64268
H1_1_1_Northern_20230914	1	1	932.53315	365.80645	1252.75645	377.86600
H1_1_1_Northern_20230914	2	0	1179.06490	353.74690	1306.35031	360.44665
H1_1_1_Northern_20230914	2	1	1258.11584	179.55335	1424.25680	206.35236
H1_1_2_Northern_20230925	0	0	639.83111	368.74860	667.26237	345.84358
H1_1_2_Northern_20230925	0	1	880.39670	378.55307	930.45169	372.74302
H1_1_3_Northern_20230925	0	0	1733.76134	177.54342	1685.52687	233.15136
H1_1_3_Northern_20230925	0	1	1897.22261	125.95533	1839.60921	203.67246
H1_1_3_Northern_20230925	1	0	349.69993	599.66005	489.71389	633.76179
H1_1_3_Northern_20230925	1	1	113.21703	580.23077	245.19191	610.31266
H1_1_3_Northern_20230925	2	0	131.97488	68.33747	273.32868	45.55831
H1_1_3_Northern_20230925	2	1	386.54571	167.49380	528.56943	162.80397
H1_1_4_Northern_20230925	0	0	1857.02722	212.38213	1913.30077	323.80149
H1_1_4_Northern_20230925	0	1	1556.23168	233.82134	1650.69086	314.42184
H1_1_4_Northern_20230925	1	0	935.45150	402.41687	1453.06350	410.52854
H1_1_4_Northern_20230925	1	1	1252.99512	302.59057	1877.79484	345.54094
H1_1_4_Northern_20230925	2	0	1353.88765	358.38958	1473.16120	403.32010
H1_1_4_Northern_20230925	2	1	1513.99930	301.44169	1670.78856	363.79156
H1_2_1_Northern_20230925	0	0	111.11111	300.97802	45.85516	281.63014
H1_2_1_Northern_20230925	0	1	285.18519	403.34066	247.76579	400.72603
H1_2_1_Northern_20230925	1	0	545.55556	186.92308	608.05393	170.20548
H1_2_1_Northern_20230925	1	1	762.59259	278.15934	824.75655	275.24658
H1_2_3_Northern_20230925	0	0	937.13747	645.65012	1076.48918	637.55831
H1_2_3_Northern_20230925	0	1	1136.10468	536.44417	1270.09700	553.81141
H1_2_3_Northern_20230925	1	0	570.47941	166.15385	700.15701	168.16377
H1_2_3_Northern_20230925	1	1	707.81368	56.27792	856.91905	69.00744
H1_2_3_Northern_20230925	2	0	602.63573	387.66998	772.03419	405.34243
H1_2_3_Northern_20230925	2	1	416.39707	453.32754	566.36776	475.01985
H1_2_3_Northern_20230925	3	0	384.10956	221.31266	955.96930	226.45161
H1_2_3_Northern_20230925	3	1	896.60084	323.14888	1470.47034	344.36725
H2_1_1_Central_20230718	0	0	331.85185	511.74725	292.08629	526.98630
H2_1_1_Central_20230718	0	1	488.88889	562.92857	474.02773	572.10959
H2_1_2_Central_20230718	0	0	329.03771	708.66480	221.39906	709.22905
H2_1_2_Central_20230718	0	1	255.51296	381.49162	165.42498	331.42458
H2_1_2_Central_20230718	1	0	1597.11312	624.84916	1664.82325	633.03352
H2_1_2_Central_20230718	1	1	1763.42655	417.40223	1818.94737	470.10615
H2_1_2_Central_20230718	2	0	1517.91673	264.54749	1504.51532	305.49721
H2_1_2_Central_20230718	2	1	1812.66300	158.85475	1796.57502	238.36872
H2_1_2_Central_20230718	3	0	705.80676	411.20670	642.62529	391.52514
H2_1_2_Central_20230718	3	1	839.53810	334.27933	793.70149	319.62570
H2_1_3_Central_20230718	0	0	1362.10413	417.85286	1482.63400	446.34605
H2_1_3_Central_20230718	0	1	1681.85911	374.44687	1795.03828	410.29700
H2_1_3_Central_20230718	1	0	967.35069	403.16076	1350.01378	428.03815
H2_1_3_Central_20230718	1	1	1352.52680	217.76567	1734.02757	265.72480
H2_1_3_Central_20230718	2	0	616.76723	70.62670	795.66003	72.83379
H2_1_3_Central_20230718	2	1	903.44410	162.58856	1083.80704	187.60218
H2_1_3_Central_20230718	3	0	1550.68913	425.71662	1516.04747	458.79564
H2_1_3_Central_20230718	3	1	1714.60949	313.89101	1663.06126	354.32698
H2_1_4_Central_20230718	0	0	488.95712	97.36512	510.53446	31.89918
H2_1_4_Central_20230718	0	1	649.20214	189.57221	663.42879	160.89101
H2_2_2_Central_20230718	0	0	452.19246	295.77095	547.79969	254.13966
H2_2_2_Central_20230718	0	1	656.30872	314.37430	746.63708	288.83240
H2_2_2_Central_20230718	1	0	188.98822	364.96089	262.65279	316.08380
H2_2_2_Central_20230718	1	1	465.64101	460.22905	611.16261	431.23464
H2_2_3_Central_20230718	0	0	1342.00306	242.52589	1385.92802	282.79019
H2_2_3_Central_20230718	0	1	1516.94946	305.05995	1563.81470	343.85286
H2_2_4_Central_20230718	0	0	1604.65544	141.25341	1596.56968	233.47411
H2_2_4_Central_20230718	0	1	1864.86983	44.14169	1831.05666	181.23978
H2_2_4_Central_20230718	1	0	136.72282	662.84469	141.13323	621.24523
H2_2_4_Central_20230718	1	1	318.28484	515.70572	341.07198	472.63488
H4_1_1_SplitBommie_20230713	0	0	1491.85185	408.45604	1534.01387	410.01370
H4_1_1_SplitBommie_20230713	0	1	1649.62963	419.58242	1672.31895	415.93151
H4_1_2_SplitBommie_20230713	0	0	158.95208	499.90503	186.27101	465.15642
H4_1_2_SplitBommie_20230713	0	1	352.00786	538.62011	428.07620	517.25140
H4_1_2_SplitBommie_20230713	1	0	1420.54595	358.55307	1352.35585	378.43575
H4_1_2_SplitBommie_20230713	1	1	1905.42027	266.99441	1790.54203	326.02793
H4_1_2_SplitBommie_20230713	2	0	967.58130	557.67039	953.08405	555.95531
H4_1_2_SplitBommie_20230713	2	1	1105.83739	514.68156	1085.30715	512.71508
H4_1_3_SplitBommie_20230713	0	0	721.25268	754.49591	1055.14548	783.18801
H4_1_3_SplitBommie_20230713	0	1	1037.33231	725.80381	1385.92649	741.25341
H4_1_3_SplitBommie_20230713	1	0	666.42420	626.25886	717.75651	653.73025
H4_1_3_SplitBommie_20230713	1	1	864.89280	471.02725	929.45636	494.82016
H4_1_3_SplitBommie_20230713	2	0	169.72282	613.43869	93.35375	651.72480
H4_1_3_SplitBommie_20230713	2	1	368.92649	610.49591	328.57580	644.36785
H4_1_4_SplitBommie_20230713	0	0	887.42420	405.79564	1058.08116	406.19619
H4_1_4_SplitBommie_20230713	0	1	1116.03063	346.20436	1271.25115	370.14714
H4_1_4_SplitBommie_20230713	1	0	943.02144	558.57493	1016.04747	565.53134
H4_1_4_SplitBommie_20230713	1	1	1145.90046	526.20436	1224.80704	541.98910
H4_1_4_SplitBommie_20230713	2	0	1552.03982	552.40327	1523.95406	595.16076
H4_1_4_SplitBommie_20230713	2	1	1726.98622	542.83924	1683.46401	593.68937
H4_1_4_SplitBommie_20230713	3	0	122.02144	557.04632	243.43951	501.29700
H4_1_4_SplitBommie_20230713	3	1	320.49005	570.28883	487.48239	526.31063
H4_1_4_SplitBommie_20230713	4	0	1345.49923	184.26703	1438.37213	240.28883
H4_1_4_SplitBommie_20230713	4	1	1542.49770	153.36785	1625.81470	232.19619
H4_2_1_SplitBommie_20230801	0	0	113.94658	477.84358	162.66771	491.79330
H4_2_1_SplitBommie_20230801	0	1	336.66457	526.36313	399.46269	540.81564
H4_2_2_SplitBommie_20230801	0	0	335.67075	283.33243	315.19296	229.09264
H4_2_2_SplitBommie_20230801	0	1	500.32619	355.43052	503.37060	326.94005
H4_2_2_SplitBommie_20230801	1	0	1587.01378	683.64033	1493.89433	691.03270
H4_2_2_SplitBommie_20230801	1	1	1775.92649	749.11717	1648.99387	741.79564
H4_2_3_SplitBommie_20230801	0	0	971.57581	596.39665	955.68028	620.69832
H4_2_3_SplitBommie_20230801	0	1	1106.31265	635.36313	1082.62451	656.89944
H4_2_3_SplitBommie_20230801	1	0	876.46740	270.36313	921.78162	294.02793
H4_2_3_SplitBommie_20230801	1	1	1112.83582	324.68156	1135.70149	356.87709
H4_2_3_SplitBommie_20230801	2	0	618.06913	490.16760	766.83818	513.48045
H4_2_3_SplitBommie_20230801	2	1	818.66614	402.17877	984.02592	425.49162
H4_2_3_SplitBommie_20230801	3	0	922.38885	540.86592	929.18303	568.43575
H4_2_3_SplitBommie_20230801	3	1	1072.45954	502.65363	1081.76748	522.43017
H4_2_3_SplitBommie_20230801	4	0	945.41084	498.17318	864.20896	525.88268
H4_2_3_SplitBommie_20230801	4	1	1175.67007	519.03911	1091.45169	542.72626
H4_2_3_SplitBommie_20230801	5	0	917.92773	495.82682	1178.20660	519.85475
H4_2_3_SplitBommie_20230801	5	1	1007.54988	656.65922	1241.05027	675.46927
H4_2_3_SplitBommie_20230801	6	0	642.83582	332.27933	1171.30086	350.01117
H4_2_3_SplitBommie_20230801	6	1	1008.01178	302.59218	1491.24352	333.98883
H4_2_3_SplitBommie_20230801	7	0	1109.25295	510.06145	968.20896	536.35196
H4_2_3_SplitBommie_20230801	7	1	1308.09034	491.96089	1158.49961	510.20670
H4_2_4_SplitBommie_20230801	0	0	1277.62940	574.30245	1310.54364	602.05995
H4_2_4_SplitBommie_20230801	0	1	1456.98622	522.06812	1491.37060	561.59673
H4_2_4_SplitBommie_20230801	1	0	1197.68913	343.40327	1265.25268	377.95368
H4_2_4_SplitBommie_20230801	1	1	1390.27718	370.62398	1449.01991	420.62398
O1_1_1_Bullocky_20230713	0	0	1333.81717	210.53598	1225.83880	214.88337
O1_1_1_Bullocky_20230713	0	1	1502.63782	312.37221	1381.93091	312.69975
O1_1_1_Bullocky_20230713	1	0	558.71598	167.49380	503.78227	140.69479
O1_1_1_Bullocky_20230713	1	1	707.43894	325.60794	694.04047	313.54839
O1_1_1_Bullocky_20230713	2	0	243.85206	324.26799	289.40684	321.58809
O1_1_1_Bullocky_20230713	2	1	439.46964	420.74442	490.38381	435.48387
O1_1_1_Bullocky_20230713	3	0	702.97348	178.21340	750.38381	166.82382
O1_1_1_Bullocky_20230713	3	1	801.45220	225.78164	861.59107	218.41191
O1_1_1_Bullocky_20230713	4	0	1339.28402	467.68983	1284.28402	459.20099
