OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
H1_1_1_Northern_20230914	HamishMalcolm																		
H1_1_2_Northern_20230925	Art Schultz	32																	
H1_1_3_Northern_20230925	Sarah Chyriwsky	34																	
H1_1_4_Northern_20230925	Sarah Chyriwsky	36																	
H1_2_1_Northern_20230925	Art Schultz	32																	
H1_2_2_Northern_20230925	Art Schultz	31																	
H1_2_3_Northern_20230925	Sarah Chyriwsky	30																	
H1_2_4_Northern_20230925	Sarah Chyriwsky	30																	
H2_1_1_Central_20230718	Art Schultz	28																	
H2_1_2_Central_20230718	Art Schultz	26																	
H2_1_3_Central_20230718	Art Schultz	28																	
H2_1_4_Central_20230718	Art Schultz	26.5																	
H2_2_1_Central_20230718	Art Schultz	27																	
H2_2_2_Central_20230718	Art Schultz	26																	
H2_2_3_Central_20230718	Art Schultz	26																	
H2_2_4_Central_20230718	Art Schultz	27																	
H4_1_1_SplitBommie_20230713	Art Schultz	25																	
H4_1_2_SplitBommie_20230713	Art Schultz	25																	
H4_1_3_SplitBommie_20230713	Art Schultz	28																	
H4_1_4_SplitBommie_20230713	Art Schultz	28																	
H4_2_1_SplitBommie_20230801	Art Schultz	25																	
H4_2_2_SplitBommie_20230801	Art Schultz	26																	
H4_2_3_SplitBommie_20230801	Art Schultz	26																	
H4_2_4_SplitBommie_20230801	Art Schultz	25																	
O1_1_1_Bullocky_20230713	HamishMalcolm																		
O1_1_2_Bullocky_20230713	Art Schultz	28																	
O1_1_3_Bullocky_20230713	Art Schultz	26																	
O1_1_4_Bullocky_20230713	Art Schultz	27																	
O1_2_1_Bullocky_20230713	Art Schultz	27																	
O1_2_2_Bullocky_20230713	Art Schultz	28																	
O1_2_3_Bullocky_20230713	Art Schultz	28																	
O1_2_4_Bullocky_20230713	Art Schultz	26																	
O2_1_1_Patch_20230804	Art Schultz	36																	
O2_1_2_Patch_20230804	Art Schultz	37																	
O2_1_3_Patch_20230804	Art Schultz	37																	
O2_1_4_Patch_20230804	Art Schultz	37																	
O2_2_1_Patch_20230804	Art Schultz	32																	
O2_2_2_Patch_20230804	Art Schultz	35																	
O2_2_3_Patch_20230804	Art Schultz	35																	
O2_2_4_Patch_20230804	Art Schultz	33																	
O4_1_1_BroomsHead_20230927	Art Schultz	26																	
O4_1_2_BroomsHead_20230927	Art Schultz	26																	
O4_1_3_BroomsHead_20230927	Sarah Chyriwsky	25																	
O4_1_4_BroomsHead_20230927	Art Schultz	25																	
O4_2_1_BroomsHead_20230927	Art Schultz	25																	
O4_2_2_BroomsHead_20230927	Art Schultz	28																	
O4_2_3_BroomsHead_20230927	Art Schultz	26																	
O4_2_4_BroomsHead_20230927	Art Schultz	27																	
S1_1_1_Northern_20230925 	HamishMalcolm																		
S1_1_2_Northern_20230925	Art Schultz	31																	
S1_1_3_Northern_20230925	Sarah Chyriwsky	25																	
S1_1_4_Northern_20230925	Sarah Chyriwsky	26																	
S1_2_1_Northern_20230809	Art Schultz	33																	
S1_2_2_Northern_20230809	Art Schultz	32																	
S1_2_3_Northern_20230809	Art Schultz	34																	
S1_2_4_Northern_20230809	Art Schultz	34																	
S3_1_1_Butterfly_20230718	Art Schultz	29																	
S3_1_2_Butterfly_20230718	Art Schultz	28.2																	
S3_1_3_Butterfly_20230718	Art Schultz	29																	
S3_1_4_Butterfly_20230718	Art Schultz	28.5																	
S3_2_1_Butterfly_20230718	Art Schultz	29																	
S3_2_2_Butterfly_20230718	Art Schultz	28																	
S3_2_3_Butterfly_20230718	Art Schultz	28																	
S3_2_4_Butterfly_20230718	Art Schultz	28																	
S4_1_1_40Acres_20230713	Art Schultz	26																	
S4_1_2_40Acres_20230713	Art Schultz	25																	
S4_1_3_40Acres_20230713	Art Schultz	25																	
S4_1_4_40Acres_20230713	Art Schultz	25																	
S4_2_1_40Acres_20230801	Art Schultz	23																	
S4_2_2_40Acres_20230801	Art Schultz	25																	
S4_2_3_40Acres_20230801	Art Schultz	25																	
S4_2_4_40Acres_20230801	Art Schultz	25																	
