OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
Pimp1_20231103	0	0	130.91123	206.10615	95.52239	183.51397
Pimp1_20231103	0	1	599.64336	226.68715	584.93873	213.22905
Pimp1_20231103	1	0	1131.07463	356.06145	1315.08013	365.46369
Pimp1_20231103	1	1	1427.87431	313.56983	1628.07620	333.51955
Pimp1_20231103	2	0	1019.81068	245.99441	1040.36685	247.09497
Pimp1_20231103	2	1	1238.50668	193.45251	1237.44462	196.56425
Pimp1_20231103	3	0	172.55381	574.75419	169.16654	604.34078
Pimp1_20231103	3	1	435.74313	547.60335	469.66929	567.01117
Pimp1_20231103	4	0	968.75727	328.59777	1190.88060	335.95531
Pimp1_20231103	4	1	1173.62765	207.67598	1442.50668	223.32961
Pimp2_20230914	0	0	1004.42734	556.87709	980.30086	556.70950
Pimp2_20230914	0	1	1229.40770	556.87709	1196.23174	558.97207
Pimp2_20230914	1	0	64.85467	708.93855	15.08248	711.95531
Pimp2_20230914	1	1	348.40534	705.92179	348.40534	696.87151
Pimp2_20230914	2	0	604.12255	523.48603	617.01571	504.53073
Pimp2_20230914	2	1	770.02985	514.18436	801.19010	504.41341
Pimp2_20230914	3	0	318.60330	416.05587	337.95208	377.71508
Pimp2_20230914	3	1	531.51767	463.06704	531.25923	439.55866
Pimp2_20230914	4	0	214.95915	273.14525	4.02200	177.27374
Pimp2_20230914	4	1	362.01335	368.67598	205.12176	307.70950
Pimp2_20231103	0	0	378.64886	155.88827	289.14611	72.67598
Pimp2_20231103	0	1	470.14925	306.97765	395.25609	253.51955
Pimp2_20231103	1	0	928.91516	648.33520	838.71877	649.53073
Pimp2_20231103	1	1	1082.50511	707.16201	994.57109	700.31285
Pimp3_20230914	0	0	1401.76991	508.70629	1399.88201	526.74126
Pimp3_20230914	0	1	1621.71091	384.09091	1618.87906	421.95105
Pimp3_20230914	1	0	1628.31858	418.44755	1556.57817	455.15385
Pimp3_20230914	1	1	1814.27729	381.62937	1711.38643	424.00000
Pimp3_20230914	2	0	911.18584	935.55944	1138.97935	959.16084
Pimp3_20230914	2	1	1224.57817	952.55245	1462.75516	950.66434
Pimp3_20231103	0	0	911.88767	351.23464	968.01807	378.93855
Pimp3_20231103	0	1	1063.71799	294.16760	1138.45012	324.13408
Pimp3_20231103	1	0	620.19246	558.06145	707.97565	594.71508
Pimp3_20231103	1	1	826.57109	538.95531	952.15318	570.04469
Pimp4_20231103	0	0	594.28594	359.01117	708.62529	323.69832
Pimp4_20231103	0	1	765.22074	433.17318	850.90338	420.23464
Pimp4_20231103	1	0	248.67321	336.80447	408.03849	254.91061
Pimp4_20231103	1	1	509.09741	418.75978	666.95444	382.11732
Pimp4_20231103	2	0	60.02749	258.68156	254.75570	152.72626
Pimp4_20231103	2	1	314.41870	365.77654	537.95130	298.97207
Pimp4_20231103	3	0	1077.51296	49.02235	965.06913	68.12849
Pimp4_20231103	3	1	1350.00079	10.30726	1229.87981	81.20112
Pimp4_20231103	4	0	805.94658	145.48045	824.56481	128.60335
Pimp4_20231103	4	1	994.47761	155.28492	1003.29222	164.05028
Pimp4_20231103	5	0	614.92459	290.54749	757.20896	255.12849
Pimp4_20231103	5	1	861.02042	308.89944	1025.67714	295.10056
Pimp4_20231103	6	0	1326.49097	521.77095	1424.83268	546.76536
Pimp4_20231103	6	1	1568.66143	465.44693	1673.55695	527.47486
Pimp4_20231103	7	0	1325.15161	198.01117	1374.74234	246.94972
Pimp4_20231103	7	1	1831.01335	208.78212	1820.70699	302.63128
