OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
BD01-1	1	BD01-1_L06_MAH00369.MP4	34028	BD01-1_R005_MAH00304.MP4	33295	9.46167	BD01-1	6.94944	419.45122	-186.52590	-1044.06265	0.96145	0.63848	2.13004	0.00584	1140.52535	23.65997	Labridae	Pseudolabrus	biserialis	37384149	1	AD	Passing			
BD01-1	7	BD01-1_L06_MAH00370.MP4	3195	BD01-1_R005_MAH00305.MP4	2462	23.44481	BD01-1	20.93258	402.90859	-233.26125	-901.83838	0.79838	0.59632	1.53924	0.66622	1014.91803	27.21256	Mullidae	Parupeneus	chrysopleuron	37355016	1	AD	Passing			
BD01-1	29	BD01-1_L06_MAH00371.MP4	8220	BD01-1_R005_MAH00306.MP4	7487	47.38122	BD01-1	44.86899	42.31480	-171.53629	-969.93738	0.49118	0.58494	1.92101	0.64131	985.89744	10.14490	Scorpididae	Neatypus	obliquus	37361002	11	AD	Passing			
BD01-1	55	BD01-1_L06_MAH00371.MP4	32014	BD01-1_R005_MAH00306.MP4	31281	53.99728	BD01-1	51.48504	-21.74035	41.60722	-741.65408	0.37651	0.37029	1.13651	0.24030	743.13833	3.78591	Labridae	Coris	auricularis	37384088	39	AD	Passing			
BD01-2	3	BD01-2_L12_MAH00274.MP4	44919	BD01-2_R11_MAH00269.MP4	44360	12.48998	BD01-2	9.85929	-521.37974	-294.77722	-1126.07738	1.18692	0.82271	2.40472	1.97238	1275.45314	28.05372	Gerreidae	Gerres	subfasciatus	37349005	1	AD	Passing			
BD01-2	4	BD01-2_L12_MAH00275.MP4	4179	BD01-2_R11_MAH00270.MP4	3620	23.71842	BD01-2	21.08773	-534.71541	-131.72732	-1163.16246	1.26112	0.62912	2.59553	0.91209	1286.94194	25.35777	Carangidae	Trachurus	novaezelandiae	37337003	3	AD	Passing			
BD01-2	8	BD01-2_L12_MAH00276.MP4	11462	BD01-2_R11_MAH00271.MP4	10903	48.28268	BD01-2	45.65200	-413.95387	-244.58016	-1617.64929	1.47993	1.09369	5.17489	2.66691	1687.59192	16.60097	Platycephalidae	Platycephalus	speculator	37296037	3	AD	Passing			
BD01-3	7	BD01-3_L22_MAH00253.MP4	22898	BD01-3_R21_MAH00246.MP4	22438	6.36692	BD01-3	2.35318	-513.98222	-57.17356	-1065.80976	1.08449	0.51290	2.05229	0.74846	1184.65057	25.96784	Gerreidae	Parequula	melbournensis	37349001	1	AD	Passing			
BD01-3	8	BD01-3_L22_MAH00253.MP4	38865	BD01-3_R21_MAH00246.MP4	38405	10.80663	BD01-3	6.79290	-947.91895	-534.78257	-1853.49035	3.00239	1.82344	5.92816	0.39000	2149.41137	30.76398	Muraenidae	Gymnothorax	woodwardi	37060054	1	AD	Passing			
BD01-3	9	BD01-3_L22_MAH00253.MP4	52096	BD01-3_R21_MAH00246.MP4	51636	14.48558	BD01-3	10.47185	-371.01713	-360.32711	-1099.46398	0.91234	0.88438	2.28788	0.71716	1215.03514	25.67525	Urolophidae	Trygonoptera	ovalis	37038016	1	AD	Passing			
BD01-3	12	BD01-3_L22_MAH00253.MP4	67650	BD01-3_R21_MAH00246.MP4	67190	18.81046	BD01-3	14.79673	-436.53968	-88.29793	-986.71040	0.90479	0.49048	1.79356	0.30703	1082.57139	24.43821	Pomacentridae	Chromis	westaustralis	37372055	7	AD	Passing			
BD01-3	14	BD01-3_L22_MAH00253.MP4	75922	BD01-3_R21_MAH00246.MP4	75462	21.11053	BD01-3	17.09680	424.05152	-93.39018	-4230.96229	4.01353	2.11255	35.11672	5.51910	4253.18508	6.04444	Carangidae	Seriola	hippos	37337007	1	AD	Passing			
BD01-3	48	BD01-3_L22_MAH00254.MP4	63686	BD01-3_R21_MAH00247.MP4	63226	40.26467	BD01-3	36.25094	-297.22327	-130.06257	-979.25441	0.72176	0.52226	1.86189	1.21084	1031.59931	18.61592	Labridae	Coris	auricularis	37384088	42	AD	Passing			
BD01-3	51	BD01-3_L22_MAH00255.MP4	26533	BD01-3_R21_MAH00248.MP4	26073	52.47325	BD01-3	48.45952	300.31736	717.00002	-3837.66888	2.88922	6.00991	28.78517	4.75867	3915.60748	10.82084	Scombridae	Scomberomorus	spp		1	AD	Passing			
BD01-4	0	BD01-4_L16_MAH00281.MP4	47326	BD01-4_R15_MAH00264.MP4	46805	13.15926	P1	6.78150	-323.81927	-92.37101	-856.51609	0.65651	0.43382	1.39791	0.83133	920.33208	21.62603	Serranidae	Caesioscorpis	theagenes	37311135	1	AD	Passing			
