OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
BD01-1	0	0	572.41238	550.39925	360.62959	537.04478
BD01-1	0	1	305.46590	551.40672	106.27492	522.43657
BD01-1	1	0	1744.72193	753.58209	1355.88667	807.98507
BD01-1	2	0	1416.32739	302.23881	1229.25918	316.81343
BD01-1	2	1	370.70304	376.79104	203.98741	362.08955
BD01-1	3	0	1469.49423	915.27985	687.80378	941.47388
BD01-1	3	1	1269.53620	867.92910	542.74607	898.15299
BD01-1	4	0	1337.53200	1049.27239	668.16055	1065.89552
BD01-1	4	1	1529.93494	1016.02612	840.41658	1051.28731
BD01-1	5	0	1418.32634	1017.10075	578.34103	1040.20522
BD01-1	5	1	1588.06401	838.27612	786.86149	888.07836
BD01-1	6	0	1610.12277	935.51119	1043.76600	976.73507
BD01-1	6	1	1458.01364	947.09701	847.83736	979.25373
BD01-1	7	0	1873.66212	864.40299	1367.97482	926.86567
BD01-1	8	0	1755.95278	903.97015	1232.18468	969.68284
BD01-1	8	1	1553.47639	916.56343	1034.24134	965.14925
BD01-1	9	0	733.34732	614.55224	562.09864	606.49254
BD01-1	9	1	245.79224	618.58209	8.05876	580.29851
BD01-1	10	0	1171.86674	850.36567	747.16474	863.06716
BD01-1	10	1	1470.54460	772.79104	976.83945	804.13060
BD01-1	11	0	357.30430	375.21642	289.49948	362.68284
BD01-1	11	1	622.23610	290.58955	582.13326	290.14552
BD01-1	12	0	1355.48793	388.50746	1179.41133	402.50746
BD01-1	12	1	1651.64743	260.05597	1484.63694	287.15299
BD01-1	13	0	576.98426	805.32836	323.77859	778.94403
BD01-1	13	1	843.93075	720.70149	587.19937	708.92537
BD01-1	14	0	813.12697	353.60075	642.75236	360.23507
BD01-1	14	1	1227.98321	135.99254	1064.68520	133.23507
BD01-1	15	0	501.17314	269.98507	460.61805	265.53358
BD01-1	15	1	108.81217	262.93284	74.30115	249.91791
BD01-1	16	0	1281.37461	156.66045	1114.96642	163.53358
BD01-1	16	1	1598.68835	113.33955	1407.60021	125.75373
BD01-1	17	0	1484.82686	584.78731	1099.47009	621.60075
BD01-1	17	1	1889.77964	551.03731	1450.52991	604.97761
BD01-1	18	0	1240.37985	141.29478	1051.04197	150.71642
BD01-1	18	1	1058.05037	181.08955	868.71249	187.48881
BD01-1	19	0	629.92760	245.36940	490.51207	247.77612
BD01-1	19	1	467.24134	281.63806	342.93599	277.49627
BD01-1	20	0	812.86674	931.77985	220.66107	913.24627
BD01-1	20	1	1048.08185	842.61940	535.45645	843.73134
BD01-1	21	0	1375.92970	1048.26493	600.79014	1074.96269
BD01-1	21	1	1755.19517	985.80224	1013.29801	1049.77612
BD01-1	22	0	1096.59496	967.55970	516.03987	968.99627
BD01-1	22	1	1351.45331	833.56716	810.18468	862.20522
BD01-1	23	0	538.87723	606.44403	314.06506	587.92537
BD01-1	23	1	649.68520	620.04478	457.61175	604.54851
BD01-1	24	0	1358.36097	405.94776	865.31689	421.50373
BD01-1	24	1	1080.83736	373.70896	553.54355	386.74627
BD01-1	25	0	718.36516	289.77612	531.66632	290.81343
BD01-1	25	1	539.05771	344.68284	389.12697	338.66791
BD01-1	26	0	1160.04722	768.73134	619.24554	780.52985
BD01-1	26	1	1502.04092	867.46269	870.57817	901.92910
BD01-1	27	0	1466.36516	830.84328	1129.83945	874.93284
BD01-1	27	1	1296.12382	836.38433	963.62749	870.39925
BD01-1	28	0	1057.82791	856.68284	448.77230	858.69776
BD01-1	28	1	745.04722	821.92537	169.23400	790.69403
BD01-1	29	0	1271.26967	779.77612	801.84680	793.88060
BD01-1	30	0	1231.77335	184.21269	937.01889	194.06716
BD01-1	30	1	984.97377	161.54478	694.24869	171.90299
BD01-1	31	0	1084.19727	214.43657	966.73557	221.77239
BD01-1	31	1	984.97377	211.91791	872.54879	217.74254
BD01-1	32	0	1479.24029	435.35075	1001.04512	453.01493
BD01-1	32	1	1272.73452	306.89925	805.62015	325.57090
BD01-1	33	0	1578.58657	251.02985	1214.45750	270.70522
BD01-1	33	1	1424.46275	219.29478	1108.18258	232.42164
BD01-1	34	0	1615.91396	215.38806	1416.65687	232.98881
BD01-1	34	1	1708.08604	73.83955	1501.27387	82.87687
BD01-1	35	0	1773.05981	224.95896	1522.42812	251.12313
BD01-1	35	1	1621.45435	274.82836	1352.69045	296.96269
BD01-1	36	0	1582.91291	546.16045	1112.10493	584.45522
BD01-1	36	1	1441.38090	378.92164	1063.24869	400.08955
BD01-1	37	0	574.06506	96.21269	360.16055	101.25000
BD01-1	37	1	735.24029	88.65672	544.00105	97.72388
BD01-1	38	0	1305.54565	444.09701	594.19203	461.60821
BD01-1	38	1	1140.84470	410.85075	366.53200	416.27239
BD01-1	39	0	1549.28437	292.69030	1320.12277	316.84701
BD01-1	39	1	1409.76705	270.52612	1185.13851	286.62313
BD01-1	40	0	461.85834	258.63060	463.80273	257.59328
BD01-1	40	1	372.20462	231.93284	394.79958	228.88060
BD01-1	41	0	262.86254	166.60075	76.55824	166.23134
BD01-1	41	1	469.36831	98.09328	273.99790	103.26493
BD01-1	42	0	1302.45121	876.32463	628.53200	901.80597
BD01-1	42	1	1517.01574	676.34328	788.69990	716.93657
BD01-1	43	0	917.78909	934.38806	162.47324	917.49627
BD01-1	43	1	1058.31375	900.13433	370.49003	894.32463
