OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
BD01-1	Ethan	32.8		Location	Jurien Bay	Date	20210507	Time	7:42:54	Latitude	-30.35606982	Longitude	114.9625714	Cameras	L006_R005				
BD01-2	Ethan	32.5		Location	Jurien Bay	Date	20210507	Time	7:48:14	Latitude	-30.35803385	Longitude	114.9650664	Cameras	L12_R11				
BD01-3	Ethan	33.6		Location	Jurien Bay	Date	20210507	Time	7:54:09	Latitude	-30.35966008	Longitude	114.9642764	Cameras	L22_R21				
BD01-4	Ethan	29.8		Location	Jurien Bay	Date	20210507	Time	8:01:44	Latitude	-30.35629618	Longitude	114.9698275	Cameras	L16_R15				
BD02-1	Chris Douglas	35.3		Location	Jurien Bay	Date	20210507	Time	08:13:25	Latitude	-30.3522	Longitude	114.9365	Cameras	L14_R13				
BD02-3	Damon	34.8		Location	Jurien Bay	Date	20210507	Time	08:22:10	Latitude	-30.3509	Longitude	114.934	Cameras	L20_R19				
BD02-4	Damon	34.2		Location	Jurien Bay	Date	20210507	Time	8:27:29	Latitude	-30.3526238	Longitude	114.9389791	Cameras	L18_R17				
BD03-1	Chris Douglas	34		Location	Jurien Bay	Date	20210507	Time	10:00:03	Latitude	-30.2572	Longitude	114.9387	Cameras	L18_R17				
BD03-2	Chris Douglas	35.2		Location	Jurien Bay	Date	20210507	Time	10:05:23	Latitude	-30.2595	Longitude	114.9323	Cameras	L20_R19				
BD03-3	Chris Douglas	34.7		Location	Jurien Bay	Date	20210507	Time	10:09:21	Latitude	-30.2536	Longitude	114.9261	Cameras	L10_R09				
BD03-4	Chris Douglas	34.1		Location	Jurien Bay	Date	20210507	Time	10:12:44	Latitude	-30.2503	Longitude	114.9332	Cameras	L14_R13				
BD04-1	Chris Douglas	34.3		Location	Jurien Bay	Date	20210507	Time	10:19:01	Latitude	-30.2342	Longitude	114.934	Cameras	L16_R15				
BD04-2	Chris Douglas	33.7		Location	Jurien Bay	Date	20210507	Time	10:22:34	Latitude	-30.2358	Longitude	114.9331	Cameras	L22_R21				
BD04-3	Chris Douglas	33.6		Location	Jurien Bay	Date	20210507	Time	10:26:07	Latitude	-30.2399	Longitude	114.9337	Cameras	L12_R11				
BD04-4	Chris Douglas	33.7		Location	Jurien Bay	Date	20210507	Time	10:30:18	Latitude	-30.2406	Longitude	114.9424	Cameras	L06_R05				
