OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
BD01-1	0	BD01-1	BD01-1_L06_MAH00369.MP4	9035	2.51223	BD01-1_L06_MAH00371.MP4	62653	62.51662	1
BD01-2	0	BD01-2	BD01-2_L12_MAH00274.MP4	9461	2.63068	BD01-2_L12_MAH00276.MP4	63086	62.63702	1
BD01-3	0	BD01-3	BD01-3_L22_MAH00253.MP4	14435	4.01373	BD01-3_L22_MAH00255.MP4	68072	64.02340	1
BD01-4	0	P1	BD01-4_L16_MAH00281.MP4	22937	6.37776	BD01-4_L16_MAH00283.MP4	76540	66.37798	1
BD02-1	0	P1	BD02-1_L14_MAH00195.MP4	40052	11.13668	BD02-1_L14_MAH00197.MP4	41521	56.64075	1
BD02-3	0	P1	BD02-3_L20_MAH00256.MP4	10864	3.02080	BD02-3_L20_MAH00258.MP4	64467	63.02101	1
BD02-4	0	P1	BD02-4_R17_MAH00266.MP4	17168	4.77366	BD02-4_R17_MAH00268.MP4	70771	64.77388	1
BD03-1	0	Soak Time	BD03-1_L18_MAH00271.MP4	14791	4.11272	BD03-1_L18_MAH00273.MP4	68394	64.11294	1
BD03-2	0	Soak Time	BD03-2_L20_MAH00260.MP4	14275	3.96924	BD03-2_L20_MAH00262.MP4	67878	63.96946	1
BD03-3	0	Soak Time	BD03-3_R09_MAH00358.MP4	10058	2.79668	BD03-3_R09_MAH00360.MP4	63661	62.79690	1
BD03-4	0	Soak Time	BD03-4_L14_MAH00199.MP4	8037	2.23473	BD03-4_L14_MAH00201.MP4	61640	62.23495	1
BD04-1	0	Soak Time	BD04-1_L16_MAH00285.MP4	19347	5.37954	BD04-1_L16_MAH00287.MP4	72950	65.37976	1
BD04-2	0	Soak Time	BD04-2_L22_MAH00257.MP4	10438	2.90234	BD04-2_L22_MAH00259.MP4	64041	62.90256	1
BD04-3	0	Soak Time	BD04-3_L12_MAH00279.MP4	11232	3.12312	BD04-3_L12_MAH00281.MP4	64835	63.12334	1
BD04-4	0	Soak Time	BD04-4_L06_MAH00373.MP4	14346	3.98899	BD04-4_L06_MAH00375.MP4	67949	63.98920	1
BISZ2-1	0	BIZS2-1	BISZ2-1_L12_207.MP4	10570	2.93905	BISZ2-1_L12_209.MP4	62374	62.43904	1
BISZS1-1	0	1	BISZS1-1_L12_214.MP4	12343	3.43204	BISZS1-1_L12_216.MP4	66011	63.43393	1
BISZS1-2	0	Soak time	BISZS1-2_L18_206.MP4	4100	1.14003	BISZS1-2_L18_208.MP4	57764	61.15721	1
BISZS1-3	0	BISZS1-3	BISZS1-3_L16_219.MP4	5111	1.42114	BISZS1-3_L16_221.MP4	58713	61.42108	1
BISZS1-4	0	BISZS1-4	BISZ1-4_L22_195.MP4	8569	2.38266	BISZ1-4_L22_197.MP4	62189	62.38760	1
BIZS2-2	0	BIZS2-2	BIZS2-2_L18_199.MP4	3706	1.03047	BIZS2-2_L18_201.MP4	53172	59.86397	1
BIZS2-3	0	BIZS2-3	BIZS2-3_L16_212.MP4	5739	1.59576	BIZS2-3_L16_214.MP4	58923	61.47947	1
BIZS2-4	0	BIZS2-4	BIZS2-4_L22_188.MP4	6913	1.92220	BIZS2-4_L22_190.MP4	55081	60.41118	1
BS03-1	0	Soak Time	BS03-1_L22_MAH00246.MP4	6396	1.77844	BS03-1_L22_MAH00248.MP4	59999	61.77866	1
BS03-2	0	Soak Time	BS03-2_R15_MAH00361.MP4	5356	1.48927	BS03-2_R15_MAH00363.MP4	58959	61.48948	1
BS03-3	0	Soak Time	BS03-3_L12_MAH00267.MP4	6904	1.91970	BS03-3_L12_MAH00269.MP4	60726	61.98081	1
BS03-4	0	Soak Time	BS03-4_L16_MAH00273.MP4	4386	1.21955	BS03-4_L16_MAH00275.MP4	57989	61.21977	1
BS04-1	0	BS04-1	BS04-1_L14_MAH00187.MP4	8142	2.26393	BS04-1_L14_MAH00189.MP4	61786	62.27555	1
BS04-2	0	Soak Time	BS04-2_L10_MAH00345.MP4	5993	1.66639	BS04-2_L10_MAH00347.MP4	59596	61.66661	1
BS04-3	0	Soak Time	BS04-3_L20_MAH00248.MP4	6312	1.75509	BS04-3_L20_MAH00250.MP4	59915	61.75530	1
BS04-4	0	Soak Time	BS04-4_L18_MAH00259.MP4	5786	1.60883	BS04-4_L18_MAH00261.MP4	59389	61.60905	1
BS05-1	0	Soak Time	BS05-1_L20_MAH00244.MP4	8323	2.31426	BS05-1_L20_MAH00246.MP4	61926	62.31447	1
BS05-2	0	Soak Time 	BS05-2_L10_MAH00341.MP4	6580	1.82961	BS05-2_L10_MAH00343.MP4	60183	61.82982	1
BS05-3	0	Soak Time	BS05-3_L14_MAH00183.MP4	4252	1.18229	BS05-3_L14_MAH00185.MP4	57855	61.18251	1
