OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
BD01-1	1.09	2024 05 20 14:19:19	E:\07-05-2021\	BD01-1.EMObs
BD01-2	1.09	2024 05 20 14:19:19	E:\07-05-2021\	BD01-2.EMObs
BD01-3	1.09	2024 05 20 14:19:19	E:\07-05-2021\	BD01-3.EMObs
BD01-4	1.09	2024 05 20 14:19:19	E:\07-05-2021\	BD01-4.EMObs
BD02-1	1.09	2024 05 20 14:19:19	F:\07-05-2021\	BD02-1.EMObs
BD02-3	1.09	2024 05 20 14:19:19	E:\07-05-2021\	BD02-3.EMObs
BD02-4	1.09	2024 05 20 14:19:19	F:\BRUV\	BD02-4.EMObs
BD03-1	1.09	2024 05 20 14:19:19	F:\BRUV\	BD03-1.EMObs
BD03-2	1.09	2024 05 20 14:19:19	F:\07-05-2021\	BD03-2.EMObs
BD03-3	1.09	2024 05 20 14:19:19	F:\07-05-2021\	BD03-3.EMObs
BD03-4	1.09	2024 05 20 14:19:19	F:\07-05-2021\	BD03-4.EMObs
BD04-1	1.09	2024 05 20 14:19:19	F:\BRUV\	BD04-1.EMObs
BD04-2	1.09	2024 05 20 14:19:19	F:\07-05-2021\	BD04-2.EMObs
BD04-3	1.09	2024 05 20 14:19:19	F:\BRUV\	BD04-3.EMObs
BD04-4	1.09	2024 05 20 14:19:19	F:\BRUV\	BD04-4.EMObs
BISZ2-1	1.09	2024 05 20 14:19:19	I:\29-04-2021\	BISZ2-1.EMObs
BISZS1-1	1.09	2024 05 20 14:19:19	I:\01-05-2021\	BISZS1-1.EMObs
BISZS1-2	1.09	2024 05 20 14:19:19	I:\01-05-2021\	BISZS1-2.EMObs
BISZS1-3	1.09	2024 05 20 14:19:19	D:\01-05-2021\	BISZS1-3.EMObs
BISZS1-4	1.09	2024 05 20 14:19:19	I:\01-05-2021\	BISZS1-4.EMObs
BIZS2-2	1.09	2024 05 20 14:19:19	I:\29-04-2021\	BIZS2-2.EMObs
BIZS2-3	1.09	2024 05 20 14:19:19	I:\29-04-2021\	BIZS2-3.EMObs
BIZS2-4	1.09	2024 05 20 14:19:19	D:\29-04-2021\	BIZS2-4.EMObs
BS03-1	1.09	2024 05 20 14:19:19	G:\06-05-2021\	BS03-1.EMObs
BS03-2	1.09	2024 05 20 14:19:19	F:\06-05-2021\	BS03-2.EMObs
BS03-3	1.09	2024 05 20 14:19:19	F:\06-05-2021\	BS03-3.EMObs
