Sample,Longitude,Latitude,Date,Time,Site,Location,Status,Depth,Observer,Maxn.complete.yyyymmdd,Maxn.checker,Successful.count,Successful.length,Left.cam,Right.cam,Rear.cam,Video.notes,Raw.hd,Con.hd,Forward.habitat.image.saved,Backward.habitat.image.saved,Habitat.classification ,Observer.length,Length.complete.date.yyyymmdd,Notes
1.01,113.5404917,-22.84786205,20190912,9:23:00,1,Ningaloo Marine Park,Fished,0,Brooke Gibbons,20199826,Todd,Yes,Yes,373,374,439,Lifted up 20 mins in. Test Video. Converted wrong.,1,1,Yes,Yes,20200304,Charlotte Aston,20191202,Two lat and lons in file given by CSIRO
1.02,113.5252875,-22.85016136,20190912,9:35:00,1,Ningaloo Marine Park,Fished,0,Brooke Gibbons,20190912,Todd,Yes,Yes,369,370,422,Easy test video. Converted wrong.,1,1,Yes,Yes,20200304,Charlotte Aston,20191202,
1.03,113.51304,-22.84437,20190912,9:43:00,1,Ningaloo Marine Park,Fished,0,Charlotte Aston,20190829,Todd,Yes,Yes,367,368,420,Hammer after 60 mins. On backwards photos too. Converted wrong.,1,1,Yes,Yes,20200304,Charlotte Aston,20200409,
1.04,113.5183981,-22.8402743,20190912,9:51:00,1,Ningaloo Marine Park,Fished,0,Charlotte Aston,20190904,Todd,Yes,Yes,375,376,440,,1,1,Yes,Yes,20200304,Charlotte Aston,20191202,
1.05,113.51601,-22.83417,20190912,9:58:00,1,Ningaloo Marine Park,Fished,0,Charlotte Aston,20190904,Todd. Can't measure Decapterus or commerson,Yes,No,372,371,564,,1,1,Yes,Yes,20200304,Charlotte Aston,20191202,Measurements accepted with high RMS
1.06,113.523387,-22.83153691,20190912,10:06:00,1,Ningaloo Marine Park,Fished,0,Charlotte Aston,20190911,Todd ,Yes,Yes,378,377,423,,1,1,Yes,Yes,20200304,Charlotte Aston,20191202,
2.02,113.5625852,-22.83153691,20190912,11:47:00,2,Ningaloo Marine Park,Fished,0,Brooke Gibbons,20190913,Todd,Yes,No,378,377,423,Right wasn't turned on. Jumping frames but no right.,1,1,Yes,Yes,20200304,,,Right wasn't turned on
2.03,113.5659111,-22.82900766,20190912,11:57:00,2,Ningaloo Marine Park,Fished,0,Charlotte Aston,20190904,Todd,Yes,Yes,372,371,564,,1,1,Yes,Yes,20200304,Charlotte Aston,20191203,Measurements accepted with high RMS
2.04,113.5815904,-22.82440903,20190912,12:05:00,2,Ningaloo Marine Park,Fished,0,Charlotte Aston,20190904,Todd,Yes,Yes,375,376,440,,1,1,Yes,Yes,20200304,Charlotte Aston,20191203,Measurements accepted with high RMS
2.05,113.5770767,-22.82256957,20190912,12:12:00,2,Ningaloo Marine Park,Fished,0,Charlotte Aston,20190906,Todd,Yes,Yes,367,368,420,,1,1,Yes,Yes,20200304,Charlotte Aston,20191203,
2.06,113.5716127,-22.82164985,20190912,12:18:00,2,Ningaloo Marine Park,Fished,0,Charlotte Aston,20190906,Todd,Yes,Yes,369,370,422,,1,1,Yes,Yes,20200304,Charlotte Aston,20191203,
2.07,113.5640106,-22.8191206,20190912,12:24:00,2,Ningaloo Marine Park,Fished,0,Charlotte Aston,20190910,Todd,Yes,Yes,373,374,439,,1,1,Yes,Yes,20200304,Charlotte Aston,20200316,
3.01,113.5207738,-22.81314238,20190912,14:12:00,3,Ningaloo Marine Park,Fished,0,Brooke Gibbons,20190912,Todd,Yes,Yes,367,368,420,Test Video. Converted wrong.,1,1,Yes,Yes,20200304,Charlotte Aston,20191203,
3.02,113.5262378,-22.81015327,20190912,14:07:00,3,Ningaloo Marine Park,Fished,0,Charlotte Aston,20190910,Todd,Yes,No,369,370,422,Right camera stopped early,1,1,Yes,Yes,20200304,Charlotte Aston,20200313,Right camera stopped early
3.03,113.5338398,-22.80693423,20190912,14:00:00,3,Ningaloo Marine Park,Fished,0,Brooke Gibbons,20190913,Todd,Yes,Yes,373,374,439,Video for rear facing instead of stills. Right is out of focus. Pulled a minute early.,1,1,Yes,Yes,20200304,Charlotte Aston,20200309,Measurements accepted with high RMS
3.04,113.51938,-22.80608,20190912,14:17:00,3,Ningaloo Marine Park,Fished,0,Brooke Gibbons,20190913,"Todd Can't measure Pristipomoides, Sphyraena",Yes,No,375,376,440,,1,1,Yes,Yes,20200304,Charlotte Aston,20200309,Measurements accepted with high RMS
3.05,113.51626,-22.80532471,20190912,14:21:00,3,Ningaloo Marine Park,Fished,0,Todd Bond,20190905,Todd,Yes,Yes,372,371,564,,1,1,Yes,Yes,20200304,Charlotte Aston,20200316,Measurements accepted with high RMS
3.06,113.5105585,-22.80463491,20190912,14:25:00,3,Ningaloo Marine Park,Fished,0,Todd Bond,20190905,Todd,Yes,Yes,378,377,423,,1,1,Yes,Yes,20200304,Charlotte Aston,20200316,
4.01,113.49708,-22.80504,20190813,8:05:00,4,Ningaloo Marine Park,Fished,85,Todd Bond,20190905,Todd,Yes,Yes,373,374,439,Nice habitat,1,1,Yes,Yes,20200304,Charlotte Aston,20200316,
4.02,113.51077,-22.79001,20190813,8:15:00,4,Ningaloo Marine Park,Fished,82,Todd Bond,20190904,Todd,Yes,Yes,367,368,440,Light off (light is on but camera settings are weird TB),1,1,Yes,Yes,20200304,Charlotte Aston,20200316,
4.03,113.5005807,-22.78991929,20190813,8:24:00,4,Ningaloo Marine Park,Fished,72,Todd Bond,20190904,Todd,Yes,Yes,369,370,422,,1,1,Yes,Yes,20200304,Charlotte Aston,20200316,
