"Sample","Latitude","Longitude","Date","Time","Site","Location","Status","Depth","Successful.count","Successful.length","Observer","OpcodeCam","Timeonseabed","Endsamplingtime","Timebaitgone","Visibility","cruisenum","CampaignID"
10596,-19.502796,117.938227,20180510,09:12:08,NA,"POINT SAMSON AREA3","No-take",69.9,"Yes","Yes","Brigit Vaughan","A3CONT 1",4.8432,64.8432,NA,NA,108,"NWSS Seismic1"
10597,-19.499498,117.935664,20180510,09:15:34,NA,"POINT SAMSON AREA3","No-take",70.2,"Yes","Yes","Brigit Vaughan","A3CONT 2",5.9732,65.9732,NA,NA,108,"NWSS Seismic1"
10598,-19.502172,117.932416,20180510,09:19:18,NA,"POINT SAMSON AREA3","No-take",69.7,"Yes","Yes","Brigit Vaughan","A3CONT 3",6.923,66.923,NA,NA,108,"NWSS Seismic1"
10599,-19.502943,117.928614,20180510,09:22:12,NA,"POINT SAMSON AREA3","No-take",69.3,"Yes","No","Brigit Vaughan","A3CONT 4",7.2773,67.2773,NA,NA,108,"NWSS Seismic1"
10600,-19.507168,117.928025,20180510,09:26:46,NA,"POINT SAMSON AREA3","No-take",69.4,"Yes","Yes","Brigit Vaughan","A3CONT 5",7.9196,67.9196,NA,NA,108,"NWSS Seismic1"
10601,-19.50932,117.931862,20180510,09:30:30,NA,"POINT SAMSON AREA3","No-take",69.8,"Yes","Yes","Katherine Cure","A3CONT 6",7.5053,NA,NA,NA,108,"NWSS Seismic1"
10602,-19.506397,117.934868,20180510,09:33:46,NA,"POINT SAMSON AREA3","No-take",69.7,"Yes","Yes","Brigit Vaughan","A3CONT 7",6.0049,66.0049,NA,NA,108,"NWSS Seismic1"
10603,-19.508307,117.938881,20180510,09:38:30,NA,"POINT SAMSON AREA3","No-take",70,"Yes","Yes","Brigit Vaughan","A3CONT 8",8.4368,NA,NA,NA,108,"NWSS Seismic1"
10604,-19.502026,117.907203,20180510,11:14:08,NA,"POINT SAMSON AREA3","No-take",69.3,"Yes","No","Brigit Vaughan","A3CONT 9",6.8452,66.8452,NA,NA,108,"NWSS Seismic1"
10605,-19.499802,117.910239,20180510,11:16:52,NA,"POINT SAMSON AREA3","No-take",69.7,"Yes","Yes","Brigit Vaughan","A3CONT 10",7.0465,67.0465,NA,NA,108,"NWSS Seismic1"
10606,-19.497053,117.908442,20180510,11:19:18,NA,"POINT SAMSON AREA3","No-take",69.6,"Yes","Yes","Brigit Vaughan","A3CONT 11",3.91,63.91,NA,NA,108,"NWSS Seismic1"
10607,-19.493706,117.90553,20180510,11:21:42,NA,"POINT SAMSON AREA3","No-take",69.6,"Yes","Yes","Brigit Vaughan","A3CONT 12",5.297,65.297,NA,NA,108,"NWSS Seismic1"
10608,-19.495424,117.901869,20180510,11:24:56,NA,"POINT SAMSON AREA3","No-take",69.8,"Yes","No","Katherine Cure","A3CONT 13",4.8604,NA,NA,NA,108,"NWSS Seismic1"
10609,-19.499121,117.900077,20180510,11:28:16,NA,"POINT SAMSON AREA3","No-take",69.6,"Yes","Yes","Katherine Cure","A3CONT 14",6.6961,NA,NA,NA,108,"NWSS Seismic1"
10610,-19.502305,117.902578,20180510,11:31:02,NA,"POINT SAMSON AREA3","No-take",69.4,"Yes","No","Katherine Cure","A3CONT 15",6.4142,NA,NA,NA,108,"NWSS Seismic1"
10611,-19.498366,117.904725,20180510,11:33:58,NA,"POINT SAMSON AREA3","No-take",69.7,"Yes","Yes","Brigit Vaughan","A3CONT 16",6.0933,66.0933,NA,NA,108,"NWSS Seismic1"
10612,-19.529278,117.906402,20180510,13:52:54,NA,"POINT SAMSON AREA3","No-take",68.3,"Yes","No","Katherine Cure","A3CONT 17",3.1921,NA,NA,NA,108,"NWSS Seismic1"
10613,-19.52518,117.905887,20180510,13:56:08,NA,"POINT SAMSON AREA3","No-take",68.6,"Yes","Yes","Katherine Cure","A3CONT 18",4.9016,NA,NA,NA,108,"NWSS Seismic1"
10614,-19.520789,117.905926,20180510,13:59:02,NA,"POINT SAMSON AREA3","No-take",68.3,"Yes","No","Katherine Cure","A3CONT 19",5.4427,NA,NA,NA,108,"NWSS Seismic1"
10615,-19.522121,117.909917,20180510,14:02:20,NA,"POINT SAMSON AREA3","No-take",68.5,"Yes","No","Brigit Vaughan","A3CONT 20",8.0325,68.0325,NA,NA,108,"NWSS Seismic1"
10616,-19.526569,117.910255,20180510,14:05:34,NA,"POINT SAMSON AREA3","No-take",68.8,"Yes","No","Katherine Cure","A3CONT 21",6.6038,NA,NA,NA,108,"NWSS Seismic1"
10617,-19.527373,117.914332,20180510,14:09:06,NA,"POINT SAMSON AREA3","No-take",68.4,"Yes","Yes","Brigit Vaughan","A3CONT 22",7.2817,67.2817,NA,NA,108,"NWSS Seismic1"
10618,-19.523312,117.91448,20180510,14:12:24,NA,"POINT SAMSON AREA3","No-take",68.2,"Yes","No","Brigit Vaughan","A3CONT 23",6.0972,66.0972,NA,NA,108,"NWSS Seismic1"
10619,-19.518713,117.913046,20180510,14:14:52,NA,"POINT SAMSON AREA3","No-take",69.4,"Yes","Yes","Katherine Cure","A3CONT 24",6.3391,NA,NA,NA,108,"NWSS Seismic1"
10620,-19.684542,117.855106,20180511,07:42:46,NA,"POINT SAMSON AREA3","No-take",74.3,"Yes","Yes","Brigit Vaughan","A3CONTVES 1",4.3316,64.3316,NA,NA,108,"NWSS Seismic1"
10621,-19.683536,117.851093,20180511,07:45:20,NA,"POINT SAMSON AREA3","No-take",81.6,"Yes","Yes","Brigit Vaughan","A3CONTVES 2",5.788,65.788,NA,NA,108,"NWSS Seismic1"
10622,-19.679678,117.850617,20180511,07:48:38,NA,"POINT SAMSON AREA3","No-take",61.6,"Yes","Yes","Brigit Vaughan","A3CONTVES 3",4.9455,64.9455,NA,NA,108,"NWSS Seismic1"
10623,-19.676338,117.852643,20180511,07:52:02,NA,"POINT SAMSON AREA3","No-take",61.2,"Yes","Yes","Brigit Vaughan","A3CONTVES 4",6.6027,66.6027,NA,NA,108,"NWSS Seismic1"
10624,-19.67579,117.857928,20180511,07:55:28,NA,"POINT SAMSON AREA3","No-take",61.9,"Yes","Yes","Brigit Vaughan","A3CONTVES 5",4.2976,64.2976,NA,NA,108,"NWSS Seismic1"
10625,-19.678758,117.861315,20180511,07:59:06,NA,"POINT SAMSON AREA3","No-take",61.7,"Yes","No","Katherine Cure","A3CONTVES 6",6.4136,NA,NA,NA,108,"NWSS Seismic1"
10626,-19.680561,117.856273,20180511,08:03:16,NA,"POINT SAMSON AREA3","No-take",61.6,"Yes","Yes","Brigit Vaughan","A3CONTVES 7",8.6386,68.6386,NA,NA,108,"NWSS Seismic1"
10627,-19.682848,117.860167,20180511,08:07:18,NA,"POINT SAMSON AREA3","No-take",61.8,"Yes","No","Brigit Vaughan","A3CONTVES 8",8.6642,68.6642,NA,NA,108,"NWSS Seismic1"
10628,-19.682112,117.826704,20180511,09:49:20,NA,"POINT SAMSON AREA3","No-take",59.9,"Yes","Yes","Brigit Vaughan","A3CONTVES 9",5.4338,65.4338,NA,NA,108,"NWSS Seismic1"
10629,-19.684542,117.821581,20180511,09:52:50,NA,"POINT SAMSON AREA3","No-take",60.1,"Yes","Yes","Brigit Vaughan","A3CONTVES 10",8.5002,68.5002,NA,NA,108,"NWSS Seismic1"
10630,-19.687825,117.81792,20180511,09:55:56,NA,"POINT SAMSON AREA3","No-take",59.9,"Yes","Yes","Brigit Vaughan","A3CONTVES 11",6.6656,66.6656,NA,NA,108,"NWSS Seismic1"
