"Sample","Family","Genus","Species","Count","Stage","Caabcode","CampaignID"
10967,"Rhinidae","Rhynchobatus","australiae",1,"AD",37026005,"NWSS Seismic3"
10967,"Dasyatidae","unk","sp",1,"AD",37035000,"NWSS Seismic3"
10967,"Serranidae","Epinephelus","areolatus",5,"AD",37311009,"NWSS Seismic3"
10967,"Serranidae","Epinephelus","rankini",4,"AD",37311010,"NWSS Seismic3"
10967,"Serranidae","Plectropomus","maculatus",8,"AD",37311012,"NWSS Seismic3"
10967,"Serranidae","Cephalopholis","sonnerati",1,"AD",37311045,"NWSS Seismic3"
10967,"Grammistidae","Diploprion","bifasciatum",1,"AD",37312002,"NWSS Seismic3"
10967,"Carangidae","Platycaranx","chrysophrys",5,"AD",37337011,"NWSS Seismic3"
10967,"Lutjanidae","Lutjanus","vitta",13,"AD",37346003,"NWSS Seismic3"
10967,"Lutjanidae","Lutjanus","sebae",22,"AD",37346004,"NWSS Seismic3"
10967,"Lutjanidae","Lutjanus","erythropterus",1,"AD",37346005,"NWSS Seismic3"
10967,"Lutjanidae","Lutjanus","lemniscatus",1,"AD",37346010,"NWSS Seismic3"
10967,"Haemulidae","Diagramma","pictum",10,"AD",37350003,"NWSS Seismic3"
10967,"Lethrinidae","Gymnocranius","grandoculis",2,"AD",37351005,"NWSS Seismic3"
10967,"Sparidae","Argyrops","bleekeri",1,"AD",37353006,"NWSS Seismic3"
10967,"Ephippidae","Platax","orbicularis",1,"AD",37362007,"NWSS Seismic3"
10967,"Pomacanthidae","Chaetodontoplus","duboulayi",1,"AD",37365009,"NWSS Seismic3"
10967,"Labridae","Choerodon","cauteroma",3,"AD",37384005,"NWSS Seismic3"
10967,"Labridae","Labroides","dimidiatus",4,"AD",37384028,"NWSS Seismic3"
10967,"Gobiidae","Amblyeleotris","sp",2,"AD",37428904,"NWSS Seismic3"
10967,"Bothidae","unk","spp",1,"AD",37460922,"NWSS Seismic3"
10967,"Balistidae","Abalistes","stellatus",3,"AD",37465011,"NWSS Seismic3"
10967,"Balistidae","Sufflamen","fraenatum",1,"AD",37465014,"NWSS Seismic3"
10967,"Labridae","Scarus","sp3",2,"AD",37992059,"NWSS Seismic3"
10967,"Hydrophiidae","unk","sp",1,"AD",39125000,"NWSS Seismic3"
10968,"Rhinidae","Rhynchobatus","australiae",1,"AD",37026005,"NWSS Seismic3"
10968,"Synodontidae","Saurida","undosquamis",1,"AD",37118001,"NWSS Seismic3"
10968,"Nemipteridae","Nemipterus","furcosus",16,"AD",37347005,"NWSS Seismic3"
10968,"Labridae","Labroides","dimidiatus",2,"AD",37384028,"NWSS Seismic3"
10968,"Balistidae","Abalistes","stellatus",3,"AD",37465011,"NWSS Seismic3"
10968,"Tetraodontidae","Lagocephalus","sceleratus",1,"AD",37467007,"NWSS Seismic3"
10968,"Hydrophiidae","unk","sp",1,"AD",39125000,"NWSS Seismic3"
10968,"Elapidae","Aipysurus","tenuis",1,"AD",39125008,"NWSS Seismic3"
10969,"Carcharhinidae","Carcharhinus","plumbeus",1,"AD",37018007,"NWSS Seismic3"
10969,"Carcharhinidae","Galeocerdo","cuvier",1,"AD",37018022,"NWSS Seismic3"
10969,"Synodontidae","Saurida","undosquamis",1,"AD",37118001,"NWSS Seismic3"
10969,"Echeneidae","Echeneis","naucrates",1,"AD",37336001,"NWSS Seismic3"
10969,"Lutjanidae","Pristipomoides","multidens",2,"AD",37346002,"NWSS Seismic3"
10969,"Lutjanidae","Lutjanus","sebae",10,"AD",37346004,"NWSS Seismic3"
10969,"Nemipteridae","Nemipterus","furcosus",15,"AD",37347005,"NWSS Seismic3"
10969,"Labridae","Coris","dorsomacula",2,"AD",37384093,"NWSS Seismic3"
10969,"Balistidae","Abalistes","stellatus",1,"AD",37465011,"NWSS Seismic3"
10970,"Synodontidae","Saurida","undosquamis",1,"AD",37118001,"NWSS Seismic3"
10970,"Serranidae","Epinephelus","areolatus",1,"AD",37311009,"NWSS Seismic3"
10970,"Carangidae","Platycaranx","chrysophrys",11,"AD",37337011,"NWSS Seismic3"
10970,"Carangidae","Gnathanodon","speciosus",5,"AD",37337012,"NWSS Seismic3"
10970,"Carangidae","Caranx","papuensis",1,"AD",37337064,"NWSS Seismic3"
10970,"Nemipteridae","Nemipterus","celebicus",2,"AD",37347004,"NWSS Seismic3"
10970,"Nemipteridae","Nemipterus","furcosus",16,"AD",37347005,"NWSS Seismic3"
10970,"Mullidae","Upeneus","sundaicus",1,"AD",37355013,"NWSS Seismic3"
10970,"Pomacanthidae","Chaetodontoplus","duboulayi",1,"AD",37365009,"NWSS Seismic3"
10970,"Sphyraenidae","Sphyraena","barracuda",1,"AD",37382008,"NWSS Seismic3"
10970,"Balistidae","Abalistes","stellatus",1,"AD",37465011,"NWSS Seismic3"
10970,"Balistidae","Abalistes","stellatus",1,"JUV",37465011,"NWSS Seismic3"
10971,"Carcharhinidae","Loxodon","macrorhinus",1,"AD",37018005,"NWSS Seismic3"
10971,"Carcharhinidae","Carcharhinus","plumbeus",1,"AD",37018007,"NWSS Seismic3"
10971,"Rhinidae","Rhynchobatus","australiae",2,"AD",37026005,"NWSS Seismic3"
10971,"Synodontidae","Saurida","undosquamis",1,"AD",37118001,"NWSS Seismic3"
10971,"Rachycentridae","Rachycentron","canadum",2,"AD",37335001,"NWSS Seismic3"
10971,"Echeneidae","Echeneis","naucrates",1,"AD",37336001,"NWSS Seismic3"
10971,"Carangidae","Platycaranx","chrysophrys",9,"AD",37337011,"NWSS Seismic3"
10971,"Carangidae","Gnathanodon","speciosus",9,"AD",37337012,"NWSS Seismic3"
10971,"Carangidae","Caranx","papuensis",4,"AD",37337064,"NWSS Seismic3"
10971,"Nemipteridae","Nemipterus","furcosus",23,"AD",37347005,"NWSS Seismic3"
10971,"Sphyraenidae","Sphyraena","barracuda",1,"AD",37382008,"NWSS Seismic3"
10971,"Balistidae","Abalistes","stellatus",3,"AD",37465011,"NWSS Seismic3"
10971,"Hydrophiidae","unk","sp",1,"AD",39125000,"NWSS Seismic3"
10971,"Elapidae","Aipysurus","tenuis",1,"AD",39125008,"NWSS Seismic3"
10971,"Elapidae","Hydrophis","ornatus",1,"AD",39125028,"NWSS Seismic3"
10972,"Synodontidae","Saurida","undosquamis",1,"AD",37118001,"NWSS Seismic3"
10972,"Serranidae","Cephalopholis","boenak",1,"AD",37311008,"NWSS Seismic3"
10972,"Serranidae","Epinephelus","areolatus",7,"AD",37311009,"NWSS Seismic3"
10972,"Echeneidae","Echeneis","naucrates",1,"AD",37336001,"NWSS Seismic3"
10972,"Carangidae","Turrum","gymnostethus",1,"AD",37337022,"NWSS Seismic3"
10972,"Lutjanidae","Pristipomoides","multidens",2,"AD",37346002,"NWSS Seismic3"
10972,"Nemipteridae","Nemipterus","furcosus",20,"AD",37347005,"NWSS Seismic3"
10972,"Nemipteridae","Pentapodus","porosus",7,"AD",37347007,"NWSS Seismic3"
10972,"Lethrinidae","Gymnocranius","grandoculis",1,"AD",37351005,"NWSS Seismic3"
10972,"Mullidae","Parupeneus","heptacanthus",8,"AD",37355004,"NWSS Seismic3"
10972,"Chaetodontidae","Coradion","chrysozonus",1,"AD",37365004,"NWSS Seismic3"
10972,"Pomacanthidae","Chaetodontoplus","personifer",2,"AD",37365008,"NWSS Seismic3"
10972,"Labridae","Labroides","dimidiatus",1,"AD",37384028,"NWSS Seismic3"
10972,"Pinguipedidae","Parapercis","xanthozona",1,"AD",37390025,"NWSS Seismic3"
10972,"Scombridae","Scomberomorus","queenslandicus",1,"AD",37441014,"NWSS Seismic3"
10972,"Balistidae","Abalistes","stellatus",3,"AD",37465011,"NWSS Seismic3"
10972,"Balistidae","Sufflamen","fraenatum",1,"AD",37465014,"NWSS Seismic3"
10972,"Monacanthidae","Cantherhines","dumerilii",1,"AD",37465050,"NWSS Seismic3"
10972,"Monacanthidae","unk","sp",1,"AD",37465903,"NWSS Seismic3"
10973,"Synodontidae","Saurida","undosquamis",2,"AD",37118001,"NWSS Seismic3"
10973,"Carangidae","Turrum","gymnostethus",1,"AD",37337022,"NWSS Seismic3"
10973,"Lutjanidae","Pristipomoides","multidens",1,"AD",37346002,"NWSS Seismic3"
10973,"Nemipteridae","Nemipterus","furcosus",19,"AD",37347005,"NWSS Seismic3"
10973,"Sphyraenidae","Sphyraena","barracuda",1,"AD",37382008,"NWSS Seismic3"
10973,"Balistidae","Abalistes","stellatus",2,"AD",37465011,"NWSS Seismic3"
10973,"Balistidae","Abalistes","stellatus",1,"JUV",37465011,"NWSS Seismic3"
10973,"Tetraodontidae","Lagocephalus","lunaris",1,"AD",37467012,"NWSS Seismic3"
10973,"Elapidae","Aipysurus","tenuis",1,"AD",39125008,"NWSS Seismic3"
10974,"Synodontidae","Saurida","undosquamis",1,"AD",37118001,"NWSS Seismic3"
10974,"Carangidae","Seriolina","nigrofasciata",1,"AD",37337014,"NWSS Seismic3"
10974,"Nemipteridae","Nemipterus","celebicus",1,"AD",37347004,"NWSS Seismic3"
10974,"Nemipteridae","Nemipterus","furcosus",14,"AD",37347005,"NWSS Seismic3"
10974,"Labridae","Coris","dorsomacula",2,"AD",37384093,"NWSS Seismic3"
10974,"Balistidae","Abalistes","stellatus",2,"AD",37465011,"NWSS Seismic3"
10974,"Tetraodontidae","Lagocephalus","lunaris",1,"AD",37467012,"NWSS Seismic3"
10975,"Serranidae","Epinephelus","areolatus",4,"AD",37311009,"NWSS Seismic3"
10975,"Serranidae","Epinephelus","rankini",6,"AD",37311010,"NWSS Seismic3"
10975,"Serranidae","Plectropomus","maculatus",2,"AD",37311012,"NWSS Seismic3"
10975,"Serranidae","Cephalopholis","sonnerati",1,"AD",37311045,"NWSS Seismic3"
10975,"Serranidae","Epinephelus","insularis",1,"AD",37311059,"NWSS Seismic3"
10975,"Serranidae","Epinephelus","bilobatus",6,"AD",37311062,"NWSS Seismic3"
10975,"Grammistidae","Diploprion","bifasciatum",2,"AD",37312002,"NWSS Seismic3"
10975,"Echeneidae","Echeneis","naucrates",1,"AD",37336001,"NWSS Seismic3"
10975,"Carangidae","Turrum","fulvoguttatus",5,"AD",37337037,"NWSS Seismic3"
10975,"Lutjanidae","Pristipomoides","multidens",1,"AD",37346002,"NWSS Seismic3"
10975,"Lutjanidae","Lutjanus","vitta",7,"AD",37346003,"NWSS Seismic3"
10975,"Lutjanidae","Lutjanus","sebae",15,"AD",37346004,"NWSS Seismic3"
10975,"Lutjanidae","Lutjanus","lemniscatus",2,"AD",37346010,"NWSS Seismic3"
10975,"Lutjanidae","Lutjanus","russellii",1,"AD",37346065,"NWSS Seismic3"
