"Sample","Family","Genus","Species","Count","Length","PRECISIONS","RMS_PT1","RANGE","OpcodeCam","Observer","CampaignID"
10967,"Lutjanidae","Lutjanus","sebae",1,306.224,0.714,7.671,861.174,"A3MEDIUMB 41","Brigit Vaughan","NWSS Seismic3"
10967,"Lutjanidae","Lutjanus","sebae",1,344.018,5.288,8.185,2379.299,"A3MEDIUMB 41","Brigit Vaughan","NWSS Seismic3"
10967,"Lutjanidae","Lutjanus","sebae",1,373.257,3.648,11.74,1974.869,"A3MEDIUMB 41","Brigit Vaughan","NWSS Seismic3"
10967,"Lutjanidae","Lutjanus","sebae",1,399.721,3.515,11.743,2032.128,"A3MEDIUMB 41","Brigit Vaughan","NWSS Seismic3"
10967,"Lutjanidae","Lutjanus","sebae",1,456.033,1.851,11.587,1328.867,"A3MEDIUMB 41","Brigit Vaughan","NWSS Seismic3"
10967,"Lutjanidae","Lutjanus","sebae",1,457.548,7.116,14.198,2261.502,"A3MEDIUMB 41","Brigit Vaughan","NWSS Seismic3"
10967,"Lutjanidae","Lutjanus","sebae",1,461.04,0.958,7.942,1156.025,"A3MEDIUMB 41","Brigit Vaughan","NWSS Seismic3"
10967,"Lutjanidae","Lutjanus","sebae",1,477.574,1.971,17.074,1755.08,"A3MEDIUMB 41","Brigit Vaughan","NWSS Seismic3"
10967,"Lutjanidae","Lutjanus","sebae",1,490.998,2.475,10.52,1577.698,"A3MEDIUMB 41","Brigit Vaughan","NWSS Seismic3"
10967,"Lutjanidae","Lutjanus","sebae",1,508.71,4.891,17.067,2232.109,"A3MEDIUMB 41","Brigit Vaughan","NWSS Seismic3"
10967,"Lutjanidae","Lutjanus","sebae",1,512.267,7.608,7.232,2945.228,"A3MEDIUMB 41","Brigit Vaughan","NWSS Seismic3"
10967,"Lutjanidae","Lutjanus","sebae",1,512.925,1.559,9.188,1358.028,"A3MEDIUMB 41","Brigit Vaughan","NWSS Seismic3"
10967,"Lutjanidae","Lutjanus","sebae",1,513.878,3.919,10.108,1639.41,"A3MEDIUMB 41","Brigit Vaughan","NWSS Seismic3"
10967,"Lutjanidae","Lutjanus","sebae",1,519.838,1.128,7.708,1070.26,"A3MEDIUMB 41","Brigit Vaughan","NWSS Seismic3"
10967,"Lutjanidae","Lutjanus","sebae",1,524.638,0.753,6.623,824.281,"A3MEDIUMB 41","Brigit Vaughan","NWSS Seismic3"
10967,"Lutjanidae","Lutjanus","sebae",1,552.193,3.722,13.351,2150.297,"A3MEDIUMB 41","Brigit Vaughan","NWSS Seismic3"
10967,"Lutjanidae","Lutjanus","sebae",1,562.967,1.377,9.825,1068.825,"A3MEDIUMB 41","Brigit Vaughan","NWSS Seismic3"
