"Sample","Latitude","Longitude","Date","Time","Site","Location","Status","Depth","Successful.count","Successful.length","Observer","OpcodeCam","Timeonseabed","Endsamplingtime","Timebaitgone","Visibility","cruisenum","CampaignID"
12077,-18.75673,118.828915,20191009,07:34:12,NA,"KEFArea4","Fished",124.5,"Yes","No","Marcus Stowar","KEFArea4 24",11.61667,71.93333,NA,4,"119","NWSS KEF2"
12083,-18.70481,118.795946,20191001,13:30:40,NA,"KEFArea4","Fished",139.9,"Yes","No","Marcus Stowar","KEFArea4 18",11.41667,72.8,NA,1,"119","NWSS KEF2"
11572,-18.672269,118.950997,20190408,11:41:26,NA,"KEFArea4","Fished",139.7,"Yes","No","Marcus Stowar","KEFArea4 9",8.26666,68.65,NA,2,"119","NWSS KEF2"
11577,-18.748372,118.972185,20190407,12:00:06,NA,"KEFArea4","Fished",109.6,"Yes","No","Marcus Stowar","KEFArea4 4",13.23333,73.78333,NA,2,"119","NWSS KEF2"
11592,-15.613769,121.295411,20190404,07:59:16,NA,"KEFArea5","Fished",135.2,"Yes","No","Marcus Stowar","KEFArea5 47",11.13333,72.45,NA,5,"119","NWSS KEF2"
11595,-15.652819,121.235809,20190403,08:45:54,NA,"KEFArea5","Fished",114.5,"Yes","No","Marcus Stowar","KEFArea5 44",14.1,75.18333,NA,5,"119","NWSS KEF2"
11596,-15.6337,121.232744,20190403,08:37:18,NA,"KEFArea5","Fished",140.1,"Yes","No","Marcus Stowar","KEFArea5 43",12.78333,73.21667,NA,5,"119","NWSS KEF2"
11603,-15.685151,121.147162,20190402,08:36:34,NA,"KEFArea5","Fished",154.8,"Yes","No","Marcus Stowar","KEFArea5 36",8.1,68.55,NA,5,"119","NWSS KEF2"
11609,-15.770437,121.098797,20190401,11:22:48,NA,"KEFArea5","Fished",117,"Yes","No","Marcus Stowar","KEFArea5 30",15.91667,76.43333,NA,6,"119","NWSS KEF2"
11612,-15.777764,121.0712,20190401,10:58:52,NA,"KEFArea5","Fished",124.5,"Yes","No","Marcus Stowar","KEFArea5 27",10.43333,70.45,NA,5,"119","NWSS KEF2"
11613,-15.769085,121.076417,20190401,10:52:42,NA,"KEFArea5","Fished",124.3,"Yes","No","Marcus Stowar","KEFArea5 26",5.35,66.03333,NA,4,"119","NWSS KEF2"
11621,-15.816221,121.051012,20190331,08:08:40,NA,"KEFArea5","Fished",113.5,"Yes","No","Marcus Stowar","KEFArea5 18",20.65,82.08334,NA,4,"119","NWSS KEF2"
11627,-15.879622,121.033269,20190330,13:29:36,NA,"KEFArea5","Fished",101.4,"Yes","No","Marcus Stowar","KEFArea5 12",10.85,71.23333,NA,4,"119","NWSS KEF2"
11633,-15.930191,121.000413,20190329,13:55:02,NA,"KEFArea5","Fished",128.9,"Yes","No","Marcus Stowar","KEFArea5 6",8.38333,69,NA,3,"119","NWSS KEF2"
12069,-18.768861,118.889951,20191009,10:46:16,NA,"KEFArea4","Fished",109.2,"Yes","No","Marcus Stowar","KEFArea4 32",6.35,67.01667,NA,3,"119","NWSS KEF2"
12055,-18.672452,118.950933,20191009,15:11:16,NA,"KEFArea4","Fished",137.2,"Yes","No","Marcus Stowar","KEFArea4 46",17.61667,78.1,NA,3,"119","NWSS KEF2"
12059,-18.696761,118.894538,20191009,14:27:48,NA,"KEFArea4","Fished",135.6,"Yes","No","Marcus Stowar","KEFArea4 42",17.9,79.73333,NA,3,"119","NWSS KEF2"
12062,-18.711356,118.879469,20191009,14:08:12,NA,"KEFArea4","Fished",132.1,"Yes","No","Marcus Stowar","KEFArea4 39",8.7,69.61667,NA,3,"119","NWSS KEF2"
12063,-18.717132,118.93791,20191009,11:33:16,NA,"KEFArea4","Fished",126.9,"Yes","No","Marcus Stowar","KEFArea4 38",14.08333,76.16666,NA,3,"119","NWSS KEF2"
12052,-18.740226,118.763872,20191010,08:39:42,NA,"KEFArea4","Fished",133.8,"Yes","No","Marcus Stowar","KEFArea4 49",13.86667,74.1,NA,3,"119","NWSS KEF2"
11581,-15.6056,121.342673,20190405,11:18:06,NA,"KEFArea5","Fished",97,"Yes","No","Marcus Stowar","KEFArea5 58",16.88333,77.86667,NA,5,"119","NWSS KEF2"
11584,-15.561819,121.356018,20190405,08:09:42,NA,"KEFArea5","Fished",129,"Yes","No","Marcus Stowar","KEFArea5 55",6.85,65.06667,NA,2,"119","NWSS KEF2"
11594,-15.601636,121.31884,20190404,07:46:20,NA,"KEFArea5","Fished",127,"Yes","No","Marcus Stowar","KEFArea5 45",18.95,79.06667,NA,3,"119","NWSS KEF2"
11607,-15.756055,121.108064,20190401,11:37:46,NA,"KEFArea5","Fished",115.7,"Yes","No","Marcus Stowar","KEFArea5 32",16.9,77.11667,NA,6,"119","NWSS KEF2"
11614,-15.776603,121.048614,20190401,07:56:32,NA,"KEFArea5","Fished",129.5,"Yes","No","Marcus Stowar","KEFArea5 25",13.51667,74.6,NA,3,"119","NWSS KEF2"
11615,-15.778935,121.040102,20190401,07:51:14,NA,"KEFArea5","Fished",133.3,"Yes","No","Marcus Stowar","KEFArea5 24",14.9,75.06667,NA,3,"119","NWSS KEF2"
11630,-15.888845,121.010466,20190330,13:16:12,NA,"KEFArea5","Fished",132.6,"Yes","No","Marcus Stowar","KEFArea5 9",7.83333,70.55,NA,4,"119","NWSS KEF2"
11636,-15.9762,120.979697,20190329,13:31:14,NA,"KEFArea5","Fished",151.2,"Yes","No","Marcus Stowar","KEFArea5 3",22.53333,83.1,NA,3,"119","NWSS KEF2"
11637,-15.978067,121.00345,20190329,13:19:30,NA,"KEFArea5","Fished",117.3,"Yes","No","Marcus Stowar","KEFArea5 2",5.45,65.8,NA,3,"119","NWSS KEF2"
11638,-15.989612,121.013318,20190329,13:06:44,NA,"KEFArea5","Fished",87,"Yes","No","Marcus Stowar","KEFArea5 1",4.88333,65.13333,NA,6,"119","NWSS KEF2"
11571,-18.685145,118.963011,20190408,11:49:16,NA,"KEFArea4","Fished",137.8,"Yes","No","Marcus Stowar","KEFArea4 10",9.46666,70.93333,NA,2,"119","NWSS KEF2"
12066,-18.744509,118.903293,20191009,11:05:52,NA,"KEFArea4","Fished",111.6,"Yes","No","Marcus Stowar","KEFArea4 35",15.73333,75.35,NA,3,"119","NWSS KEF2"
12067,-18.755165,118.89998,20191009,10:59:14,NA,"KEFArea4","Fished",112.1,"Yes","No","Marcus Stowar","KEFArea4 34",12.55,73.33334,NA,3,"119","NWSS KEF2"
12073,-18.731478,118.823668,20191009,08:10:10,NA,"KEFArea4","Fished",131.8,"Yes","No","Marcus Stowar","KEFArea4 28",11.85,73.01667,NA,4,"119","NWSS KEF2"
12078,-18.77117,118.838145,20191009,07:26:00,NA,"KEFArea4","Fished",105.5,"Yes","No","Marcus Stowar","KEFArea4 23",13.93333,74.18333,NA,4,"119","NWSS KEF2"
12082,-18.694125,118.81706,20191001,13:40:40,NA,"KEFArea4","Fished",140.8,"Yes","No","Marcus Stowar","KEFArea4 19",16.33333,77.16666,NA,1,"119","NWSS KEF2"
12064,-18.729141,118.913615,20191009,11:20:36,NA,"KEFArea4","Fished",128.9,"Yes","No","Marcus Stowar","KEFArea4 37",7.81666,74.75,NA,3,"119","NWSS KEF2"
12054,-18.77052,118.770818,20191010,08:23:40,NA,"KEFArea4","Fished",126.1,"Yes","No","Marcus Stowar","KEFArea4 47",8.23333,69.55,NA,3,"119","NWSS KEF2"
11591,-15.629419,121.301404,20190404,08:06:48,NA,"KEFArea5","Fished",120.1,"Yes","No","Marcus Stowar","KEFArea5 48",9.18333,70.33334,NA,5,"119","NWSS KEF2"
11604,-15.732428,121.078003,20190402,08:08:54,NA,"KEFArea5","Fished",140.3,"Yes","No","Marcus Stowar","KEFArea5 35",12.55,73.76667,NA,5,"119","NWSS KEF2"
11608,-15.762796,121.091641,20190401,11:28:28,NA,"KEFArea5","Fished",115.8,"Yes","No","Marcus Stowar","KEFArea5 31",13.9,75.55,NA,6,"119","NWSS KEF2"
11579,-18.733132,118.97824,20190407,11:46:42,NA,"KEFArea4","Fished",116.9,"Yes","No","Marcus Stowar","KEFArea4 2",8.26666,69.13333,NA,5,"119","NWSS KEF2"
12068,-18.762253,118.884975,20191009,10:51:12,NA,"KEFArea4","Fished",108.3,"Yes","No","Marcus Stowar","KEFArea4 33",9.85,70.11667,NA,3,"119","NWSS KEF2"
12086,-18.708167,118.780367,20191001,13:16:26,NA,"KEFArea4","Fished",140.1,"Yes","No","Marcus Stowar","KEFArea4 15",7.13333,68.46667,NA,1,"119","NWSS KEF2"
11570,-18.704039,118.9638,20190408,11:57:38,NA,"KEFArea4","Fished",133.1,"Yes","No","Marcus Stowar","KEFArea4 11",10.36667,71.61667,NA,2,"119","NWSS KEF2"
11582,-15.57016,121.350857,20190405,11:01:58,NA,"KEFArea5","Fished",131.3,"Yes","No","Marcus Stowar","KEFArea5 57",4.2,66.3,NA,3,"119","NWSS KEF2"
11623,-15.840565,121.029421,20190331,07:49:08,NA,"KEFArea5","Fished",123.5,"Yes","No","Marcus Stowar","KEFArea5 16",10.2,71.18333,NA,3,"119","NWSS KEF2"
11625,-15.835495,121.036262,20190331,07:40:38,NA,"KEFArea5","Fished",114.7,"Yes","No","Marcus Stowar","KEFArea5 14",12.76667,73.01667,NA,3,"119","NWSS KEF2"
11568,-18.712461,118.923829,20190408,12:17:14,NA,"KEFArea4","Fished",132,"Yes","No","Marcus Stowar","KEFArea4 13",12.16667,73.18333,NA,2,"119","NWSS KEF2"
12071,-18.725165,118.866614,20191009,08:29:54,NA,"KEFArea4","Fished",129.7,"Yes","No","Marcus Stowar","KEFArea4 30",10.26667,72.53333,NA,4,"119","NWSS KEF2"
