"Sample","Family","Genus","Species","Count","Stage","Caabcode"
12002,"Lutjanidae","Pristipomoides","multidens",1,"AD",37346002
12002,"Nemipteridae","Nemipterus","bathybius",11,"AD",37347001
12002,"Tetraodontidae","Lagocephalus","lunaris",1,"AD",37467012
12003,"Carcharhinidae","Carcharhinus","falciformis",1,"AD",37018008
12003,"Synodontidae","Saurida","undosquamis",1,"AD",37118001
12003,"Ariidae","Netuma","thalassina",1,"AD",37188001
12003,"Carangidae","Turrum","caeruleopinnatum",1,"AD",37337021
12003,"Carangidae","Caranx","papuensis",1,"AD",37337064
12003,"Nemipteridae","Nemipterus","bathybius",9,"AD",37347001
12003,"Tetraodontidae","Lagocephalus","lunaris",2,"AD",37467012
12005,"Nemipteridae","Nemipterus","bathybius",5,"AD",37347001
12005,"Tetraodontidae","Lagocephalus","lunaris",1,"AD",37467012
12006,"Sphyrnidae","Sphyrna","mokarran",1,"AD",37019002
12006,"Lutjanidae","Pristipomoides","multidens",9,"AD",37346002
12006,"Sparidae","Argyrops","bleekeri",1,"AD",37353006
12007,"Carcharhinidae","Loxodon","macrorhinus",1,"AD",37018005
12007,"Ariidae","Netuma","thalassina",1,"AD",37188001
12007,"Lutjanidae","Pristipomoides","multidens",1,"AD",37346002
12007,"Nemipteridae","Nemipterus","bathybius",1,"AD",37347001
12007,"Sparidae","Argyrops","bleekeri",1,"AD",37353006
12007,"Tetraodontidae","Lagocephalus","lunaris",1,"AD",37467012
12008,"Carangidae","Caranx","papuensis",7,"AD",37337064
12008,"Lutjanidae","Pristipomoides","multidens",1,"AD",37346002
12008,"Nemipteridae","Nemipterus","bathybius",1,"AD",37347001
12008,"Nemipteridae","Nemipterus","virgatus",1,"AD",37347009
12008,"Sparidae","Argyrops","bleekeri",1,"AD",37353006
12009,"Ariidae","Netuma","thalassina",1,"AD",37188001
12009,"Lutjanidae","Pristipomoides","multidens",2,"AD",37346002
12009,"Sparidae","Argyrops","bleekeri",1,"AD",37353006
12010,"Carcharhinidae","Carcharhinus","sp",1,"AD",37018904
12010,"Ariidae","Netuma","thalassina",1,"AD",37188001
12010,"Lutjanidae","Pristipomoides","multidens",1,"AD",37346002
12010,"Lutjanidae","Lutjanus","malabaricus",1,"AD",37346007
12010,"Nemipteridae","Nemipterus","nematopus",1,"AD",37347002
12010,"Nemipteridae","Nemipterus","virgatus",2,"AD",37347009
12010,"Sparidae","Argyrops","bleekeri",2,"AD",37353006
12010,"Tetraodontidae","Lagocephalus","lunaris",1,"AD",37467012
12011,"Carcharhinidae","Carcharhinus","coatesi",1,"AD",37018009
12011,"Synodontidae","Saurida","undosquamis",1,"AD",37118001
12011,"Ariidae","Netuma","thalassina",2,"AD",37188001
12011,"Carangidae","Turrum","caeruleopinnatum",1,"AD",37337021
12011,"Lutjanidae","Pristipomoides","multidens",4,"AD",37346002
12011,"Lutjanidae","Lutjanus","malabaricus",3,"AD",37346007
12011,"Nemipteridae","Nemipterus","virgatus",1,"AD",37347009
12011,"Nemipteridae","Nemipterus","sp",1,"AD",37347901
12011,"Sparidae","Argyrops","bleekeri",2,"AD",37353006
12012,"Ariidae","Netuma","thalassina",4,"AD",37188001
12012,"Lutjanidae","Pristipomoides","multidens",8,"AD",37346002
12012,"Lutjanidae","Lutjanus","malabaricus",1,"AD",37346007
12012,"Nemipteridae","Nemipterus","nematopus",1,"AD",37347002
12012,"Nemipteridae","Nemipterus","virgatus",2,"AD",37347009
12012,"Sparidae","Argyrops","bleekeri",2,"AD",37353006
12013,"Ariidae","Netuma","thalassina",1,"AD",37188001
12013,"Lutjanidae","Pristipomoides","multidens",5,"AD",37346002
12013,"Nemipteridae","Nemipterus","bathybius",2,"AD",37347001
12013,"Nemipteridae","Nemipterus","virgatus",1,"AD",37347009
12013,"Sparidae","Argyrops","bleekeri",2,"AD",37353006
12014,"Carcharhinidae","Galeocerdo","cuvier",1,"AD",37018022
12014,"Carcharhinidae","Carcharhinus","sp",1,"AD",37018904
12014,"Ariidae","Netuma","thalassina",2,"AD",37188001
12014,"Apogonidae","Ostorhinchus","sp",1,"AD",37327931
12014,"Echeneidae","Echeneis","naucrates",2,"AD",37336001
