OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
CF1_1	0	0	1357.22388	1053.11947	1202.38806	1036.99115
CF1_1	0	1	1452.74627	1001.15044	1320.59701	983.23009
CF1_1	1	0	20.29851	720.39823	35.82090	701.28319
CF1_1	2	0	607.43284	883.47345	392.83582	864.95575
CF1_1	2	1	379.97015	853.00885	161.19403	840.46460
CF1_1	3	0	714.19403	949.77876	624.71642	932.45575
CF1_1	3	1	619.86567	945.59735	527.40299	926.48230
CF1_1	4	0	417.91045	1056.10619	91.94030	1032.21239
CF1_1	4	1	567.16418	1068.05310	238.80597	1046.54867
CF1_1	5	0	650.74627	790.88496	453.73134	777.74336
CF1_1	5	1	448.95522	808.80531	279.40299	800.44248
CF1_1	6	0	773.70149	866.15044	665.56716	852.41150
CF1_1	6	1	634.00000	903.18584	536.61194	890.64159
CF1_1	7	0	1808.35821	918.71681	1339.22388	883.47345
CF1_1	7	1	1656.71642	840.46460	1169.07463	804.02655
CF1_1	8	0	499.10448	1064.46903	235.22388	1038.18584
CF1_1	8	1	311.64179	1052.52212	28.65672	1019.07080
CF1_1	9	0	681.79104	569.86726	366.56716	561.50442
CF1_1	9	1	602.98507	365.57522	293.73134	370.35398
CF1_1	10	0	1756.41791	921.10619	877.49254	872.72124
CF1_1	10	1	1641.19403	860.77434	728.23881	814.77876
CF1_1	11	0	1326.83582	852.41150	1268.01493	832.69912
CF1_1	11	1	1137.58209	836.88053	1069.20896	820.75221
CF1_1	12	0	1091.34328	878.09735	808.35821	851.81416
CF1_1	12	1	647.16418	565.08850	322.38806	550.75221
CF1_1	13	0	1469.85075	864.95575	1136.71642	842.25664
CF1_1	13	1	1635.82090	839.86726	1266.86567	806.41593
CF1_1	14	0	526.56716	648.71681	54.92537	708.45133
CF1_1	15	0	642.38806	622.43363	284.17910	602.12389
CF1_1	15	1	794.02985	569.86726	386.86567	559.11504
CF1_1	16	0	1496.11940	1035.79646	643.58209	997.56637
CF1_1	16	1	1333.73134	952.16814	377.31343	918.71681
CF1_1	17	0	1607.16418	833.89381	1266.86567	800.44248
CF1_1	17	1	1783.88060	842.25664	1456.71642	799.24779
CF1_1	18	0	953.29851	177.41150	875.31343	167.85398
CF1_1	18	1	915.68657	148.73894	832.92537	143.96018
CF1_1	19	0	1003.44776	264.02655	988.14925	248.49558
CF1_1	19	1	1044.04478	280.15487	1029.94030	262.83186
CF1_1	20	0	827.17910	427.69027	824.61194	421.54425
CF1_1	20	1	861.20896	412.75664	858.64179	405.41593
CF1_1	21	0	1131.94030	588.98230	1155.35821	573.26991
CF1_1	22	0	385.67164	1072.83186	298.50746	1048.93805
CF1_1	22	1	237.61194	1031.01770	137.31343	1004.73451
CF1_1	23	0	1806.49658	710.64602	1183.70006	665.93363
CF1_1	23	1	1690.00622	668.23451	1020.01618	628.30088
CF1_1	24	0	1325.09334	597.08407	915.18357	555.07080
CF1_1	24	1	1516.25700	456.70796	1072.89359	403.34513
