OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
CF1_1	Ben			Latitude	-34.03167654	Longitude	114.9630562	Date	20190214	Time	14:00:00	Location	Ngari Capes	Status	Fished	Site	CF1		
CF1_2	SB	36		Latitude	-34.03473082	Longitude	114.9618638	Date	20190214	Time	14:00:00	Location	Ngari Capes	Status	Fished	Site	CF1		
CF1_3	SB	34		Latitude	-34.02826292	Longitude	114.9645196	Date	20190214	Time	14:00:00	Location	Ngari Capes	Status	Fished	Site	CF1		
CF1_4	SB	35.2		Latitude	-34.03041892	Longitude	114.9596416	Date	20190214	Time	14:00:00	Location	Ngari Capes	Status	Fished	Site	CF1		
CF1_5	BJ	34.2		Latitude	-34.03140706	Longitude	114.9672295	Date	20190214	Time	14:00:00	Location	Ngari Capes	Status	Fished	Site	CF1		
CF2_1	SB	35		Latitude	-34.04878635	Longitude	114.9615715	Date	20190214	Time	15:00:00	Location	Ngari Capes	Status	Fished	Site	CF2		
CF2_2	SB	36.9		Latitude	-34.04880873	Longitude	114.9581828	Date	20190214	Time	15:00:00	Location	Ngari Capes	Status	Fished	Site	CF2		
CF2_3	SB	35.2																	
CF2_4	SB	37		Latitude	-34.05177316	Longitude	114.9614352	Date	20190214	Time	15:00:00	Location	Ngari Capes	Status	Fished	Site	CF2		
CF2_5	SB	33		Latitude	-34.0501562	Longitude	114.964525	Date	20190214	Time	15:00:00	Location	Ngari Capes	Status	Fished	Site	CF2		
CF3_1	SB	34.4		Latitude	-34.07052741	Longitude	114.9600909	Date	20190214	Time	15:00:00	Location	Ngari Capes	Status	No-take	Site	CF3		
CF3_2	SB	34.8		Latitude	-34.06763163	Longitude	114.9592605	Date	20190214	Time	15:00:00	Location	Ngari Capes	Status	No-take	Site	CF3		
CF3_3	SB	20		Latitude	-34.0701918	Longitude	114.9557359	Date	20190214	Time	15:00:00	Location	Ngari Capes	Status	No-take	Site	CF3		
CF3_4	SB	33.9		Latitude	-34.07073084	Longitude	114.9639238	Date	20190214	Time	15:00:00	Location	Ngari Capes	Status	No-take	Site	CF3		
CF3_5	SB	35.4		Latitude	-34.07351556	Longitude	114.9588267	Date	20190214	Time	15:00:00	Location	Ngari Capes	Status	No-take	Site	CF3		
CF4_1	SB	33		Latitude	-34.08750563	Longitude	114.9633449	Date	20190214	Time	10:00:00	Location	Ngari Capes	Status	No-take	Site	CF4		
CF4_2	SB	34.4		Latitude	-34.08797862	Longitude	114.9596386	Date	20190214	Time	10:00:00	Location	Ngari Capes	Status	No-take	Site	CF4		
CF4_3	SB	34.3		Latitude	-34.08492434	Longitude	114.9611571	Date	20190214	Time	10:00:00	Location	Ngari Capes	Status	No-take	Site	CF4		
CF4_4	SB	32.8		Latitude	-34.08604718	Longitude	114.9669061	Date	20190214	Time	10:00:00	Location	Ngari Capes	Status	No-take	Site	CF4		
CF4_5	SB	32.4		Latitude	-34.08973027	Longitude	114.9656587	Date	20190214	Time	10:00:00	Location	Ngari Capes	Status	No-take	Site	CF4		
CF5_1	SB	34		Latitude	-34.10421562	Longitude	114.9599629	Date	20190214	Time	10:00:00	Location	Ngari Capes	Status	No-take	Site	CF5		
CF5_2	SB	39		Latitude	-34.10268853	Longitude	114.9568167	Date	20190214	Time	10:00:00	Location	Ngari Capes	Status	No-take	Site	CF5		
CF5_3	SB	38		Latitude	-34.10798857	Longitude	114.9565455	Date	20190214	Time	10:00:00	Location	Ngari Capes	Status	No-take	Site	CF5		
CF5_4	SB	34		Latitude	-34.10776394	Longitude	114.9603426	Date	20190214	Time	10:00:00	Location	Ngari Capes	Status	No-take	Site	CF5		
CF5_5	BJ	40		Latitude	-34.10524869	Longitude	114.9542673	Date	20190214	Time	10:00:00	Location	Ngari Capes	Status	No-take	Site	CF5		
CF6_1	SB	32		Latitude	-34.12748236	Longitude	114.9703754	Date	20190214	Time	9:00:00	Location	Ngari Capes	Status	Fished	Site	CF6		
CF6_2	SB	38		Latitude	-34.13098583	Longitude	114.965166	Date	20190214	Time	9:00:00	Location	Ngari Capes	Status	Fished	Site	CF6		
CF6_3	SB	33		Latitude	-34.13103076	Longitude	114.9707552	Date	20190214	Time	9:00:00	Location	Ngari Capes	Status	Fished	Site	CF6		
CF6_4	SB	34		Latitude	-34.12853396	Longitude	114.9674264	Date	20190214	Time	9:00:00	Location	Ngari Capes	Status	Fished	Site	CF6		
CF6_5	SB	37.8		Latitude	-34.12694341	Longitude	114.9640807	Date	20190214	Time	9:00:00	Location	Ngari Capes	Status	Fished	Site	CF6		
CF7_1	SB	34		Latitude	-34.14449737	Longitude	114.9777513	Date	20190214	Time	9:00:00	Location	Ngari Capes	Status	Fished	Site	CF7		
CF7_2	SB	34		Latitude	-34.14774033	Longitude	114.9772654	Date	20190214	Time	9:00:00	Location	Ngari Capes	Status	Fished	Site	CF7		
CF7_3	SB	32		Latitude	-34.14580897	Longitude	114.9814986	Date	20190214	Time	9:00:00	Location	Ngari Capes	Status	Fished	Site	CF7		
CF7_4	BJ	35.2		Latitude	-34.14459628	Longitude	114.973575	Date	20190214	Time	9:00:00	Location	Ngari Capes	Status	Fished	Site	CF7		
CF7_5	SB	34.8		Latitude	-34.14149707	Longitude	114.9792192	Date	20190214	Time	9:00:00	Location	Ngari Capes	Status	Fished	Site	CF7		
CL1_1	SB	27		Latitude	-34.35731247	Longitude	115.0641144	Date	20190213	Time	8:00:00	Location	Ngari Capes	Status	Fished	Site	CL1		
CL1_2	SB	28		Latitude	-34.35540886	Longitude	115.0617502	Date	20190213	Time	8:00:00	Location	Ngari Capes	Status	Fished	Site	CL1		
CL1_3	SB	30		Latitude	-34.35848401	Longitude	115.0615428	Date	20190213	Time	8:00:00	Location	Ngari Capes	Status	Fished	Site	CL1		
CL1_4	SB	22		Latitude	-34.3553444	Longitude	115.0657874	Date	20190213	Time	8:00:00	Location	Ngari Capes	Status	Fished	Site	CL1		
CL1_5	SB	24		Latitude	-34.35758119	Longitude	115.0672237	Date	20190213	Time	8:00:00	Location	Ngari Capes	Status	Fished	Site	CL1		
CL2_1	BenJ			Latitude	-34.36449895	Longitude	115.0730398	Date	20190213	Time	8:00:00	Location	Ngari Capes	Status	Fished	Site	CL2		
CL2_2	SB	25		Latitude	-34.36202017	Longitude	115.0728279	Date	20190213	Time	8:00:00	Location	Ngari Capes	Status	Fished	Site	CL2		
CL2_3	SB	24																	
CL2_4	SB	30		Latitude	-34.36356529	Longitude	115.0701073	Date	20190213	Time	8:00:00	Location	Ngari Capes	Status	Fished	Site	CL2		
CL2_5	SB	30		Latitude	-34.36622428	Longitude	115.0706514	Date	20190213	Time	8:00:00	Location	Ngari Capes	Status	Fished	Site	CL2		
CL3_1	BJ	28.1		Latitude	-34.37871994	Longitude	115.0884997	Date	20190213	Time	10:00:00	Location	Ngari Capes	Status	No-take	Site	CL3		
CL3_2	SB	27.4		Latitude	-34.37791997	Longitude	115.085686	Date	20190213	Time	10:00:00	Location	Ngari Capes	Status	No-take	Site	CL3		
CL3_3	SB	28.8		Latitude	-34.38023765	Longitude	115.0859799	Date	20190213	Time	10:00:00	Location	Ngari Capes	Status	No-take	Site	CL3		
CL3_5	SB	27		Latitude	-34.37651013	Longitude	115.0899146	Date	20190213	Time	10:00:00	Location	Ngari Capes	Status	No-take	Site	CL3		
CL4_1	SB	29		Latitude	-34.38603633	Longitude	115.0989154	Date	20190213	Time	10:00:00	Location	Ngari Capes	Status	No-take	Site	CL4		
CL4_2	SB	28		Latitude	-34.38342679	Longitude	115.0994716	Date	20190213	Time	10:00:00	Location	Ngari Capes	Status	No-take	Site	CL4		
CL4_3	SB	29.6		Latitude	-34.38567256	Longitude	115.0954876	Date	20190213	Time	10:00:00	Location	Ngari Capes	Status	No-take	Site	CL4		
CL4_4	SB	27.3		Latitude	-34.38603189	Longitude	115.1020405	Date	20190213	Time	10:00:00	Location	Ngari Capes	Status	No-take	Site	CL4		
CL4_5	SB	29		Latitude	-34.38804413	Longitude	115.0968809	Date	20190213	Time	10:00:00	Location	Ngari Capes	Status	No-take	Site	CL4		
CL5_1	SB	25		Latitude	-34.39319154	Longitude	115.1103364	Date	20190213	Time	12:00:00	Location	Ngari Capes	Status	No-take	Site	CL5		
CL5_2	SB	29.1		Latitude	-34.39064034	Longitude	115.1095744	Date	20190213	Time	12:00:00	Location	Ngari Capes	Status	No-take	Site	CL5		
