Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Observer_Length,Successful.count,Successful.length,Zone
CF1_1,-34.03167654,114.9630562,20190214,14:00:00,Ngari Capes,Fished,CF1,35,Ben Jones,Sahira Bell,Yes,Yes,General Use
CF1_2,-34.03473082,114.9618638,20190214,14:00:00,Ngari Capes,Fished,CF1,36,Sahira Bell,Sahira Bell,Yes,Yes,General Use
CF1_3,-34.02826292,114.9645196,20190214,14:00:00,Ngari Capes,Fished,CF1,34,Sahira Bell,Sahira Bell,Yes,Yes,General Use
CF1_4,-34.03041892,114.9596416,20190214,14:00:00,Ngari Capes,Fished,CF1,35.2,Sahira Bell,Sahira Bell,Yes,Yes,General Use
CF1_5,-34.03140706,114.9672295,20190214,14:00:00,Ngari Capes,Fished,CF1,34.2,Ben Jones,Sahira Bell,Yes,Yes,General Use
CF2_1,-34.04878635,114.9615715,20190214,15:00:00,Ngari Capes,Fished,CF2,35,Sahira Bell,Sahira Bell,Yes,Yes,General Use
CF2_2,-34.04880873,114.9581828,20190214,15:00:00,Ngari Capes,Fished,CF2,36.9,Sahira Bell,Sahira Bell,Yes,No,General Use
CF2_3,-34.04611378,114.9615437,20190214,15:00:00,Ngari Capes,Fished,CF2,35.2,Sahira Bell,Sahira Bell,Yes,Yes,General Use
CF2_4,-34.05177316,114.9614352,20190214,15:00:00,Ngari Capes,Fished,CF2,33,Sahira Bell,Sahira Bell,Yes,No,General Use
CF2_5,-34.0501562,114.964525,20190214,15:00:00,Ngari Capes,Fished,CF2,33,Sahira Bell,Sahira Bell,Yes,Yes,General Use
CF3_1,-34.07052741,114.9600909,20190214,15:00:00,Ngari Capes,No-take,CF3,34.4,Sahira Bell,Sahira Bell,Yes,Yes,Sanctuary Zone
CF3_2,-34.06763163,114.9592605,20190214,15:00:00,Ngari Capes,No-take,CF3,34.8,Sahira Bell,Sahira Bell,Yes,Yes,Sanctuary Zone
CF3_3,-34.0701918,114.9557359,20190214,15:00:00,Ngari Capes,No-take,CF3,20,Sahira Bell,Sahira Bell,Yes,Yes,Sanctuary Zone
CF3_4,-34.07073084,114.9639238,20190214,15:00:00,Ngari Capes,No-take,CF3,33.9,Sahira Bell,Sahira Bell,Yes,Yes,Sanctuary Zone
CF3_5,-34.07351556,114.9588267,20190214,15:00:00,Ngari Capes,No-take,CF3,35.4,Sahira Bell,Sahira Bell,Yes,Yes,Sanctuary Zone
CF4_1,-34.08750563,114.9633449,20190214,10:00:00,Ngari Capes,No-take,CF4,33,Sahira Bell,Sahira Bell,Yes,Yes,Sanctuary Zone
CF4_2,-34.08797862,114.9596386,20190214,10:00:00,Ngari Capes,No-take,CF4,34.4,Sahira Bell,Sahira Bell,Yes,Yes,Sanctuary Zone
CF4_3,-34.08492434,114.9611571,20190214,10:00:00,Ngari Capes,No-take,CF4,34.3,Sahira Bell,Sahira Bell,Yes,Yes,Sanctuary Zone
CF4_4,-34.08604718,114.9669061,20190214,10:00:00,Ngari Capes,No-take,CF4,32.8,Sahira Bell,Sahira Bell,Yes,Yes,Sanctuary Zone
CF4_5,-34.08973027,114.9656587,20190214,10:00:00,Ngari Capes,No-take,CF4,32.4,Sahira Bell,Sahira Bell,Yes,No,Sanctuary Zone
CF5_1,-34.10421562,114.9599629,20190214,10:00:00,Ngari Capes,No-take,CF5,34,Sahira Bell,Sahira Bell,Yes,No,Sanctuary Zone
CF5_2,-34.10268853,114.9568167,20190214,10:00:00,Ngari Capes,No-take,CF5,39,Sahira Bell,Sahira Bell,Yes,Yes,Sanctuary Zone
CF5_3,-34.10798857,114.9565455,20190214,10:00:00,Ngari Capes,No-take,CF5,38,Sahira Bell,Sahira Bell,Yes,Yes,Sanctuary Zone
CF5_4,-34.10776394,114.9603426,20190214,10:00:00,Ngari Capes,No-take,CF5,34,Sahira Bell,Sahira Bell,Yes,Yes,Sanctuary Zone
CF5_5,-34.10524869,114.9542673,20190214,10:00:00,Ngari Capes,No-take,CF5,40,Ben Jones,Sahira Bell,Yes,Yes,Sanctuary Zone
CF6_1,-34.12748236,114.9703754,20190214,9:00:00,Ngari Capes,Fished,CF6,32,Sahira Bell,Sahira Bell,Yes,Yes,General Use
