OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
CF1_1	0	Soak time	10L_CF1_1_190214 (1).MP4	7199	2.00172	10L_CF1_1_190214 (3).MP4	60864	62.00182	1
CF1_2	0	Time seabed	L526_CF1_2_190214 (1).MP4	32127	8.93307	L526_CF1_2_190214 (4).MP4	4732	68.94985	1
CF1_3	0	time seabed	L8_CF1_3_190214 (1).MP4	38994	10.84248	L8_CF1_3_190214 (4).MP4	11587	70.85648	1
CF1_4	0	time seabed	2_L_CF1.4_190214 (1).MP4	74656	20.75847	2_L_CF1.4_190214 (4).MP4	47282	80.76497	1
CF1_5	0	Soak Time	L532_CF1_5_190214 (1).MP4	31305	8.70453	L532_CF1_5_190214 (4).MP4	3907	68.70475	1
CF2_1	0	time seabed	L2_CF2_1_190214 (1).MP4	55849	15.52909	L2_CF2_1_190214 (4).MP4	28507	75.54476	1
CF2_2	0	Time seabed	L532_CF2_2_190214 (1).MP4	9038	2.51306	L532_CF2_2_190214 (3).MP4	62736	62.52234	1
CF2_3	0	time seabed	L10_CF2_3_190214 (1).MP4	58597	16.29319	L10_CF2_3_190214 (4).MP4	31189	76.30719	1
CF2_4	0	time seabed	L6_CF2_4_190214 (1).MP4	79494	22.10370	L6_CF2_4_190214 (4).MP4	52123	82.11048	1
CF2_5	0	time seabed	L526_CF2_5_190214 (1).MP4	13873	3.85746	L526_CF2_5_190214 (3).MP4	67527	63.87146	1
CF3_1	0	time seabed	L528_CF3_1_190214 (1).MP4	46698	12.98461	L528_CF3_1_190214 (4).MP4	19303	72.98554	1
CF3_2	0	time seabed	L524_CF3_2_190214 (1).MP4	20205	5.61810	L524_CF3_2_190214 (3).MP4	73851	65.62988	1
CF3_3	0	time seabed	L530_CF3_3_190214 (1).MP4	57237	15.91503	L530_CF3_3_190214 (4).MP4	29854	75.91930	1
CF3_4	0	time seabed	L534_CF3_4_190214 (1).MP4	65356	18.17256	L534_CF3_4_190214 (4).MP4	37957	78.17238	1
