OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
CF1_1	1.09	2024 05 20 12:50:31	D:\CF\CF1\CF1_1\	CF1_1_201902_BRUV.EMObs
CF1_2	1.09	2024 05 20 12:50:31	F:\CF\CF1\CF1_2\	CF1_2_201902_BRUV.EMObs
CF1_3	1.09	2024 05 20 12:50:31	D:\CF\CF1\CF1_3\	CF1_3_201902_BRUV.EMObs
CF1_4	1.09	2024 05 20 12:50:31	D:\CF\CF1\CF1_4\	CF1_4_201902_BRUV.EMObs
CF1_5	1.09	2024 05 20 12:50:31	D:\CF\CF1\CF1_5\	CF1_5_201902_BRUV.EMObs
CF2_1	1.09	2024 05 20 12:50:31	D:\CF\CF2\CF2_1\	CF2_1_201902_BRUV.EMObs
CF2_2	1.09	2024 05 20 12:50:31	E:\CF\CF2\CF2_2\	CF2_2_201902_BRUV.EMObs
CF2_3	1.09	2024 05 20 12:50:31	D:\CF\CF2\CF2_3\	CF2_3_201902_BRUV.EMObs
CF2_4	1.09	2024 05 20 12:50:31	E:\CF\CF2\CF2_4\	CF2_4_201902_BRUV.EMObs
CF2_5	1.09	2024 05 20 12:50:31	D:\NCMP_201902_BRUVS\CF\CF2.5\	CF2_5_201902_BRUV.EMObs
CF3_1	1.09	2024 05 20 12:50:31	D:\CF\CF3\CF3_1\	CF3_1_201902_BRUV.EMObs
CF3_2	1.09	2024 05 20 12:50:31	E:\CF\CF3\CF3_2\	CF3_2_201902_BRUV.EMObs
CF3_3	1.09	2024 05 20 12:50:31	D:\CF\CF3\CF3_3\	CF3_3_201902_BRUV.EMObs
CF3_4	1.09	2024 05 20 12:50:31	D:\NCMP_201902_BRUVS\CF\CF3.4\	CF3_4_201902_BRUV.EMObs
CF3_5	1.09	2024 05 20 12:50:31	E:\CF\CF3\CF3_5\	CF3_5_201902_BRUV.EMObs
CF4_1	1.09	2024 05 20 12:50:31	D:\NCMP_201902_BRUVS\CF\CF4.1\	CF4_1_201902_BRUV.EMObs
CF4_2	1.09	2024 05 20 12:50:31	F:\NCMP_201902_BRUVS\CF\CF4_2\	CF4_2_201902_BRUV.EMObs
CF4_3	1.09	2024 05 20 12:50:31	D:\CF\CF4\CF4_3\	CF4_3_201902_BRUV.EMObs
CF4_4	1.09	2024 05 20 12:50:31	E:\CF\CF4\CF4_4\	CF4_4_201902_BRUV.EMObs
CF4_5	1.09	2024 05 20 12:50:31	E:\CF\CF4\	CF4_5_201902_BRUV.EMObs
CF5_1	1.09	2024 05 20 12:50:31	D:\CF\CF5\CF5_1\	CF5_1_201902_BRUV.EMObs
CF5_2	1.09	2024 05 20 12:50:31	E:\CF\CF5\CF5.2\	CF5_2_201902_BRUV.EMObs
CF5_3	1.09	2024 05 20 12:50:31	E:\CF\CF5\CF5.3\	CF5_3_201902_BRUV.EMObs
CF5_4	1.09	2024 05 20 12:50:31	D:\CF\CF5\CF5.4\	CF5_4_201902_BRUV.EMObs
CF5_5	1.09	2024 05 20 12:50:31	D:\CF\CF5\CF5_5\	CF5_5_201902_BRUV.EMObs
CF6_1	1.09	2024 05 20 12:50:31	D:\CF\CF6\CF6.1\	CF6_1_201902_BRUV.EMObs
CF6_2	1.09	2024 05 20 12:50:31	E:\CF\CF6\CF6.2\	CF6_2_201902_BRUV.EMObs
CF6_3	1.09	2024 05 20 12:50:31	D:\CF\CF6\CF6_3\	CF6_3_201902_BRUV.EMObs
