OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
NCMP_01052022_CL1-1_BRUV	Kye Adams	26		Date	2022-05-01	Time		Location	NCMP	Site	CL1	Status	Fished	Latitude	-34.35738465	Longitude	115.0641301	Visibility	
NCMP_01052022_CL1-2_BRUV	Kye Adams	28		Date	2022-05-01	Time		Location	NCMP	Site	CL1	Status	Fishes	Latitude	-34.3555034	Longitude	115.061750483333	Visibility	6.3
NCMP_01052022_CL1-3_BRUV	Kye Adams	30		Date	2022-05-01	Time		Location	NCMP	Site	CL1	Status	Fished	Latitude	-34.3584267	Longitude	115.06149465	Visibility	5.5
NCMP_01052022_CL1-4_BRUV	Kye Adams	22		Date	2022-05-01	Time		Location	NCMP	Site	CL1	Status	Fished	Latitude	-34.3553346166667	Longitude	115.065745916667	Visibility	3.7
NCMP_01052022_CL1-5_BRUV	Kye Adams	22		Date	2022-05-01	Time		Location	NCMP	Site	CL1	Status	Fished	Latitude	-34.3576920166667	Longitude	115.0671867	Visibility	2.3
NCMP_01052022_CL2-3_BRUV	Kye Adams	22		Date	2022-05-01	Time		Location	NCMP	Site	CL2	Status	Fished	Latitude	-34.3638339666667	Longitude	115.075832883333	Visibility	2.2
NCMP_01052022_CL2-4_BRUV	Kye Adams	29		Date	2022-05-01	Time		Location	NCMP	Site	CL2	Status	Fished	Latitude	-34.3636511333333	Longitude	115.070117666667	Visibility	4.0
NCMP_01052022_CL2-5_BRUV	Kye Adams	29		Date	2022-05-01	Time		Location	NCMP	Site	CL2	Status	Fished	Latitude	-34.3663211333333	Longitude	115.070622766667	Visibility	5.7
NCMP_01052022_CL3-1_BRUV	Kye Adams	27		Date	2022-05-01	Time		Location	NCMP	Site	CL3	Status	No-take	Latitude	-34.3788001333333	Longitude	115.088466433333	Visibility	5.0
NCMP_01052022_CL3-2_BRUV	Kye Adams	24		Date	2022-05-01	Time		Location	NCMP	Site	CL3	Status	No-take	Latitude	-34.3780261333333	Longitude	115.085734	Visibility	2.9
NCMP_01052022_CL3-3_BRUV	Kye Adams	28		Date	2022-05-01	Time		Location	NCMP	Site	CL3	Status	No-take	Latitude	-34.3802343833333	Longitude	115.0860879	Visibility	4.0
NCMP_01052022_CL3-4_BRUV	Kye Adams	27		Date	2022-05-01	Time		Location	NCMP	Site	CL3	Status	No-take	Latitude	-34.3802118166667	Longitude	115.090915683333	Visibility	4.0
NCMP_01052022_CL4-3_BRUV	Kye Adams	28		Date	2022-05-01	Time		Location	NCMP	Site	CL4	Status	No-take	Latitude	-34.3857924166667	Longitude	115.09552885	Visibility	2.3
NCMP_01052022_CL4-5_BRUV	Kye Adams	29		Date	2022-05-01	Time		Location	NCMP	Site	CL4	Status	No-take	Latitude	-34.3880188	Longitude	115.096795383333	Visibility	4.2
NCMP_01052022_CL5-2_BRUV	Kye Adams	27		Date	2022-05-01	Time		Location	NCMP	Site	CL5	Status	No-take	Latitude	-34.3906587166667	Longitude	115.109540483333	Visibility	2.2
NCMP_01052022_CL5-3_BRUV	Kye Adams	30		Date	2022-05-01	Time		Location	NCMP	Site	CL5	Status	No-take	Latitude	-34.39271745	Longitude	115.1074262	Visibility	6.5
