OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
NCMP_01052022_CL1-2_BRUV	0	20220501_L32_MAH00357.MP4	19302	20220501_R31_MAH00287.MP4	20428	5.36702	Soak Time	0.55972	165.82185	1.60801	4.64225	1860.14622	15.39968	5.36814	14.50749	16.80681	-493.67704	-1793.36122	Labridae	Coris	auricularis	37384088	1	AD	Passing			
NCMP_01052022_CL1-2_BRUV	1	20220501_L32_MAH00357.MP4	19302	20220501_R31_MAH00287.MP4	20428	5.36702	Soak Time	0.55972	164.88265	5.51197	1.17273	1935.47870	21.69550	37.12043	3.06010	-555.36797	-451.11031	-1798.37251	Labridae	Coris	auricularis	37384088	1	AD	Passing			
NCMP_01052022_CL1-2_BRUV	2	20220501_L32_MAH00357.MP4	19302	20220501_R31_MAH00287.MP4	20428	5.36702	Soak Time	0.55972	182.17800	5.24075	1.07644	2095.49269	23.19917	26.43747	0.60046	589.19614	-578.14900	-1926.05329	Labridae	Coris	auricularis	37384088	1	AD	Passing			
NCMP_01052022_CL1-2_BRUV	3	20220501_L32_MAH00357.MP4	19302	20220501_R31_MAH00287.MP4	20428	5.36702	Soak Time	0.55972	145.33740	4.60985	4.12200	1899.52871	30.95441	38.93407	29.14159	880.28504	-423.90252	-1628.99178	Labridae	Coris	auricularis	37384088	1	AD	Passing			
NCMP_01052022_CL1-2_BRUV	4	20220501_L32_MAH00357.MP4	19302	20220501_R31_MAH00287.MP4	20428	5.36702	Soak Time	0.55972	112.19390	5.45531	3.02905	2253.82343	20.28028	19.90394	4.97499	670.70021	-400.55131	-2114.10499	Labridae	Coris	auricularis	37384088	1	AD	Passing			
NCMP_01052022_CL1-2_BRUV	5	20220501_L32_MAH00357.MP4	19302	20220501_R31_MAH00287.MP4	20428	5.36702	Soak Time	0.55972	121.01558	3.63488	2.54128	2063.17495	18.36132	12.91161	6.24759	514.95968	-396.49608	-1958.13643	Labridae	Coris	auricularis	37384088	1	AD	Passing			
NCMP_01052022_CL1-2_BRUV	6	20220501_L32_MAH00357.MP4	19302	20220501_R31_MAH00287.MP4	20428	5.36702	Soak Time	0.55972	107.71989	4.51865	0.84812	1859.14840	16.04986	28.84905	3.85230	380.83426	-345.20621	-1786.68148	Labridae	Coris	auricularis	37384088	1	AD	Passing			
NCMP_01052022_CL1-2_BRUV	7	20220501_L32_MAH00357.MP4	28229	20220501_R31_MAH00287.MP4	29355	7.84921	Soak Time	3.04192	126.98932	1.51256	2.83420	1378.19105	25.30015	2.90489	6.64113	-403.22976	-429.31093	-1245.99698	Labridae	Coris	auricularis	37384088	1	AD	Passing			
NCMP_01052022_CL1-2_BRUV	8	20220501_L32_MAH00357.MP4	28229	20220501_R31_MAH00287.MP4	29355	7.84921	Soak Time	3.04192	186.51751	3.80230	1.94597	2144.56696	16.52377	18.18295	7.97937	-120.91768	-597.83720	-2056.00025	Labridae	Coris	auricularis	37384088	1	AD	Passing			
NCMP_01052022_CL1-2_BRUV	9	20220501_L32_MAH00357.MP4	28798	20220501_R31_MAH00287.MP4	29924	8.00743	Soak Time	3.20013	128.70552	1.31718	4.05142	1470.44940	16.28805	5.36543	16.44673	-179.93133	-371.09056	-1411.43117	Labridae	Coris	auricularis	37384088	1	AD	Passing			
NCMP_01052022_CL1-2_BRUV	10	20220501_L32_MAH00357.MP4	28798	20220501_R31_MAH00287.MP4	29924	8.00743	Soak Time	3.20013	119.18678	5.08157	4.15087	2303.27661	26.55765	8.55906	15.64263	927.14129	-448.19321	-2060.24635	Labridae	Coris	auricularis	37384088	1	AD	Passing			
NCMP_01052022_CL1-2_BRUV	11	20220501_L32_MAH00357.MP4	28798	20220501_R31_MAH00287.MP4	29924	8.00743	Soak Time	3.20013	121.00556	2.15068	1.94358	1641.68282	20.71516	7.55893	13.12861	-457.41467	-357.74896	-1535.54876	Labridae	Coris	auricularis	37384088	1	AD	Passing			
NCMP_01052022_CL1-2_BRUV	12	20220501_L32_MAH00357.MP4	28798	20220501_R31_MAH00287.MP4	29924	8.00743	Soak Time	3.20013	108.06323	4.49679	2.40330	2050.36785	24.76554	20.66630	1.21564	-717.53595	-472.09229	-1861.79466	Labridae	Coris	auricularis	37384088	1	AD	Passing			
NCMP_01052022_CL1-2_BRUV	13	20220501_L32_MAH00357.MP4	28798	20220501_R31_MAH00287.MP4	29924	8.00743	Soak Time	3.20013	162.93339	6.93863	5.02808	2894.49001	21.46085	5.26463	3.18558	-983.01484	-393.89072	-2693.80852	Labridae	Coris	auricularis	37384088	1	AD	Passing			
NCMP_01052022_CL1-2_BRUV	14	20220501_L32_MAH00357.MP4	28798	20220501_R31_MAH00287.MP4	29924	8.00743	Soak Time	3.20013	194.57385	5.61459	3.78123	1901.15594	20.10045	39.20791	0.88623	340.59094	-557.56900	-1785.35949	Labridae	Coris	auricularis	37384088	1	AD	Passing			
