Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Observer_Length,Successful.count,Successful.length,Zone
NCMP_01052022_CL1-1_BRUV,-34.35738465,115.0641301,20220501,16:00:00,Ngari Capes,Fished,CL1,26,Kye Adams,NA,Yes,No,General Use
NCMP_01052022_CL1-2_BRUV,-34.3555034,115.0617505,20220501,16:00:00,Ngari Capes,Fished,CL1,28,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_01052022_CL1-3_BRUV,-34.3584267,115.0614947,20220501,16:00:00,Ngari Capes,Fished,CL1,30,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_01052022_CL1-4_BRUV,-34.35533462,115.0657459,20220501,16:00:00,Ngari Capes,Fished,CL1,22,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_01052022_CL1-5_BRUV,-34.35769202,115.0671867,20220501,16:00:00,Ngari Capes,Fished,CL1,22,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_01052022_CL2-1_BRUV,-34.36453757,115.0729773,20220501,16:00:00,Ngari Capes,Fished,CL2,27,NA,NA,No,No,General Use
NCMP_01052022_CL2-2_BRUV,-34.36200398,115.0727547,20220501,16:00:00,Ngari Capes,Fished,CL2,26,NA,NA,No,No,General Use
NCMP_01052022_CL2-3_BRUV,-34.36383397,115.0758329,20220501,16:00:00,Ngari Capes,Fished,CL2,22,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_01052022_CL2-4_BRUV,-34.36365113,115.0701177,20220501,16:00:00,Ngari Capes,Fished,CL2,29,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_01052022_CL2-5_BRUV,-34.36632113,115.0706228,20220501,16:00:00,Ngari Capes,Fished,CL2,29,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_01052022_CL3-1_BRUV,-34.37880013,115.0884664,20220501,16:00:00,Ngari Capes,No-take,CL3,27,Kye Adams,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_01052022_CL3-2_BRUV,-34.37802613,115.085734,20220501,16:00:00,Ngari Capes,No-take,CL3,24,Kye Adams,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_01052022_CL3-3_BRUV,-34.38023438,115.0860879,20220501,16:00:00,Ngari Capes,No-take,CL3,28,Kye Adams,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_01052022_CL3-4_BRUV,-34.38021182,115.0909157,20220501,16:00:00,Ngari Capes,No-take,CL3,27,Kye Adams,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_01052022_CL3-5_BRUV,-34.37658418,115.0898914,20220501,16:00:00,Ngari Capes,No-take,CL3,25,NA,NA,No,No,Sanctuary Zone
NCMP_01052022_CL4-1_BRUV,-34.38604443,115.0988379,20220501,16:00:00,Ngari Capes,No-take,CL4,27,NA,NA,No,No,Sanctuary Zone
NCMP_01052022_CL4-2_BRUV,-34.38347382,115.0994062,20220501,16:00:00,Ngari Capes,No-take,CL4,27,NA,NA,No,No,Sanctuary Zone
NCMP_01052022_CL4-3_BRUV,-34.38579242,115.0955289,20220501,16:00:00,Ngari Capes,No-take,CL4,28,Kye Adams,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_01052022_CL4-4_BRUV,-34.38606073,115.1019724,20220501,16:00:00,Ngari Capes,No-take,CL4,26,NA,NA,No,No,Sanctuary Zone
NCMP_01052022_CL4-5_BRUV,-34.3880188,115.0967954,20220501,16:00:00,Ngari Capes,No-take,CL4,29,Kye Adams,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_01052022_CL5-1_BRUV,-34.39314682,115.1104418,20220501,16:00:00,Ngari Capes,No-take,CL5,29,NA,NA,No,No,Sanctuary Zone
NCMP_01052022_CL5-2_BRUV,-34.39065872,115.1095405,20220501,16:00:00,Ngari Capes,No-take,CL5,27,Kye Adams,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_01052022_CL5-3_BRUV,-34.39271745,115.1074262,20220501,16:00:00,Ngari Capes,No-take,CL5,30,Kye Adams,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_01052022_CL5-4_BRUV,-34.39080323,115.1130732,20220501,16:00:00,Ngari Capes,No-take,CL5,27,Kye Adams,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_01052022_CL5-5_BRUV,-34.39335053,115.1135813,20220501,16:00:00,Ngari Capes,No-take,CL5,28,Kye Adams,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_01052022_CL6-1_BRUV,-34.40825513,115.1216204,20220501,16:00:00,Ngari Capes,Fished,CL6,30,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_01052022_CL6-2_BRUV,-34.4065293,115.1243669,20220501,16:00:00,Ngari Capes,Fished,CL6,30,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_01052022_CL6-3_BRUV,-34.405634,115.1201434,20220501,16:00:00,Ngari Capes,Fished,CL6,30,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_01052022_CL6-4_BRUV,-34.41037335,115.1191248,20220501,16:00:00,Ngari Capes,Fished,CL6,24,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_01052022_CL6-5_BRUV,-34.40805912,115.1176383,20220501,16:00:00,Ngari Capes,Fished,CL6,30,NA,NA,No,No,General Use
NCMP_01052022_CL7-1_BRUV,-34.41614272,115.1300863,20220501,16:00:00,Ngari Capes,Fished,CL7,32,NA,NA,No,No,General Use
NCMP_01052022_CL7-2_BRUV,-34.41323843,115.1293174,20220501,16:00:00,Ngari Capes,Fished,CL7,31,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_01052022_CL7-3_BRUV,-34.41528687,115.1261604,20220501,16:00:00,Ngari Capes,Fished,CL7,33,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_01052022_CL7-4_BRUV,-34.41584357,115.1332605,20220501,16:00:00,Ngari Capes,Fished,CL7,31,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_01052022_CL7-5_BRUV,-34.41869977,115.1294048,20220501,16:00:00,Ngari Capes,Fished,CL7,31,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_17032022_CNB1-1_BRUV,-33.51978357,115.0228597,20220317,7:43:41,Ngari Capes,Fished,CNB1,19.5,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_17032022_CNB1-3_BRUV,-33.51885253,115.0250843,20220317,7:50:14,Ngari Capes,Fished,CNB1,23,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_17032022_CNB1-4_BRUV,-33.51740382,115.023227,20220317,7:56:36,Ngari Capes,Fished,CNB1,24.5,NA,NA,No,No,General Use
NCMP_17032022_CNB1-5_BRUV,-33.52133433,115.0262314,20220317,7:31:09,Ngari Capes,Fished,CNB1,18,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_17032022_CNB2-4_BRUV,-33.51702638,115.0163857,20220317,8:27:30,Ngari Capes,Fished,CNB2,25,NA,NA,No,No,General Use
NCMP_17032022_CNB3-3_BRUV,-33.52249608,115.0077131,20220317,10:03:03,Ngari Capes,No-take,CNB3,26,Kye Adams,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_17032022_CNB5-1_BRUV,-33.53450073,114.9962645,20220317,12:48:55,Ngari Capes,No-take,CNB5,25.5,NA,NA,No,No,Sanctuary Zone
NCMP_17032022_CNB5-2_BRUV,-33.53514062,114.993411,20220317,12:58:37,Ngari Capes,No-take,CNB5,30.5,NA,NA,No,No,Sanctuary Zone
NCMP_17032022_CNB5-3_BRUV,-33.53697522,114.9964261,20220317,12:55:37,Ngari Capes,No-take,CNB5,26,Kye Adams,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_17032022_CNB5-4_BRUV,-33.53523867,114.9988185,20220317,12:52:37,Ngari Capes,No-take,CNB5,19,Kye Adams,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_17032022_CNB5-5_BRUV,-33.53242062,114.9969027,20220317,12:45:12,Ngari Capes,No-take,CNB5,22,NA,NA,No,No,Sanctuary Zone
NCMP_17032022_CNB6-1_BRUV,-33.54517237,114.9958984,20220317,14:37:29,Ngari Capes,Fished,CNB6,27,NA,NA,No,No,General Use
NCMP_17032022_CNB6-2_BRUV,-33.54587145,114.9982351,20220317,14:26:28,Ngari Capes,Fished,CNB6,24,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_17032022_CNB6-3_BRUV,-33.5480154,114.9986032,20220317,14:34:06,Ngari Capes,Fished,CNB6,24,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_17032022_CNB6-4_BRUV,-33.54532763,115.0004986,20220317,14:30:21,Ngari Capes,Fished,CNB6,21,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_17032022_CNB6-5_BRUV,-33.54352365,114.9983021,20220317,14:22:11,Ngari Capes,Fished,CNB6,24,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_17032022_CNB7-1_BRUV,-33.55372773,114.9992249,20220317,14:44:18,Ngari Capes,Fished,CNB7,27,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_17032022_CNB7-2_BRUV,-33.55606945,114.9994355,20220317,14:50:15,Ngari Capes,Fished,CNB7,26.5,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_17032022_CNB7-3_BRUV,-33.55471805,114.997052,20220317,14:53:28,Ngari Capes,Fished,CNB7,33,NA,NA,No,No,General Use
NCMP_17032022_CNB7-4_BRUV,-33.55378433,115.0014148,20220317,14:47:23,Ngari Capes,Fished,CNB7,20.5,NA,NA,No,No,General Use
NCMP_17032022_CNB7-5_BRUV,-33.55220888,114.9987435,20220317,14:41:35,Ngari Capes,Fished,CNB7,26.5,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_18032022_INB1-1_BRUV,-33.66312987,114.9890145,20220318,14:21:29,Ngari Capes,Fished,INB1,24.5,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_18032022_INB1-2_BRUV,-33.66333507,114.992826,20220318,14:23:47,Ngari Capes,Fished,INB1,23,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_18032022_INB1-3_BRUV,-33.66426748,114.9866598,20220318,14:19:06,Ngari Capes,Fished,INB1,30,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_18032022_INB1-4_BRUV,-33.6604254,114.9935376,20220318,14:26:37,Ngari Capes,Fished,INB1,16.5,Kye Adams,NA,Yes,No,General Use
NCMP_18032022_INB1-5_BRUV,-33.66485188,114.9904999,20220318,14:16:29,Ngari Capes,Fished,INB1,22,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_18032022_INB2-1_BRUV,-33.66963428,114.981671,20220318,12:35:44,Ngari Capes,Fished,INB2,28,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_18032022_INB2-2_BRUV,-33.67126085,114.9816604,20220318,12:33:32,Ngari Capes,Fished,INB2,30,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_18032022_INB2-3_BRUV,-33.67037273,114.984414,20220318,12:31:05,Ngari Capes,Fished,INB2,22,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_18032022_INB2-4_BRUV,-33.672677,114.9849698,20220318,12:28:57,Ngari Capes,Fished,INB2,20.5,NA,NA,No,No,General Use
NCMP_18032022_INB2-5_BRUV,-33.66866308,114.9856247,20220318,12:38:23,Ngari Capes,Fished,INB2,21,Kye Adams,NA,Yes,No,General Use
NCMP_18032022_INB3-1_BRUV,-33.683028,114.9766089,20220318,12:16:19,Ngari Capes,No-take,INB3,25.5,Kye Adams,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_18032022_INB3-2_BRUV,-33.68101345,114.9778536,20220318,12:24:00,Ngari Capes,No-take,INB3,25.5,Kye Adams,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_18032022_INB3-3_BRUV,-33.6805811,114.9741334,20220318,12:21:30,Ngari Capes,No-take,INB3,25,Kye Adams,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_18032022_INB3-4_BRUV,-33.6828053,114.9735079,20220318,12:18:22,Ngari Capes,No-take,INB3,31,Kye Adams,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_18032022_INB3-5_BRUV,-33.68389773,114.9792161,20220318,12:13:52,Ngari Capes,No-take,INB3,26,Kye Adams,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_18032022_INB4-1_BRUV,-33.69028333,114.9761281,20220318,10:26:36,Ngari Capes,No-take,INB4,22,Kye Adams,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_18032022_INB4-2_BRUV,-33.68890772,114.9715645,20220318,10:23:29,Ngari Capes,No-take,INB4,30,Kye Adams,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_18032022_INB4-3_BRUV,-33.69065773,114.9811546,20220318,10:29:39,Ngari Capes,No-take,INB4,18.5,Belle Mullins,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_18032022_INB4-4_BRUV,-33.69125598,114.9703655,20220318,10:21:23,Ngari Capes,No-take,INB4,28.5,Kye Adams,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_18032022_INB4-5_BRUV,-33.69265693,114.974742,20220318,10:33:01,Ngari Capes,No-take,INB4,22,Kye Adams,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_18032022_INB5-1_BRUV,-33.69808267,114.9641429,20220318,10:13:34,Ngari Capes,No-take,INB5,30,Kye Adams,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_18032022_INB5-2_BRUV,-33.6997646,114.9630486,20220318,10:11:02,Ngari Capes,No-take,INB5,31.5,Kye Adams,NA,Yes,No,Sanctuary Zone
NCMP_18032022_INB5-3_BRUV,-33.69621397,114.9648675,20220318,10:16:09,Ngari Capes,No-take,INB5,29,Kye Adams,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_18032022_INB5-4_BRUV,-33.70037438,114.9667424,20220318,10:07:49,Ngari Capes,No-take,INB5,27.5,Kye Adams,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_18032022_INB5-5_BRUV,-33.69757037,114.9689167,20220318,10:04:53,Ngari Capes,No-take,INB5,25,Kye Adams,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_18032022_INB6-1_BRUV,-33.71183617,114.9574219,20220318,8:26:26,Ngari Capes,Fished,INB6,28,NA,NA,No,No,General Use
NCMP_18032022_INB6-2_BRUV,-33.71091458,114.9604536,20220318,8:23:40,Ngari Capes,Fished,INB6,25,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_18032022_INB6-3_BRUV,-33.71186433,114.9627918,20220318,8:18:20,Ngari Capes,Fished,INB6,23.5,NA,NA,No,No,General Use
NCMP_18032022_INB6-4_BRUV,-33.70893655,114.9588364,20220318,8:29:21,Ngari Capes,Fished,INB6,37.5,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_18032022_INB7-1_BRUV,-33.7206069,114.9672253,20220318,8:09:30,Ngari Capes,Fished,INB7,29,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_18032022_INB7-2_BRUV,-33.72330625,114.9740059,20220318,8:00:44,Ngari Capes,Fished,INB7,21,Belle Mullins,Belle Mullins,Yes,Yes,General Use
NCMP_18032022_INB7-3_BRUV,-33.72047042,114.9712369,20220318,8:06:47,Ngari Capes,Fished,INB7,25,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_18032022_INB7-4_BRUV,-33.72263667,114.9705126,20220318,8:04:14,Ngari Capes,Fished,INB7,27,Belle Mullins,Belle Mullins,Yes,Yes,General Use
NCMP_18032022_INB7-5_BRUV,-33.71834162,114.9702625,20220318,8:13:59,Ngari Capes,Fished,INB7,21.5,NA,NA,No,No,General Use
NCMP_18032023_INB6-5_BRUV,-33.7131113,114.9608291,20220318,8:21:06,Ngari Capes,Fished,INB6,26,NA,NA,No,No,General Use
NCMP_20032022_CNB2-1_BRUV,-33.51996472,115.0172369,20220317,8:06:24,Ngari Capes,Fished,CNB2,16,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_20032022_CNB2-2_BRUV,-33.51537675,115.0164229,20220320,10:44:02,Ngari Capes,Fished,CNB2,28,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_20032022_CNB2-3_BRUV,-33.51854978,115.0150773,20220320,10:37:04,Ngari Capes,Fished,CNB2,22.5,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_20032022_CNB2-4_BRUV,-33.51828915,115.0178716,20220320,10:39:23,Ngari Capes,Fished,CNB2,22,NA,NA,No,No,General Use
NCMP_20032022_CNB2-5_BRUV,-33.5169907,115.0165705,20220320,10:41:24,Ngari Capes,Fished,CNB2,25.5,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_20032022_CNB3-1_BRUV,-33.51843577,115.006597,20220320,8:24:46,Ngari Capes,No-take,CNB3,31,Belle Mullins,Belle Mullins,Yes,Yes,General Use
NCMP_20032022_CNB3-2_BRUV,-33.5205961,115.0056695,20220320,8:21:47,Ngari Capes,No-take,CNB3,28.5,Belle Mullins,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_20032022_CNB3-3_BRUV,-33.52244453,115.0068306,20220320,8:19:12,Ngari Capes,No-take,CNB3,26,NA,NA,No,No,Sanctuary Zone
NCMP_20032022_CNB3-4_BRUV,-33.5221805,115.0100065,20220320,8:30:57,Ngari Capes,No-take,CNB3,21,Belle Mullins,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_20032022_CNB3-5_BRUV,-33.52005697,115.008619,20220320,8:28:06,Ngari Capes,No-take,CNB3,26,Belle Mullins,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_20032022_CNB4-1_BRUV,-33.52204463,114.9985482,20220320,8:15:10,Ngari Capes,No-take,CNB4,28,Belle Mullins,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_20032022_CNB4-2_BRUV,-33.5214172,114.9933857,20220320,8:08:50,Ngari Capes,No-take,CNB4,36.5,Belle Mullins,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_20032022_CNB4-3_BRUV,-33.52313155,114.9952502,20220320,8:05:43,Ngari Capes,No-take,CNB4,33.5,Belle Mullins,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_20032022_CNB4-4_BRUV,-33.52411543,114.9977378,20220320,8:02:17,Ngari Capes,No-take,CNB4,29,Belle Mullins,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_20032022_CNB4-5_BRUV,-33.5206899,114.9957101,20220320,8:12:15,Ngari Capes,No-take,CNB4,42,Belle Mullins,Belle Mullins,Yes,Yes,Sanctuary Zone
NCMP_21032022_EGB1-1_BRUV,-33.54529332,115.4419216,20220321,8:14:54,Ngari Capes,Fished,EGB1,8.7,NA,NA,No,No,General Use
NCMP_21032022_EGB1-2_BRUV,-33.54296577,115.4428865,20220321,8:17:45,Ngari Capes,Fished,EGB1,9.2,Kye Adams,Belle Mullins,Yes,Yes,General Use
NCMP_21032022_EGB1-3_BRUV,-33.54031053,115.4419603,20220321,8:20:11,Ngari Capes,Fished,EGB1,9.3,Kye Adams,Belle Mullins,Yes,Yes,General Use
