OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
NCMP_01052022_CL1-1_BRUV	0	Soak Time	20220501_L16_MAH00366.MP4	22318	6.20563	20220501_L16_MAH00368.MP4	75922	66.20573	1
NCMP_01052022_CL1-2_BRUV	0	Soak Time	20220501_L32_MAH00357.MP4	17289	4.80729	20220501_L32_MAH00359.MP4	70893	64.80739	1
NCMP_01052022_CL1-3_BRUV	0	Soak Time	20220501_L6_MAH00452.MP4	24067	6.69195	20220501_L6_MAH00454.MP4	77671	66.69205	1
NCMP_01052022_CL1-4_BRUV	0	Soak Time	20220501_L28_MAH00371.MP4	21947	6.10247	20220501_L28_MAH00373.MP4	75551	66.10257	1
NCMP_01052022_CL1-5_BRUV	0	Soak Time	20220501_L8_MAH00358.MP4	15851	4.40745	20220501_L8_MAH00360.MP4	69455	64.40755	1
NCMP_01052022_CL2-3_BRUV	0	Soak Time	20220501_L2_MAH00325.MP4	16669	4.63490	20220501_L2_MAH00327.MP4	70273	64.63500	1
NCMP_01052022_CL2-4_BRUV	0	Soak Time	20220501_L4_MAH00335.MP4	25479	7.08456	20220501_L4_MAH00337.MP4	79083	67.08466	1
NCMP_01052022_CL2-5_BRUV	0	Soak Time	20220501_L10_MAH00069.MP4	23538	6.54487	20220501_L10_MAH00071.MP4	77143	66.54509	1
NCMP_01052022_CL3-1_BRUV	0	Soak TIme	20220501_L2_MAH00329.MP4	27549	7.66015	20220501_L2_MAH00332.MP4	93	67.66037	1
NCMP_01052022_CL3-2_BRUV	0	Soak Time	20220501_L10_MAH00073.MP4	13228	3.67812	20220501_L10_MAH00075.MP4	66892	63.67834	1
NCMP_01052022_CL3-3_BRUV	0	Soak Time	20220501_L8_MAH00362.MP4	22083	6.14030	20220501_L8_MAH00364.MP4	75688	66.14052	1
NCMP_01052022_CL3-4_BRUV	0	Soak Time	20220501_L4_MAH00339.MP4	25356	7.05038	20220501_L4_MAH00341.MP4	78961	67.05059	1
NCMP_01052022_CL4-3_BRUV	0	Soak Time	20220501_L6_MAH00456.MP4	21799	6.06133	20220501_L6_MAH00458.MP4	75344	66.06155	1
NCMP_01052022_CL4-5_BRUV	0	Soak Time	20220501_L32_MAH00361.MP4	17045	4.73946	20220501_L32_MAH00363.MP4	70648	64.73940	1
NCMP_01052022_CL5-2_BRUV	0	Soak Time	20220501_L16_MAH00370.MP4	27522	7.65265	20220501_L16_MAH00373.MP4	6	67.65286	1
NCMP_01052022_CL5-3_BRUV	0	Soak Time	20220501_L6_MAH00460.MP4	32818	9.12523	20220501_L6_MAH00463.MP4	5302	69.12545	1
NCMP_01052022_CL5-4_BRUV	0	Soak Time	20220501_L10_MAH00078.MP4	15773	4.38577	20220501_L10_MAH00080.MP4	63283	62.69124	1
NCMP_01052022_CL5-5_BRUV	0	Soak Time	20220501_L28_MAH00379.MP4	18978	5.27693	20220501_L28_MAH00381.MP4	72582	65.27703	1
NCMP_01052022_CL6-1_BRUV	0	Soak Time	20220501_L8_MAH00366.MP4	25438	7.07316	20220501_L8_MAH00368.MP4	79042	67.07326	1
NCMP_01052022_CL6-2_BRUV	0	Soak Time	20220501_L4_MAH00343.MP4	32715	9.09657	20220501_L4_MAH00346.MP4	5258	69.09667	1
NCMP_01052022_CL6-3_BRUV	0	Soak Time	20220501_L2_MAH00333.MP4	41655	11.58238	20220501_L2_MAH00336.MP4	14138	71.58248	1
NCMP_01052022_CL6-4_BRUV	0	Soak Time	20220501_L32_MAH00365.MP4	48855	13.58440	20220501_L32_MAH00368.MP4	21399	73.58462	1
NCMP_01052022_CL7-2_BRUV	0	Soak Time	20220501_L4_MAH00347.MP4	26927	7.48720	20220501_L4_MAH00349.MP4	80532	67.48742	1
