OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
NCMP_01052022_CL1-1_BRUV	1.09	2024 04 26 13:18:22	E:\Videos\20220501\	NCMP_01052022_CL1-1_BRUV.EMObs
NCMP_01052022_CL1-2_BRUV	1.09	2024 04 26 13:18:22	E:\Videos\20220501\	NCMP_01052022_CL1-2_BRUV.EMObs
NCMP_01052022_CL1-3_BRUV	1.09	2024 04 26 13:18:22	E:\Videos\20220501\	NCMP_01052022_CL1-3_BRUV.EMObs
NCMP_01052022_CL1-4_BRUV	1.09	2024 04 26 13:18:22	G:\Videos\20220501\	NCMP_01052022_CL1-4_BRUV.EMObs
NCMP_01052022_CL1-5_BRUV	1.09	2024 04 26 13:18:22	E:\Videos\20220501\	NCMP_01052022_CL1-5_BRUV.EMObs
NCMP_01052022_CL2-3_BRUV	1.09	2024 04 26 13:18:22	E:\Videos\20220501\	NCMP_01052022_CL2-3_BRUV.EMObs
NCMP_01052022_CL2-4_BRUV	1.09	2024 04 26 13:18:22	G:\Videos\20220501\	NCMP_01052022_CL2-4_BRUV.EMObs
NCMP_01052022_CL2-5_BRUV	1.09	2024 04 26 13:18:22	E:\Videos\20220501\	NCMP_01052022_CL2-5_BRUV.EMObs
NCMP_01052022_CL3-1_BRUV	1.09	2024 04 26 13:18:22	E:\Videos\20220501\	NCMP_01052022_CL3-1_BRUV.EMObs
NCMP_01052022_CL3-2_BRUV	1.09	2024 04 26 13:18:22	G:\Videos\20220501\	NCMP_01052022_CL3-2_BRUV.EMObs
NCMP_01052022_CL3-3_BRUV	1.09	2024 04 26 13:18:22	E:\Videos\20220501\	NCMP_01052022_CL3-3_BRUV.EMObs
NCMP_01052022_CL3-4_BRUV	1.09	2024 04 26 13:18:22	E:\Videos\20220501\	NCMP_01052022_CL3-4_BRUV.EMObs
NCMP_01052022_CL4-3_BRUV	1.09	2024 04 26 13:18:22	G:\Videos\20220501\	NCMP_01052022_CL4-3_BRUV.EMObs
NCMP_01052022_CL4-5_BRUV	1.09	2024 04 26 13:18:22	E:\Videos\20220501\	NCMP_01052022_CL4-5_BRUV.EMObs
NCMP_01052022_CL5-2_BRUV	1.09	2024 04 26 13:18:22	E:\Videos\20220501\	NCMP_01052022_CL5-2_BRUV.EMObs
NCMP_01052022_CL5-3_BRUV	1.09	2024 04 26 13:18:22	E:\Videos\20220501\	NCMP_01052022_CL5-3_BRUV.EMObs
NCMP_01052022_CL5-4_BRUV	1.09	2024 04 26 13:18:22	G:\Videos\20220501\	NCMP_01052022_CL5-4_BRUV.EMObs
NCMP_01052022_CL5-5_BRUV	1.09	2024 04 26 13:18:22	E:\Videos\20220501\	NCMP_01052022_CL5-5_BRUV.EMObs
NCMP_01052022_CL6-1_BRUV	1.09	2024 04 26 13:18:22	G:\Videos\20220501\	NCMP_01052022_CL6-1_BRUV.EMObs
