Sample,Latitude,Longitude,Date,Time,Site,Location,Status,Depth,Observer,Successful.count,Successful.length,Observer.length
PCBRUV1,-22.7593,113.5427,20210828,09:56:00,Pt Cloates,Pt Cloates,No-take,81.1,Henry Evans,Yes,Yes,Molly Gerrans
PCBRUV24,-22.7557,113.5451,20210828,09:52:00,Pt Cloates,Pt Cloates,No-take,81.1,Daniel Agnello,Yes,Yes,Molly Gerrans
PCBRUV20,-22.7519,113.5445,20210828,11:36:00,Pt Cloates,Pt Cloates,No-take,82.4,Hannah Williams,Yes,Yes,Molly Gerrans
PCBRUV8,-22.7506,113.5474,20210828,11:39:00,Pt Cloates,Pt Cloates,No-take,79.8,Hannah Williams,Yes,Yes,Molly Gerrans
PCBRUV23,-22.7476,113.5435,20210828,11:42:00,Pt Cloates,Pt Cloates,No-take,85.6,Daniel Agnello,Yes,Yes,Hannah Williams
PCPREF2,-22.7435,113.5454,20210828,11:47:00,Pt Cloates,Pt Cloates,No-take,82.2,Hannah Williams,Yes,No,
PCBRUV10,-22.7405,113.5395,20210828,11:51:00,Pt Cloates,Pt Cloates,No-take,92.6,,No,No,
PCPREF4,-22.7395,113.5425,20210828,11:54:00,Pt Cloates,Pt Cloates,No-take,89.7,Daniel Agnello ,Yes,Yes,Levi Peters
PCBRUV26,-22.7376,113.542,20210828,11:57:00,Pt Cloates,Pt Cloates,No-take,88.7,Hannah Williams,Yes,Yes,Levi Peters
PCBRUV5,-22.7391,113.5501,20210828,12:03:00,Pt Cloates,Pt Cloates,No-take,80.3,Hannah Williams,Yes,Yes,Levi Peters
PCPREF5,-22.7345,113.5503,20210828,13:24:00,Pt Cloates,Pt Cloates,No-take,79.9,Hannah Williams,Yes,Yes,Levi Peters
PCBRUV18,-22.7281,113.5522,20210828,13:32:00,Pt Cloates,Pt Cloates,No-take,83.9,Hannah Williams,Yes,Yes,Molly Gerrans
PCPREF12,-22.7311,113.5441,20210828,13:36:00,Pt Cloates,Pt Cloates,No-take,90.4,Hannah Williams,Yes,Yes,Molly Gerrans
PCBRUV27,-22.729,113.5509,20210828,13:40:00,Pt Cloates,Pt Cloates,No-take,82.4,Hannah Williams,Yes,No,Levi Peters
PCBRUV15,-22.7281,113.5522,20210828,13:43:00,Pt Cloates,Pt Cloates,No-take,82,Levi Peters,Yes,Yes,Hannah Williams
PCBRUV22,-22.7263,113.5501,20210828,13:47:00,Pt Cloates,Pt Cloates,No-take,82.2,Levi Peters,Yes,Yes,Hannah Williams
PCBRUV7,-22.7266,113.5478,20210828,13:51:00,Pt Cloates,Pt Cloates,No-take,86,Levi Peters,Yes,Yes,Hannah Williams
PCBRUV14,-22.7252,113.546,20210828,13:55:00,Pt Cloates,Pt Cloates,No-take,88.9,Hannah Williams,Yes,Yes,Levi Peters
PCPREF3,-22.7512,113.5386,20210829,08:57:00,Pt Cloates,Pt Cloates,No-take,89.2,,No,No,
CAP1,-22.7598,113.54,20210829,09:06:00,Pt Cloates,Pt Cloates,No-take,83.7,,No,No,
CAP2,-22.7621,113.5439,20210829,09:11:00,Pt Cloates,Pt Cloates,No-take,78.6,,No,No,
