OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
PCB11	14	Left_MAH00189.MP4	59030	Right_MAH00188.MP4	57171	38.95336	1	23.99675	-519.28316	-209.13613	-1056.48996	0.89572	0.61067	1.69202	0.80593	1195.64374	27.98537	Lethrinidae	Lethrinus	rubrioperculatus	37351012	1	AD	Passing			
PCB12	3	Left_MAH00193.MP4	80255	Right_MAH00192.MP4	81017	44.85509	1	21.47451	-854.72485	71.63083	-1364.3594	1.60882	0.66686	2.66373	1.01322	1611.57132	32.14157	Lutjanidae	Pristipomoides	sp1		1	AD	Passing			
PCB12	11	Left_MAH00194.MP4	68135	Right_MAH00193.MP4	68898	64.02452	1	40.64394	-406.96673	-141.77645	-1125.38872	0.83771	0.60403	1.98497	1.20463	1205.08184	21.0131	Balistidae	Abalistes	filamentosus	37465089	1	AD	Passing			
PCB13	0	Left_MAH01201.MP4	72867	Right_MAH00213.MP4	75010	20.26107	1	2.69519	-1415.40327	-68.60704	-5182.82738	10.76543	2.50957	39.88147	7.18128	5373.05993	15.305	Unknown	Unknown	Unknown	0	1	AD	Passing			
PCB13	12	Left_MAH01203.MP4	57085	Right_MAH00215.MP4	59228	60.96841	1	43.40253	994.79675	706.42569	-3856.89311	5.76096	4.50074	22.21642	13.23998	4045.27902	17.41891	Carangidae	Decapterus	spp		1	AD	Passing			
PCB13	13	Left_MAH01203.MP4	57101	Right_MAH00215.MP4	59244	60.97286	1	43.40697	760.20206	724.21349	-4126.09562	4.89668	4.92466	25.40625	8.33804	4257.58822	14.11508	Carangidae	Decapterus	spp		1	AD	Passing			
PCB13	14	Left_MAH01203.MP4	57170	Right_MAH00215.MP4	59313	60.99204	1	43.42616	-1816.89606	864.85192	-3729.51691	9.26064	4.92904	19.88705	3.14324	4237.73247	28.24809	Carangidae	Decapterus	spp		1	AD	Passing			
PCB13	15	Left_MAH01203.MP4	57170	Right_MAH00215.MP4	59313	60.99204	1	43.42616	-951.49869	1163.13064	-4408.75437	6.30062	7.90991	28.76704	9.91362	4657.82543	18.63983	Carangidae	Decapterus	spp		1	AD	Passing			
PCB13	16	Left_MAH01203.MP4	57170	Right_MAH00215.MP4	59313	60.99204	1	43.42616	-236.50195	1013.20678	-4674.20003	2.73766	7.44282	32.43515	14.0775	4788.59761	12.31942	Carangidae	Decapterus	spp		1	AD	Passing			
PCB16	0	Left_MAH00158.MP4	33843	Right_MAH00212.MP4	30388	9.41023	1	1.90107	-2248.45491	-408.66415	-7397.69852	23.93104	5.8137	80.12342	13.68663	7742.64162	17.13791	Labridae	Bodianus	solatus	37384201	1	AD	Passing			
PCB16	4	Left_MAH00158.MP4	48256	Right_MAH00212.MP4	44801	13.41785	1	5.90868	-1527.38147	1602.31632	-5186.78528	11.34369	12.1009	39.1628	14.71628	5639.41959	23.23307	Echeneidae	Echeneis	naucrates	37336001	1	AD	Passing			
PCB16	5	Left_MAH00158.MP4	48256	Right_MAH00212.MP4	44801	13.41785	1	5.90868	-1327.26189	1626.08103	-5463.82555	10.57397	13.03323	43.78144	12.52046	5853.13192	21.1441	Echeneidae	Echeneis	naucrates	37336001	1	AD	Passing			
PCB16	24	Left_MAH00159.MP4	56602	Right_MAH00213.MP4	53147	38.29492	1	30.78576	-1428.73161	-242.55739	-4149.10175	8.54578	2.5067	25.37148	2.56647	4394.90085	19.2258	SUS	SUS	SUS	2	1	AD	Passing			
PCB16	25	Left_MAH00159.MP4	56602	Right_MAH00213.MP4	53147	38.29492	1	30.78576	-1539.9874	-322.4034	-3492.01531	7.48523	2.33115	17.64025	5.52553	3830.10132	24.22097	SUS	SUS	SUS	2	1	AD	Passing			
PCB2	12	Left_MAH00203.MP4	70705	Right_MAH00198.MP4	69822	42.21634	1	25.94953	-691.07323	459.89971	-1435.41746	1.4345	1.17386	3.00114	2.5499	1658.16562	29.82656	Carangidae	Carangoides	gymnostethus		1	AD	Passing			
PCB21	11	Left_MAH00293.MP4	38678	Right_MAH00801.MP4	37604	55.85024	1	47.53888	1116.7933	410.53551	-1764.91465	2.59979	1.29918	4.25501	1.27447	2128.54185	33.90746	Scaridae	Scarus			1	AD	Passing			
PCB21	17	Left_MAH00294.MP4	2408	Right_MAH00802.MP4	1274	68.30463	1	59.99327	2066.81417	1446.06577	-4018.64411	11.279	8.41081	22.79343	2.00861	4744.71574	31.9837	Lutjanidae	Lutjanus	sebae	37346004	1	AD	Passing			
PCB25	0	Left_MAH00296.MP4	48719	Right_MAH00804.MP4	47460	13.54659	1	1.43699	-675.55886	2217.2385	-7217.91836	7.76155	23.96065	76.65697	8.3398	7580.95454	17.58161	Acanthuridae	Naso	fageni	37437027	1	AD	Passing			
PCB25	1	Left_MAH00296.MP4	51926	Right_MAH00804.MP4	50667	14.43831	1	2.32872	1833.19794	235.36415	-6307.04127	17.06332	3.89991	59.57509	8.0099	6572.27362	16.305	Unknown	Unknown	Unknown	0	1	AD	Passing			
PCB25	2	Left_MAH00296.MP4	51926	Right_MAH00804.MP4	50667	14.43831	1	2.32872	1202.1174	46.13494	-1897.15559	3.06062	0.91379	5.0482	1.03812	2246.4225	32.37098	Unknown	Unknown	Unknown	0	1	AD	Passing			
PCB25	10	Left_MAH00297.MP4	54395	Right_MAH00805.MP4	53076	37.66457	1	25.55497	-24.54383	-269.43946	-1244.62202	0.63476	0.79383	2.44269	2.68962	1273.68913	12.495	Muraenidae	Gymnothorax	undulatus	37060053	1	AD	Passing			
PCB25	21	Left_MAH00298.MP4	16368	Right_MAH00806.MP4	15110	49.6471	1	37.5375	2313.22629	2007.50474	-5546.7463	18.09718	16.38183	44.57797	1.65659	6336.20436	28.75557	Scombridae	Scomberomorus	spp		1	AD	Passing			
PCB25	22	Left_MAH00298.MP4	16468	Right_MAH00806.MP4	15210	49.6749	1	37.56531	2868.03216	1629.67528	-6238.02514	25.28905	15.1597	56.5322	1.88145	7056.51526	27.75629	Scombridae	Scomberomorus	spp		1	AD	Passing			
PCB28	1	Left_MAH01198.MP4	3452	Right_MAH00210.MP4	2759	46.05545	1	11.50816	-78.07606	2305.60688	-6770.95444	3.29988	23.31525	67.41509	15.37243	7153.16315	18.5787	Unknown	Unknown	Unknown	0	1	AD	Passing			
PCB28	2	Left_MAH01198.MP4	3484	Right_MAH00210.MP4	2791	46.06435	1	11.51706	271.9781	2132.38062	-6365.99859	3.90906	20.32815	59.67633	14.06012	6719.14855	18.42469	Unknown	Unknown	Unknown	0	1	AD	Passing			
