OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
PCB11	0	0	1442.37624	181.78218	1573.06931	204.35644
PCB11	1	0	1297.40594	365.33663	1259.43564	392.71287
PCB11	1	1	1688.01980	363.40594	1651.37624	418.47525
PCB11	2	0	1284.46535	605.11881	1260.97030	648.39604
PCB11	2	1	1599.33663	571.22772	1622.51485	648.57426
PCB11	3	0	860.89109	438.39604	866.40594	447.39604
PCB11	3	1	1195.37624	416.85149	1204.54455	445.03960
PCB11	4	0	963.56436	529.90099	733.06931	537.02970
PCB11	4	1	515.64356	321.98020	343.36634	317.22772
PCB11	5	0	376.63366	406.33663	412.27723	392.07921
PCB11	5	1	671.28713	274.45545	659.40594	280.39604
PCB11	6	0	1222.57426	518.01980	1153.59406	550.46535
PCB11	6	1	1581.93069	509.58416	1541.98020	572.73267
PCB11	7	0	639.20792	282.77228	727.12871	294.65347
PCB11	7	1	360.00000	256.63366	483.56436	261.38614
PCB11	8	0	646.33663	358.81188	413.46535	354.05941
PCB11	8	1	1170.29703	105.74257	798.41584	116.43564
PCB11	9	0	1179.59406	515.42574	1186.40594	550.14851
PCB11	9	1	1423.25743	503.68317	1489.75248	562.11881
PCB11	10	0	305.34653	705.74257	61.78218	638.01980
PCB11	10	1	902.97030	765.14851	614.25743	754.45545
PCB11	11	0	1418.61386	551.28713	1669.30693	620.19802
PCB11	11	1	1302.17822	539.40594	1543.36634	591.68317
PCB11	12	0	1077.62376	123.56436	1075.24752	136.63366
PCB11	12	1	1409.10891	142.57426	1407.92079	165.14851
PCB11	13	0	1107.32673	367.12871	998.01980	386.13861
PCB11	13	1	749.70297	272.07921	639.20792	278.01980
PCB11	14	0	478.81188	848.31683	77.22772	772.27723
PCB11	15	0	737.82178	375.44554	780.59406	384.95050
PCB11	15	1	1001.58416	415.84158	1043.16832	436.03960
PCB11	16	0	628.51485	449.10891	649.90099	446.73267
PCB11	16	1	841.18812	480.00000	853.06931	488.31683
PCB11	17	0	717.62376	563.16832	526.33663	553.66337
PCB11	17	1	1208.31683	563.16832	962.37624	582.17822
PCB11	18	0	1308.11881	455.04950	960.00000	478.81188
PCB11	18	1	1807.12871	537.02970	1537.42574	616.63366
PCB11	19	0	621.38614	220.99010	364.75248	235.24752
PCB11	19	1	1488.71287	8.31683	1167.92079	16.63366
PCB11	20	0	950.49505	363.56436	853.06931	377.82178
PCB11	20	1	1580.19802	272.07921	1502.97030	312.47525
PCB11	21	0	253.06931	144.95050	337.42574	165.14851
PCB11	21	1	603.56436	218.61386	687.92079	234.05941
PCB11	22	0	1106.13861	648.71287	762.77228	658.21782
PCB11	22	1	727.12871	217.42574	286.33663	217.42574
PCB11	23	0	1173.00000	841.41584	689.56436	846.90099
PCB11	23	1	664.77228	755.11881	277.69307	711.68317
PCB11	24	0	1041.98020	380.19802	835.24752	401.58416
PCB11	24	1	1386.53465	500.19802	1192.87129	539.40594
PCB11	25	0	1462.57426	390.89109	1504.15842	431.28713
PCB11	25	1	1156.03960	437.22772	1186.93069	468.11881
PCB11	26	0	629.70297	455.04950	257.82178	431.28713
PCB11	26	1	1112.07921	613.06931	845.94059	624.95050
PCB11	27	0	672.47525	509.70297	609.50495	500.19802
PCB11	27	1	1179.80198	464.55446	1104.95050	487.12871
PCB11	28	0	800.79208	468.11881	763.96040	474.05941
PCB11	28	1	1224.95050	437.22772	1142.97030	468.11881
PCB11	29	0	897.02970	349.30693	804.35644	360.00000
PCB11	29	1	1339.00990	312.47525	1266.53465	339.80198
PCB11	30	0	158.61386	295.96040	175.84158	291.61386
PCB11	30	1	544.35644	405.06931	507.39604	398.22772
PCB12	0	0	593.69202	29.67033	812.17069	58.15385
PCB12	0	1	816.92022	16.61538	1049.64750	41.53846
PCB12	1	0	596.06679	230.24176	377.58813	239.73626
PCB12	1	1	900.03711	453.36264	647.12430	458.10989
PCB12	2	0	444.08163	557.80220	457.14286	534.06593
PCB12	2	1	675.62152	540.00000	694.61967	535.25275
PCB12	3	0	123.48794	471.16484	8.31169	428.43956
PCB12	4	0	755.17625	342.98901	701.74397	353.67033
PCB12	4	1	1085.26902	259.91209	1063.89610	278.90110
PCB12	5	0	695.80705	205.31868	480.89054	207.69231
PCB12	5	1	1090.01855	458.10989	844.23006	467.60440
PCB12	6	0	1099.51763	346.54945	699.36920	351.29670
PCB12	6	1	1479.48052	382.15385	1206.38219	414.19780
PCB12	7	0	224.41558	296.70330	3.56215	277.71429
PCB12	7	1	781.29870	380.96703	655.43599	383.34066
PCB12	8	0	1091.20594	402.32967	1066.27087	417.75824
PCB12	8	1	1510.35250	439.12088	1500.85343	490.15385
PCB12	9	0	1166.01113	195.82418	1339.36920	213.62637
PCB12	9	1	900.03711	123.42857	1041.33581	145.97802
PCB12	10	0	635.25046	704.96703	502.26345	676.48352
PCB12	10	1	939.22078	738.19780	738.55288	735.82418
PCB12	11	0	649.49907	731.07692	277.84787	684.79121
PCB12	12	0	1255.06494	602.90110	1208.75696	645.62637
PCB12	12	1	1643.33952	650.37363	1706.27087	747.69231
PCB12	13	0	1297.81076	570.85714	1353.61781	619.51648
PCB12	13	1	1629.09091	517.45055	1727.64378	591.03297
PCB12	14	0	757.55102	499.64835	883.41373	503.20879
PCB12	14	1	1000.96475	477.09890	1131.57699	500.83516
PCB13	0	0	437.08911	583.57426	684.86139	549.63366
PCB13	1	0	1302.78218	621.22772	1188.01980	603.05941
PCB13	1	1	1438.82178	615.58416	1327.02970	602.46535
PCB13	2	0	960.45545	588.78218	1040.69307	561.17822
PCB13	2	1	1077.48515	572.74257	1160.39604	545.13861
PCB13	3	0	1726.33663	446.70297	1827.62376	407.96040
PCB13	3	1	1526.43564	483.23762	1590.00000	454.29703
PCB13	4	0	306.74257	117.92079	340.93069	132.54455
PCB13	4	1	717.91089	158.88119	722.71287	147.18812
PCB13	5	0	1172.36634	692.42574	864.84158	675.00990
PCB13	5	1	1588.62376	423.70297	1277.57426	398.18812
PCB13	6	0	1559.51485	290.13861	918.15842	270.00990
PCB13	6	1	836.52475	306.15842	144.05941	305.80198
PCB13	7	0	1050.55446	527.76238	820.94059	512.04950
PCB13	7	1	1615.07921	564.44554	1436.93069	559.44554
PCB13	8	0	1207.73267	782.44554	868.98020	765.84158
PCB13	8	1	1617.84158	740.08911	1305.23762	739.74257
PCB13	9	0	655.59406	619.55446	516.07921	590.61386
