OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
PCB11	1.09	2024 03 22 14:54:02	G:\20210907\L041_R042\PCB11\	PCB11.EMObs
PCB12	1.09	2024 03 22 14:54:02	F:\20210907\L041_R042\PCB12\	PCB12.EMObs
PCB13	1.09	2024 03 22 14:54:02	G:\20210907\L031_R032\PCB13\	PCB13.EMObs
PCB16	1.09	2024 03 22 14:54:02	G:\20210907\L027_R028\PCB16\	PCB16.EMObs
PCB2	1.09	2024 03 22 14:54:02	G:\20210907\L035_R036\PCB2\	PCB2.EMObs
PCB21	1.09	2024 03 22 14:54:02	G:\20210907\L033_R034\PCB21\	PCB21.EMObs
PCB25	1.09	2024 03 22 14:54:02	G:\20210907\L033_R034\PCB25\	PCB25.EMObs
PCB28	1.09	2024 03 22 14:54:02	G:\20210907\L031_R032\PCB28\	PCB28.EMObs
PCB29	1.09	2024 03 22 14:54:02	G:\20210907\L037_R038\PCB29\	PCB29.EMObs
PCB3	1.09	2024 03 22 14:54:02	G:\20210907\L027_R028\PCB3\	PCB3.EMObs
PCB30	1.09	2024 03 22 14:54:02	D:\20210907\L039_R040\PCB30\	PCB30.EMObs
PCB4	1.09	2024 03 22 14:54:02	D:\20210907\L041_R042\PCB4\	PCB4.EMObs
PCB9	1.09	2024 03 22 14:54:02	F:\20210907\L027_R028\PCB9\	PCB9.EMObs
PCBP1	1.09	2024 03 22 14:54:02	G:\20210907\L039_R040\PCBP1\	PCBP1.EMObs
PCBP10	1.09	2024 03 22 14:54:02	G:\20210907\L031_R032\PCBP10\	PCBP10.EMObs
PCBP11	1.09	2024 03 22 14:54:02	D:\20210907\L037_R038\PCBP11\	PCBP11.EMObs
PCBP13	1.09	2024 03 22 14:54:02	F:\20210907\L039_R040\PCBP13\	PCBP13.EMObs
PCBP14	1.09	2024 03 22 14:54:02	F:\20210907\L037_R038\PCBP14\	PCBP14.EMObs
PCBP15	1.09	2024 03 22 14:54:02	G:\20210907\L041_R042\PCBP15\	PCBP15.EMObs
PCBP16	1.09	2024 03 22 14:54:02	G:\20210907\L035_R036\PCBP16\	PCBP16.EMObs
PCBP17	1.09	2024 03 22 14:54:02	F:\20210907\L033_R034\PCBP17\	PCBP17.EMObs
PCBP18	1.09	2024 03 22 14:54:02	G:\20210907\L027_R028\PCBP18\	PCBP18.EMObs
PCBP3	1.09	2024 03 22 14:54:02	G:\20210907\L031_R032\PCBP3\	PCBP3.EMObs
PCBP6	1.09	2024 03 22 14:54:02	G:\20210907\L039_R040\PCBP6\	PCBP6.EMObs
PCBP7	1.09	2024 03 22 14:54:02	D:\20210907\L035_R036\PCBP7\	PCBP7.EMObs
PCBP8	1.09	2024 03 22 14:54:02	D:\20210907\L033_R034\PCBP8\	PCBP8.EMObs
PCBP9	1.09	2024 03 22 14:54:02	F:\20210907\L037_R038\PCBP9\	PCBP9.EMObs
PCBRUV1	1.09	2024 03 22 14:54:02	G:\20210828\L037_R038\PCBRUV1\	PCBRUV1.EMObs
PCBRUV14	1.09	2024 03 22 14:54:02	G:\20210828\L037_R038\PCBRUV14\	PCBRUV14.EMObs
PCBRUV15	1.09	2024 03 22 14:54:02	I:\20210828\L029_R030\PCBRUV15\	PCBRUV15.EMObs
PCBRUV18	1.09	2024 03 22 14:54:02	G:\20210828\L027_R028\PCBRUV18\	PCBRUV18.EMObs
PCBRUV19	1.09	2024 03 22 14:54:02	G:\20210829\L037_R038\PCBRUV19\	PCBRUV19.EMObs
PCBRUV20	1.09	2024 03 22 14:54:02	F:\20210828\L033_R034\PCBRUV20\	PCBRUV20.EMObs
PCBRUV22	1.09	2024 03 22 14:54:02	F:\20210828\L035_R036\PCBRUV22\	PCBRUV22.EMObs
PCBRUV23	1.09	2024 03 22 14:54:02	F:\20210828\L039_R040\PCBRUV23\	PCBRUV23.EMObs
PCBRUV24	1.09	2024 03 22 14:54:02	G:\20210828\L035_R036\PCBRUV24\	PCBRUV24.EMObs
PCBRUV26	1.09	2024 03 22 14:54:02	G:\20210828\L035_R036\PCBRUV26\	PCBRUV26.EMObs
PCBRUV27	1.09	2024 03 22 14:54:02	E:\20210828\L041_R042\PCBRUV27\	PCBRUV27.EMObs
PCBRUV5	1.09	2024 03 22 14:54:02	D:\20210828\L037_R038\PCBRUV5\	PCBRUV5.EMObs
PCBRUV7	1.09	2024 03 22 14:54:02	F:\20210828\L031_R032\PCBRUV7\	PCBRUV7.EMObs
PCBRUV8	1.09	2024 03 22 14:54:02	G:\20210828\L027_R028\PCBRUV8\	PCBRUV8.EMObs
PCPREF12	1.09	2024 03 22 14:54:02	G:\20210828\L039_R040\PCPREF12\	PCPREF12.EMObs
PCPREF2	1.09	2024 03 22 14:54:02	F:\20210828\L041_R042\PCPREF2\	PCPREF2.EMObs
PCPREF4	1.09	2024 03 22 14:54:02	F:\20210828\L031_R032\PCPREF4\	PCPREF4.EMObs
PCPREF5	1.09	2024 03 22 14:54:02	F:\20210828\L033_R034\PCPREF5\	PCPREF5.EMObs
