OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
NMP_20190803_MF-10_BRUV	0	Time Seabed	MF-10_L528_MAH00158.MP4	15257	4.24229	MF-10_L528_MAH00160.MP4	68861	64.24238	1
NMP_20190803_MF-11_BRUV	0	Time Seabed	MF-11_L528_MAH00163.MP4	10122	2.81447	MF-11_L528_MAH00165.MP4	63726	62.81457	1
NMP_20190803_MF-12_BRUV	0	Time Seabed	MF-12_L530_MAH00098.MP4	20615	5.73210	MF-12_L530_MAH00100.MP4	74219	65.73220	1
NMP_20190803_MF-13_BRUV	0	Time Seabed	MF-13_L1B_MAH00169.MP4	26170	7.27670	MF-13_L1B_MAH00171.MP4	79774	67.27680	1
NMP_20190803_MF-14_BRUV	0	Time Seabed	MF-14_L526_MAH00106.MP4	22687	6.30823	MF-14_L526_MAH00108.MP4	76291	66.30833	1
NMP_20190803_MF-15_BRUV	0	MF-15	MF-15_L8_MAH00121.MP4	17351	4.82453	MF-15_L8_MAH00123.MP4	71170	64.90110	1
NMP_20190803_MF-16_BRUV	0	Time Seabed	MF-16_L10_MAH00006.MP4	17804	4.95049	MF-16_L10_MAH00008.MP4	71468	64.95059	1
NMP_20190803_MF-17_BRUV	0	Time Seabed	MF-17_L6_MAH00159.MP4	17860	4.96606	MF-17_L6_MAH00161.MP4	71464	64.96616	1
NMP_20190803_MF-18_BRUV	0	Time Seabed	MF-18_L2_MAH00078.MP4	14070	3.91223	MF-18_L2_MAH00080.MP4	67674	63.91233	1
NMP_20190803_MF-19_BRUV	0	Time Seabed	MF-19_L532_MAH00087.MP4	37988	10.56275	MF-19_L532_MAH00090.MP4	10531	70.56285	1
NMP_20190803_MF-1_BRUV	0	Time Seabed	MF-1_L524_MAH00172.MP4	35112	9.76307	MF-1_L524_MAH00175.MP4	6877	69.76317	1
NMP_20190803_MF-20_BRUV	0	Time Seabed	MF-20_L524_MAH00177.MP4	29417	8.17954	MF-20_L524_MAH00180.MP4	1960	68.17964	1
NMP_20190803_MF-21_BRUV	0	Time Seabed	MF-21_L524_MAH00181.MP4	18708	5.20185	MF-21_L524_MAH00183.MP4	72312	65.20195	1
NMP_20190803_MF-22_BRUV	0	Time Seabed	MF-22_L532_MAH00093.MP4	9832	2.73384	MF-22_L532_MAH00095.MP4	63436	62.73393	1
NMP_20190803_MF-23_BRUV	0	Time Seabed	MF-23_L2_MAH00083.MP4	9335	2.59564	MF-23_L2_MAH00085.MP4	62939	62.59574	1
NMP_20190803_MF-24_BRUV	0	Time Seabed	MF-24_L6_MAH00164.MP4	13471	3.74568	MF-24_L6_MAH00166.MP4	67419	63.84143	1
NMP_20190803_MF-25_BRUV	0	Time Seabed	MF-25_L10_MAH00011.MP4	9169	2.54949	MF-25_L10_MAH00013.MP4	62773	62.54958	1
NMP_20190803_MF-26_BRUV	0	Time Seabed	MF-26_L8_MAH00128.MP4	12204	3.39338	MF-26_L8_MAH00130.MP4	65808	63.39348	1
NMP_20190803_MF-27_BRUV	0	Time Seabed	MF-27_L526_MAH00111.MP4	10348	2.87731	MF-27_L526_MAH00113.MP4	63952	62.87741	1
