OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
NMP_20190803_MF-10_BRUV	1.09	2024 05 07 14:11:42	Q:\	NMP_20190803_MF-10_BRUV.EMObs
NMP_20190803_MF-11_BRUV	1.09	2024 05 07 14:11:42	Q:\	NMP_20190803_MF-11_BRUV.EMObs
NMP_20190803_MF-12_BRUV	1.09	2024 05 07 14:11:42	Q:\	NMP_20190803_MF-12_BRUV.EMObs
NMP_20190803_MF-13_BRUV	1.09	2024 05 07 14:11:42	Q:\	NMP_20190803_MF-13_BRUV.EMObs
NMP_20190803_MF-14_BRUV	1.09	2024 05 07 14:11:42	F:\NIN_2019-08_BRUV\BRUV_RAW_HD1\03-08-2019\	NMP_20190803_MF-14_BRUV.EMObs
NMP_20190803_MF-15_BRUV	1.09	2024 05 07 14:11:42	Q:\	NMP_20190803_MF-15_BRUV.EMObs
NMP_20190803_MF-16_BRUV	1.09	2024 05 07 14:11:42	F:\NIN_2019-08_BRUV\BRUV_RAW_HD1\03-08-2019\	NMP_20190803_MF-16_BRUV.EMObs
NMP_20190803_MF-17_BRUV	1.09	2024 05 07 14:11:42	E:\03-08-2019\	NMP_20190803_MF-17_BRUV.EMObs
NMP_20190803_MF-18_BRUV	1.09	2024 05 07 14:11:42	Q:\	NMP_20190803_MF-18_BRUV.EMObs
NMP_20190803_MF-19_BRUV	1.09	2024 05 07 14:11:42	F:\NIN_2019-08_BRUV\BRUV_RAW_HD1\03-08-2019\	NMP_20190803_MF-19_BRUV.EMObs
NMP_20190803_MF-1_BRUV	1.09	2024 05 07 14:11:42	Q:\	NMP_20190803_MF-1_BRUV.EMObs
NMP_20190803_MF-20_BRUV	1.09	2024 05 07 14:11:42	F:\NIN_2019-08_BRUV\BRUV_RAW_HD1\03-08-2019\	NMP_20190803_MF-20_BRUV.EMObs
NMP_20190803_MF-21_BRUV	1.09	2024 05 07 14:11:42	D:\NIN_2019-08_BRUV\BRUV_RAW_HD1\03-08-2019\	NMP_20190803_MF-21_BRUV.EMObs
NMP_20190803_MF-22_BRUV	1.09	2024 05 07 14:11:42	G:\NIN_2019-08_BRUV\BRUV_RAW_HD1\03-08-2019\	NMP_20190803_MF-22_BRUV.EMObs
NMP_20190803_MF-23_BRUV	1.09	2024 05 07 14:11:42	D:\NIN_2019-08_BRUV\BRUV_RAW_HD1\03-08-2019\	NMP_20190803_MF-23_BRUV.EMObs
NMP_20190803_MF-24_BRUV	1.09	2024 05 07 14:11:42	Q:\	NMP_20190803_MF-24_BRUV.EMObs
NMP_20190803_MF-25_BRUV	1.09	2024 05 07 14:11:42	E:\03-08-2019\	NMP_20190803_MF-25_BRUV.EMObs
NMP_20190803_MF-26_BRUV	1.09	2024 05 07 14:11:42	E:\03-08-2019\	NMP_20190803_MF-26_BRUV.EMObs
NMP_20190803_MF-27_BRUV	1.09	2024 05 07 14:11:42	Q:\	NMP_20190803_MF-27_BRUV.EMObs
NMP_20190803_MF-28_BRUV	1.09	2024 05 07 14:11:42	F:\NIN_2019-08_BRUV\BRUV_RAW_HD1\03-08-2019\	NMP_20190803_MF-28_BRUV.EMObs
NMP_20190803_MF-29_BRUV	1.09	2024 05 07 14:11:42	F:\NIN_2019-08_BRUV\BRUV_RAW_HD1\03-08-2019\	NMP_20190803_MF-29_BRUV.EMObs
NMP_20190803_MF-2_BRUV	1.09	2024 05 07 14:11:42	Q:\	NMP_20190803_MF-2_BRUV.EMObs
NMP_20190803_MF-30_BRUV	1.09	2024 05 07 14:11:42	E:\03-08-2019\	NMP_20190803_MF-30_BRUV.EMObs
NMP_20190803_MF-3_BRUV	1.09	2024 05 07 14:11:42	E:\NIN_2019-08_BRUV\BRUV_RAW_HD1\03-08-2019\	NMP_20190803_MF-3_BRUV.EMObs
NMP_20190803_MF-4_BRUV	1.09	2024 05 07 14:11:42	Q:\	NMP_20190803_MF-4_BRUV.EMObs
NMP_20190803_MF-5_BRUV	1.09	2024 05 07 14:11:42	Q:\	NMP_20190803_MF-5_BRUV.EMObs
NMP_20190803_MF-7_BRUV	1.09	2024 05 07 14:11:42	Q:\	NMP_20190803_MF-7_BRUV.EMObs
NMP_20190803_MF-8_BRUV	1.09	2024 05 07 14:11:42	D:\NIN_2019-08_BRUV\BRUV_RAW_HD1\03-08-2019\	NMP_20190803_MF-8_BRUV.EMObs
NMP_20190803_MF-9_BRUV	1.09	2024 05 07 14:11:42	Q:\	NMP_20190803_MF-9_BRUV.EMObs
NMP_20190804_MF-31_BRUV	1.09	2024 05 07 14:11:42	F:\NIN_2019-08_BRUV\BRUV_RAW_HD1\04-08-2019\	NMP_20190804_MF-31_BRUV.EMObs
NMP_20190804_MF-32_BRUV	1.09	2024 05 07 14:11:42	E:\04-08-2019\	NMP_20190804_MF-32_BRUV.EMObs
NMP_20190804_MF-33_BRUV	1.09	2024 05 07 14:11:42	E:\04-08-2019\	NMP_20190804_MF-33_BRUV.EMObs
NMP_20190804_MF-34_BRUV	1.09	2024 05 07 14:11:42	G:\NIN_2019-08_BRUV\BRUV_RAW_HD1\04-08-2019\	NMP_20190804_MF-34_BRUV.EMObs
NMP_20190804_MF-35_BRUV	1.09	2024 05 07 14:11:42	E:\04-08-2019\	NMP_20190804_MF-35_BRUV.EMObs
NMP_20190804_MF-36_BRUV	1.09	2024 05 07 14:11:42	Q:\	NMP_20190804_MF-36_BRUV.EMObs
NMP_20190804_MF-37_BRUV	1.09	2024 05 07 14:11:42	E:\04-08-2019\	NMP_20190804_MF-37_BRUV.EMObs
NMP_20190804_MF-38_BRUV	1.09	2024 05 07 14:11:42	E:\04-08-2019\	NMP_20190804_MF-38_BRUV.EMObs
NMP_20190804_MF-39_BRUV	1.09	2024 05 07 14:11:42	E:\04-08-2019\	NMP_20190804_MF-39_BRUV.EMObs
NMP_20190804_MF-40_BRUV	1.09	2024 05 07 14:11:42	E:\04-08-2019\	NMP_20190804_MF-40_BRUV.EMObs
NMP_20190804_MS-41_BRUV	1.09	2024 05 07 14:11:42	E:\04-08-2019\	NMP_20190804_MS-41_BRUV.EMObs
NMP_20190804_MS-42_BRUV	1.09	2024 05 07 14:11:42	Q:\	NMP_20190804_MS-42_BRUV.EMObs
NMP_20190804_MS-43_BRUV	1.09	2024 05 07 14:11:42	G:\NIN_2019-08_BRUV\BRUV_RAW_HD1\04-08-2019\	NMP_20190804_MS-43_BRUV.EMObs
NMP_20190804_MS-44_BRUV	1.09	2024 05 07 14:11:42	F:\NIN_2019-08_BRUV\BRUV_RAW_HD1\04-08-2019\	NMP_20190804_MS-44_BRUV.EMObs
NMP_20190804_MS-45_BRUV	1.09	2024 05 07 14:11:42	E:\04-08-2019\	NMP_20190804_MS-45_BRUV.EMObs
