"sample","latitude","longitude","date","time","site","location","successful.count","fov.Facing Down","fov.Limited","fov.Open","mean.relief","sd.relief","broad.Consolidated","broad.Macroalgae","broad.Sponges","broad.Stony corals","broad.Unconsolidated"
"NF_012",-29.02187462,167.9914701,20210722,10:22:00,"Norfolk Island","Norfolk Island","Yes",0,0,100,2.4,0.736788397613007,0,0,0,100,0
"NF_021",-29.02502827,168.0054615,20210722,09:13:00,"Norfolk Island","Norfolk Island","Yes",0,0,100,1.33333333333333,0.487950036474267,0,0,0,100,0
"NF_026",-29.01883271,168.00127,20210722,09:01:00,"Norfolk Island","Norfolk Island","No",0,95,5,1,0,0,0,0,100,0
"NF_030",-29.04301506,167.997305,20210721,14:55:00,"Norfolk Island","Norfolk Island","Yes",0,0,100,1.58333333333333,1.56427928995103,8.33333333333333,0,0,50,41.6666666666667
"NF_031",-29.06692896,167.9538577,20210723,15:18:00,"Norfolk Island","Norfolk Island","Yes",0,0,100,0,0,0,0,0,0,100
"NF_047",-29.11103063,167.9388332,20210723,13:18:00,"Norfolk Island","Norfolk Island","Yes",0,100,0,1,0,0,0,0,100,0
"NF_057",-29.11611574,167.9395172,20210723,13:25:00,"Norfolk Island","Norfolk Island","Yes",0,0,100,0.916666666666667,0.514928650544437,0,0,0,100,0
"NF_058",-29.0242426,168.000795,20210722,08:39:00,"Norfolk Island","Norfolk Island","Yes",0,90,10,1.88888888888889,1.4507153971054,11.1111111111111,5.55555555555556,0,50,33.3333333333333
"NF_067",-29.12297337,167.9350899,20210723,13:55:00,"Norfolk Island","Norfolk Island","Yes",0,0,100,1,0,0,0,0,100,0
"NF_073",-29.06802416,167.9503932,20210723,15:06:00,"Norfolk Island","Norfolk Island","Yes",100,0,0,1.65,1.03998987849326,40,0,0,40,20
"NF_074",-29.02780838,168.0007393,20210721,15:53:00,"Norfolk Island","Norfolk Island","No",0,0,100,0.769230769230769,1.01273936708367,0,0,0,53.8461538461538,46.1538461538462
