Sample,Family,Genus,Species,Count
2018_CASS3_5,Chaetodontidae,Heniochus,acuminatus,1
2018_CONIS_2,Chaetodontidae,Heniochus,acuminatus,2
2018_CONIS_3,Chaetodontidae,Heniochus,acuminatus,1
2018_GIBPT1_2,Chaetodontidae,Heniochus,acuminatus,1
2018_GIBPT1_6,Chaetodontidae,Heniochus,acuminatus,2
2018_GIBS1_4,Chaetodontidae,Heniochus,acuminatus,1
2018_HATP1_1,Chaetodontidae,Heniochus,acuminatus,1
2018_HATP1_2,Chaetodontidae,Heniochus,acuminatus,1
2018_LAF2_3,Chaetodontidae,Heniochus,acuminatus,1
2018_LGSE2_3,Chaetodontidae,Heniochus,acuminatus,1
2018_LGSE2_4,Chaetodontidae,Heniochus,acuminatus,5
2018_LGSE2_5,Chaetodontidae,Heniochus,acuminatus,2
2018_LGSE3_1,Chaetodontidae,Heniochus,acuminatus,1
2018_LGSE3_5,Chaetodontidae,Heniochus,acuminatus,2
2018_NMAR_3,Chaetodontidae,Heniochus,acuminatus,1
2018_NROB_5,Chaetodontidae,Heniochus,acuminatus,2
2018_SBRO_6,Chaetodontidae,Heniochus,acuminatus,1
2018_SMAR_5,Chaetodontidae,Heniochus,acuminatus,1
2018_SROB_1,Chaetodontidae,Heniochus,acuminatus,1
2018_SROB_3,Chaetodontidae,Heniochus,acuminatus,2
2018_SROB_5,Chaetodontidae,Heniochus,acuminatus,1
2018a_CAPEB1_1,Chaetodontidae,Heniochus,acuminatus,1
2018a_EHR1_6,Chaetodontidae,Heniochus,acuminatus,1
2018a_EHR4_4,Chaetodontidae,Heniochus,acuminatus,2
2018a_FRESHB1_1,Chaetodontidae,Heniochus,acuminatus,2
2018a_WHR1_2,Chaetodontidae,Heniochus,acuminatus,2
2018a_WHR1_3,Chaetodontidae,Heniochus,acuminatus,1
2018_WMNE_1,Chaetodontidae,Heniochus,acuminatus,1
2018_CONIS_5,Carcharhinidae,Negaprion,acutidens,1
2018_LAPW1_2,Carcharhinidae,Negaprion,acutidens,1
2018_LGSE2_1,Carcharhinidae,Negaprion,acutidens,1
2018_NROB_2,Carcharhinidae,Negaprion,acutidens,1
2018_RANSE_6,Carcharhinidae,Negaprion,acutidens,1
2018_WMNE_6,Carcharhinidae,Negaprion,acutidens,1
2018a_EHR1_2,Carcharhinidae,Negaprion,acutidens,1
2018a_EHR1_6,Carcharhinidae,Negaprion,acutidens,1
2018a_EHR2_1,Carcharhinidae,Negaprion,acutidens,1
2018a_EHR3_1,Carcharhinidae,Negaprion,acutidens,1
2018a_EHR3_2,Carcharhinidae,Negaprion,acutidens,1
2018_LAF1_1,Pomacentridae,Pomacentrus,adelus,1
2018_RANSE_1,Pomacentridae,Pomacentrus,adelus,1
2018_RANSE_2,Pomacentridae,Pomacentrus,adelus,1
2018_WMNE_2,Pomacentridae,Pomacentrus,adelus,3
2018_CASS3_4,Chaetodontidae,Chaetodon,adiergastos,4
2018_FENW1_1,Chaetodontidae,Chaetodon,adiergastos,1
2018_LAF1_1,Chaetodontidae,Chaetodon,adiergastos,4
2018_LAPW1_2,Chaetodontidae,Chaetodon,adiergastos,1
2018_LAPW1_3,Chaetodontidae,Chaetodon,adiergastos,4
2018_LAPW1_4,Chaetodontidae,Chaetodon,adiergastos,1
2018_LGSE2_3,Chaetodontidae,Chaetodon,adiergastos,1
2018_LGSE3_5,Chaetodontidae,Chaetodon,adiergastos,1
2018_NBRO_2,Chaetodontidae,Chaetodon,adiergastos,2
2018_SBRO_1,Chaetodontidae,Chaetodon,adiergastos,2
2018_SBRO_5,Chaetodontidae,Chaetodon,adiergastos,1
2018a_CAPEB1_1,Chaetodontidae,Chaetodon,adiergastos,1
2018a_EHR1_6,Chaetodontidae,Chaetodon,adiergastos,1
2018a_EHR2_5,Chaetodontidae,Chaetodon,adiergastos,1
2018a_EHR3_3,Chaetodontidae,Chaetodon,adiergastos,1
2018a_WHR1_2,Chaetodontidae,Chaetodon,adiergastos,2
2018_LGSE2_4,Nemipteridae,Scolopsis,affinis,1
2018_FENW1_4,Pomacentridae,Neopomacentrus,aktites,4
2018_GIBS1_2,Pomacentridae,Neopomacentrus,aktites,1
2018_HATP1_4,Pomacentridae,Neopomacentrus,aktites,3
2018_HATP1_5,Pomacentridae,Neopomacentrus,aktites,1
2018_LAPW1_3,Pomacentridae,Neopomacentrus,aktites,11
