"Sample","Latitude","Longitude","Date","Time","Site","Location","Status","Depth","Successful.count","Successful.length","Observer","OpcodeCam","Timeonseabed","Endsamplingtime","Timebaitgone","Visibility","cruisenum","CampaignID"
11162,-12.37846,143.76244,20161118,14:17:00,NA,"Lagoon Reef","Fished",9.4,"Yes","No","Mike Cappo","2016_LKHL_002 1",3.98333,65.93333,NA,8,"121","Northern GBR 2016"
11181,-12.31589,143.85782,20161115,14:55:00,NA,"Mantis Reef","No-take",14,"Yes","No","Mike Cappo","2016_LKHM_008 1",8.56666,69.1,NA,8,"121","Northern GBR 2016"
11169,-12.3872,143.74161,20161119,09:56:00,NA,"Lagoon Reef","Fished",38.5,"Yes","No","Mike Cappo","2016_LKHL_017 1",9.45,69.86667,NA,10,"121","Northern GBR 2016"
11200,-13.89875,144.20015,20161123,14:18:00,NA,"Corbett Reef","No-take",15.9,"Yes","No","Mike Cappo","2016_PCBC_007 1",6.51666,65.95,NA,3,"121","Northern GBR 2016"
11201,-13.89759,144.21379,20161123,14:56:00,NA,"Corbett Reef","No-take",8.1,"Yes","No","Mike Cappo","2016_PCBC_008 1",6,66.06667,NA,6,"121","Northern GBR 2016"
11210,-13.9084,144.21994,20161125,11:02:00,NA,"Corbett Reef","No-take",5,"Yes","No","Mike Cappo","2016_PCBC_040 1",5,67.21667,NA,2,"121","Northern GBR 2016"
11170,-12.38711,143.74643,20161119,10:25:00,NA,"Lagoon Reef","Fished",10.5,"Yes","No","Mike Cappo","2016_LKHL_018 1",12.23333,72.7,NA,10,"121","Northern GBR 2016"
11172,-12.37921,143.7652,20161119,15:26:00,NA,"Lagoon Reef","Fished",16.3,"Yes","No","Mike Cappo","2016_LKHL_022 1",3.55,65.23333,NA,6,"121","Northern GBR 2016"
11173,-12.36841,143.76898,20161119,14:33:00,NA,"Lagoon Reef","Fished",7.8,"Yes","No","Mike Cappo","2016_LKHL_023 1",3.6,63.96667,NA,10,"121","Northern GBR 2016"
11175,-12.37414,143.76013,20161119,14:52:00,NA,"Lagoon Reef","Fished",17.8,"Yes","No","Mike Cappo","2016_LKHL_025 1",2.53333,63.05,NA,8,"121","Northern GBR 2016"
11182,-12.31478,143.87224,20161115,15:51:00,NA,"Mantis Reef","No-take",11.2,"Yes","No","Mike Cappo","2016_LKHM_010 1",2.96666,63.78333,NA,2,"121","Northern GBR 2016"
11190,-13.87032,144.09676,20161121,09:53:00,NA,"13-124","Fished",14.7,"Yes","No","Mike Cappo","2016_PCB1_009 1",4.58333,64.98333,NA,3,"121","Northern GBR 2016"
11194,-13.85569,144.0657,20161122,08:19:00,NA,"13-124","Fished",10.8,"Yes","No","Mike Cappo","2016_PCB1_027 1",3.2,63.35,NA,6,"121","Northern GBR 2016"
11198,-13.87362,144.07019,20161122,14:17:00,NA,"13-124","Fished",10.1,"Yes","No","Mike Cappo","2016_PCB1_039 1",4.83333,65.78333,NA,3,"121","Northern GBR 2016"
11202,-13.90317,144.20719,20161123,16:28:00,NA,"Corbett Reef","No-take",10.4,"Yes","No","Mike Cappo","2016_PCBC_012 1",11.66667,72.11667,NA,4,"121","Northern GBR 2016"
11203,-13.89732,144.20439,20161123,16:09:00,NA,"Corbett Reef","No-take",9,"Yes","No","Mike Cappo","2016_PCBC_013 1",2.86666,63.68333,NA,2,"121","Northern GBR 2016"
11209,-13.88866,144.22406,20161125,16:30:00,NA,"Corbett Reef","No-take",8.3,"Yes","No","Mike Cappo","2016_PCBC_035 1",6.48333,66.48333,NA,10,"121","Northern GBR 2016"
11165,-12.37293,143.76073,20161118,15:20:00,NA,"Lagoon Reef","Fished",19,"Yes","No","Mike Cappo","2016_LKHL_006 1",12.1,15.48333,NA,4,"121","Northern GBR 2016"
11192,-13.86329,144.0694,20161121,17:00:00,NA,"13-124","Fished",14.2,"Yes","No","Mike Cappo","2016_PCB1_024 1",3.7,64.11667,NA,6,"121","Northern GBR 2016"
11193,-13.85285,144.06729,20161122,08:09:00,NA,"13-124","Fished",10.2,"Yes","No","Mike Cappo","2016_PCB1_026 1",3.58333,64.2,NA,6,"121","Northern GBR 2016"
11205,-13.8988,144.2412,20161124,08:46:00,NA,"Corbett Reef","No-take",26.9,"Yes","No","Mike Cappo","2016_PCBC_016 1",5.4,66.9,NA,8,"121","Northern GBR 2016"
11207,-13.89491,144.22961,20161124,11:12:00,NA,"Corbett Reef","No-take",4.1,"Yes","No","Mike Cappo","2016_PCBC_021 1",5.4,66.91666,NA,10,"121","Northern GBR 2016"
11208,-13.89444,144.23552,20161125,14:23:00,NA,"Corbett Reef","No-take",14,"Yes","No","Mike Cappo","2016_PCBC_028 1",6.78333,67.33334,NA,9,"121","Northern GBR 2016"
11167,-12.39317,143.74565,20161119,09:07:00,NA,"Lagoon Reef","Fished",9.2,"Yes","No","Mike Cappo","2016_LKHL_015 1",3.11666,65.93333,NA,9,"121","Northern GBR 2016"
11168,-12.39327,143.74033,20161119,09:34:00,NA,"Lagoon Reef","Fished",11.5,"Yes","No","Mike Cappo","2016_LKHL_016 1",6.68333,67.05,NA,10,"121","Northern GBR 2016"
11179,-12.32235,143.86151,20161115,13:29:00,NA,"Mantis Reef","No-take",13.5,"Yes","No","Mike Cappo","2016_LKHM_004 1",5.98333,66.18333,NA,9,"121","Northern GBR 2016"
11185,-12.26697,143.91925,20161116,15:34:00,NA,"Mantis Reef","No-take",14.6,"Yes","No","Mike Cappo","2016_LKHM_030 1",6,69.75,NA,5,"121","Northern GBR 2016"
11195,-13.85407,144.06584,20161122,10:06:00,NA,"13-124","Fished",9.5,"Yes","No","Mike Cappo","2016_PCB1_033 1",10.13333,70.66666,NA,3,"121","Northern GBR 2016"
11204,-13.90954,144.23775,20161124,08:25:00,NA,"Corbett Reef","No-take",5,"Yes","No","Mike Cappo","2016_PCBC_015 1",6.56666,66.11667,NA,5,"121","Northern GBR 2016"
11211,-13.93725,144.18689,20161125,14:49:00,NA,"Corbett Reef","No-take",3.6,"Yes","No","Mike Cappo","2016_PCBC_047 1",7.55,67.76667,NA,6,"121","Northern GBR 2016"
11163,-12.38103,143.75473,20161118,14:45:00,NA,"Lagoon Reef","Fished",19.5,"Yes","No","Mike Cappo","2016_LKHL_004 1",5.11666,65.38333,NA,12,"121","Northern GBR 2016"
11174,-12.37065,143.76328,20161119,14:42:00,NA,"Lagoon Reef","Fished",26.7,"Yes","No","Mike Cappo","2016_LKHL_024 1",4.46666,65.05,NA,4,"121","Northern GBR 2016"
11176,-12.38314,143.76285,20161119,15:15:00,NA,"Lagoon Reef","Fished",11.7,"Yes","No","Mike Cappo","2016_LKHL_027 1",3.2,63.81667,NA,10,"121","Northern GBR 2016"
11177,-12.32514,143.8535,20161115,13:06:00,NA,"Mantis Reef","No-take",26.5,"Yes","No","Mike Cappo","2016_LKHM_002 1",8.71666,69.31667,NA,10,"121","Northern GBR 2016"
11178,-12.32168,143.85667,20161115,13:15:00,NA,"Mantis Reef","No-take",12.8,"Yes","No","Mike Cappo","2016_LKHM_003 1",3.91666,65.45,NA,6,"121","Northern GBR 2016"
11183,-12.31765,143.87589,20161115,15:59:00,NA,"Mantis Reef","No-take",5.5,"Yes","No","Mike Cappo","2016_LKHM_011 1",3.16666,63.71667,NA,7,"121","Northern GBR 2016"
11164,-12.3778,143.75801,20161118,14:54:00,NA,"Lagoon Reef","Fished",11.3,"Yes","No","Mike Cappo","2016_LKHL_005 1",2.83333,64.11667,NA,10,"121","Northern GBR 2016"
11188,-12.25134,143.92136,20161118,07:35:00,NA,"Mantis Reef","No-take",27,"Yes","No","Mike Cappo","2016_LKHM_034 1",17.36667,77.81667,NA,10,"121","Northern GBR 2016"
11196,-13.86133,144.06853,20161122,10:38:00,NA,"13-124","Fished",5.7,"Yes","No","Mike Cappo","2016_PCB1_035 1",5.93333,66.2,NA,6,"121","Northern GBR 2016"
11197,-13.86325,144.06567,20161122,12:20:00,NA,"13-124","Fished",26.5,"Yes","No","Mike Cappo","2016_PCB1_037 1",4.95,65.43333,NA,4,"121","Northern GBR 2016"
11199,-13.89792,144.20885,20161123,13:35:00,NA,"Corbett Reef","No-take",2.8,"Yes","No","Mike Cappo","2016_PCBC_002 1",14.51667,75.56667,51.26667,6,"121","Northern GBR 2016"
11166,-12.38956,143.75002,20161119,08:57:00,NA,"Lagoon Reef","Fished",3.7,"Yes","No","Mike Cappo","2016_LKHL_014 1",8.06666,68.68333,NA,13,"121","Northern GBR 2016"
11171,-12.38628,143.74934,20161119,10:40:00,NA,"Lagoon Reef","Fished",13.1,"Yes","No","Mike Cappo","2016_LKHL_019 1",5.16666,65.31667,NA,10,"121","Northern GBR 2016"
11180,-12.320002,143.86539,20161115,14:02:00,NA,"Mantis Reef","No-take",9.8,"Yes","No","Mike Cappo","2016_LKHM_007 1",5.8,66.05,NA,7,"121","Northern GBR 2016"
11184,-12.29925,143.88213,20161116,07:44:00,NA,"Mantis Reef","No-take",14.7,"Yes","No","Mike Cappo","2016_LKHM_016 1",9.38333,69.7,NA,7,"121","Northern GBR 2016"
11186,-12.26029,143.92126,20161116,16:00:00,NA,"Mantis Reef","No-take",16.7,"Yes","No","Mike Cappo","2016_LKHM_031 1",20.35,82.21667,NA,8,"121","Northern GBR 2016"
11187,-12.25498,143.9231,20161116,16:15:00,NA,"Mantis Reef","No-take",9.1,"Yes","No","Mike Cappo","2016_LKHM_032 1",8.18333,68.55,NA,6,"121","Northern GBR 2016"
11189,-12.26208,143.92028,20161118,07:49:00,NA,"Mantis Reef","No-take",25,"Yes","No","Mike Cappo","2016_LKHM_036 1",19.76667,81.38333,NA,6,"121","Northern GBR 2016"
11191,-13.85077,144.06979,20161121,16:26:00,NA,"13-124","Fished",16.3,"Yes","No","Mike Cappo","2016_PCB1_022 1",4.15,64.95,NA,5,"121","Northern GBR 2016"
11206,-13.91003,144.24091,20161124,10:05:00,NA,"Corbett Reef","No-take",15.2,"Yes","No","Mike Cappo","2016_PCBC_018 1",6.96666,67.73333,NA,8,"121","Northern GBR 2016"
