site..,"Relief: 0. Flat substrate, sandy, rubble with few features. ~0 substrate slope.",Relief: 1. Some relief features amongst mostly flat substrate/sand/rubble. <45 degree substrate slope.,Relief: 2. Mostly relief features amongst some flat substrate or rubble. ~45 substrate slope.,Relief: 3. Good relief structure with some overhangs. >45 substrate slope.,fieldofview.Facing Down,fieldofview.Limited,fieldofview.Open,Biota: Invertebrate.complex,Biota: Macroalgae,Biota: Unconsolidated
AD_01,0,20,0,0,20,0,0,0,20,0
AD_02,0,10,0,0,0,2,18,0,10,0
AD_03,0,7,0,0,0,0,20,0,7,0
AD_05,0,0,0,15,0,12,8,0,15,0
AD_06,0,12,0,0,0,0,20,5,3,4
AD_07,0,0,0,13,0,2,18,0,13,0
AD_08,0,0,10,0,0,2,18,0,10,0
AD_09,0,0,1,0,0,20,0,0,1,0
AD_10,0,5,0,0,0,15,5,0,5,0
AD_11,0,10,0,0,0,2,18,5,5,0
AD_12,0,10,0,0,0,1,19,0,0,10
AD_13,5,5,0,0,0,1,19,0,5,5
AD_14,0,10,0,0,0,3,17,4,4,2
AD_15,0,5,0,0,0,1,19,0,5,0
AD_16,3,11,0,0,0,3,17,7,4,3
AD_17,0,5,0,0,0,7,13,0,5,0
AD_18,0,0,9,0,0,1,19,0,9,0
AD_19,5,0,0,0,0,4,16,0,0,5
AD_20,4,6,0,0,0,4,16,0,6,4
AD_21,0,11,4,0,0,1,19,7,8,0
AD_22,0,3,0,0,0,5,15,0,3,0
AD_23,0,7,0,0,0,1,19,0,7,0
AD_25,0,0,11,0,0,1,19,0,11,0
AD_26,0,13,0,0,0,2,18,0,13,0
AD_27,0,10,0,0,0,0,20,0,10,0
AD_28,0,0,0,10,0,2,18,0,10,0
AD_29,2,0,0,15,0,2,18,0,15,2
AD_30,0,8,0,0,0,3,17,0,8,0
AD_31,0,0,13,0,0,8,11,0,13,0
AD_32,0,5,10,0,0,8,12,0,15,0
AD_33,0,0,3,0,0,0,20,0,3,0
AD_34,0,0,15,0,0,1,19,0,15,0
AD_35,0,0,4,0,0,3,17,0,4,0
AD_36,0,3,2,0,0,1,19,0,5,0
AD_37,0,0,10,0,0,4,16,0,10,0
AD_38,0,7,3,0,0,3,17,0,10,0
AD_39,0,2,0,0,0,8,12,0,2,0
AD_40,0,10,0,0,0,1,19,1,9,0
AD_41,0,10,0,0,0,3,17,1,9,0
AD_42,5,4,1,0,0,1,19,0,5,5
AD_43,0,5,0,0,0,1,19,5,0,0
AD_44,0,10,0,0,0,2,18,7,3,0
AD_45,0,0,8,0,0,1,19,0,8,0
AD_46,0,15,0,0,0,1,19,0,15,0
AD_47,0,0,10,0,0,1,19,0,10,0
AD_48,0,10,0,0,0,1,19,8,0,2
AD_50,0,10,0,0,0,4,16,0,10,0
AD_51,2,1,0,0,0,7,13,0,1,2
AD_52,0,0,10,0,0,2,18,0,10,0
AD_53,0,0,15,0,0,0,20,0,15,0
AD_54,2,8,0,0,0,1,19,8,0,2
AD_55,9,1,0,0,0,2,18,0,1,9
AD_57,10,0,0,0,0,2,18,0,0,10
AD_58,0,0,10,0,0,0,20,10,0,0
AD_59,10,0,0,0,0,2,18,0,0,10
AD_60,5,0,0,0,0,7,13,0,0,5
AD_61,10,0,0,0,0,2,18,0,0,10
AD_63,0,5,0,0,0,5,15,5,0,0
AD_65,2,12,0,0,0,2,18,12,0,2
AD_67,0,10,0,0,0,5,15,0,0,10
AD_68,0,9,0,0,0,3,17,0,0,9
AD_71,10,0,0,0,0,2,15,0,0,10
AD_72,7,3,0,0,0,2,18,10,0,0
AD_73,7,2,0,0,0,3,17,2,0,7
AD_74,10,0,0,0,0,1,19,0,0,10
AD_75,5,0,4,3,0,1,19,7,0,5
AD_78,5,0,0,0,0,7,13,0,0,5
AD_79,0,9,0,0,0,2,18,0,0,9
AD_81,0,10,0,0,0,2,18,0,10,0
AD_83,0,10,0,0,0,2,18,0,0,10
AD_84,0,10,0,0,0,1,19,1,6,3
AD_87,10,0,0,0,0,1,19,0,0,10
AD_88,0,6,0,0,0,1,19,0,6,0
