OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
AD12	0	0	571.26023	465.78731	546.16789	450.83955
AD12	0	1	757.61910	420.45149	724.97167	417.59328
AD12	1	0	1696.36936	696.69776	1540.68940	779.89179
AD12	1	1	1853.51522	805.99254	1683.22875	916.40299
AD12	2	0	1508.82581	634.16418	1344.58657	689.18657
AD12	2	1	1684.10388	606.96269	1502.23610	682.63806
AD12	3	0	1567.25603	653.21642	1449.33683	719.07463
AD12	3	1	1712.31375	587.22761	1586.33578	654.59701
AD12	4	0	928.77230	824.10448	751.47954	818.05970
AD12	4	1	1841.42707	628.65672	1907.91186	733.43284
AD12	5	0	803.86149	523.88060	840.12592	525.89552
AD12	5	1	1549.29696	546.04478	1615.78174	604.47761
AD12	6	0	1404.26758	643.27612	1218.88772	695.14925
AD12	6	1	1701.43442	633.20149	1573.47324	703.20896
AD12	7	0	1670.17838	985.29851	1374.01889	1073.95522
AD12	7	1	1909.92655	858.35821	1668.16369	967.16418
AD12	8	0	1003.31584	1067.91045	715.21511	1065.89552
AD12	8	1	1196.72613	1005.44776	946.90451	1025.59701
AD12	9	0	1427.92655	798.21642	1439.82371	866.80224
AD12	9	1	926.69675	782.60075	933.49108	795.72761
AD12	10	0	1355.88667	618.58209	1003.31584	660.89552
AD12	10	1	1915.97062	745.52239	1746.73662	856.34328
AD12	11	0	1007.55089	676.51119	1093.01049	694.95522
AD12	11	1	1345.51522	684.57090	1450.11438	746.83955
AD12	12	0	613.43652	358.05970	377.01049	340.22015
AD12	12	1	879.37566	413.47015	666.62225	408.72761
AD12	13	0	902.78594	445.01493	800.38825	449.90299
AD12	13	1	1093.17419	471.71269	992.79119	480.12687
AD12	14	0	1492.88562	681.04478	1283.35782	755.59701
AD12	14	1	1799.11857	602.46269	1611.75236	683.05970
AD12	15	0	1528.66107	373.17164	1216.02833	410.03731
AD12	15	1	1767.40189	354.02985	1463.83526	397.44403
AD12	16	0	1089.94753	769.70149	886.46380	749.55224
AD12	16	1	1265.22560	656.86567	1039.58027	687.08955
AD12	17	0	1543.40294	774.95522	1172.54984	836.19403
AD12	17	1	1717.16999	739.69403	1422.37146	820.07463
AD12	18	0	1721.55299	659.27985	1632.40294	738.42537
AD12	18	1	1884.23924	720.73507	1799.11857	831.61567
AD12	19	0	503.78594	460.15672	452.11647	439.60821
AD12	19	1	728.42392	410.28731	681.79119	403.33955
AD12	20	0	1350.21196	364.89179	1178.41448	401.05597
AD12	20	1	1566.79119	249.53731	1412.11857	278.64925
AD12	21	0	1607.72298	388.88060	1361.93075	439.25373
AD12	21	1	1913.95593	342.53731	1601.67891	388.88060
AD12	22	0	1582.03568	640.44403	1251.12277	677.01493
AD12	22	1	1888.26863	580.50000	1557.35572	654.85075
AD12	23	0	1480.79748	660.89552	991.22770	699.17910
AD12	23	1	1861.57398	501.71642	1287.38720	546.04478
AD12	24	0	1062.42183	485.96642	754.64218	497.77239
AD12	24	1	1247.77335	349.45522	995.90136	362.26866
AD12	25	0	862.68311	527.68657	483.04722	504.85075
AD12	25	1	1155.82057	591.66045	763.59286	599.55224
AD12	26	0	850.20881	697.73507	679.37775	688.66791
AD12	26	1	1089.45331	637.79104	934.23610	657.43657
AD12	27	0	1223.36306	642.73134	830.74187	653.88433
AD12	27	1	1518.51522	497.15299	1149.06296	528.45522
AD12	28	0	1291.60546	356.53358	1136.51731	375.75000
AD12	28	1	1538.40504	280.47015	1435.69885	297.67164
AD12	29	0	1426.40084	155.14925	390.84995	128.95522
AD12	29	1	1889.77964	191.41791	902.58132	217.61194
AD12	30	0	1602.81847	522.03731	1489.05037	580.28358
AD12	30	1	1794.21406	515.99254	1674.90556	591.36567
AD12	31	0	886.29696	907.14552	602.68311	881.98881
AD12	31	1	1156.26548	826.54851	881.21406	843.70522
AD12	32	0	1251.59496	350.90672	1106.54040	373.55970
AD12	32	1	1577.97482	277.86567	1421.83945	307.06716
AD12	33	0	1639.95803	422.25373	1323.65163	461.41791
AD12	33	1	1915.97062	298.20896	1561.38510	326.41791
AD12	34	0	1631.89927	437.23881	950.93389	465.44776
AD12	34	1	1913.95593	292.16418	1307.53410	330.44776
AD12	35	0	822.96537	456.08209	660.95803	448.72015
AD12	35	1	974.57083	441.97761	836.23610	448.21642
AD18	0	0	537.73872	3.52612	201.26758	11.58582
AD18	0	1	949.74292	4.53358	592.31899	10.07463
AD18	1	0	273.99790	68.50746	0.00000	62.46269
AD18	1	1	616.49528	2.01493	336.45331	0.00000
AD18	2	0	273.11647	654.68657	151.60546	592.32463
AD18	2	1	463.00105	728.73507	307.24029	675.44030
AD18	3	0	1085.86988	299.11194	1058.24134	311.17164
AD18	3	1	1219.34313	279.46642	1186.17419	300.08955
AD18	4	0	627.45435	544.76493	710.98741	536.60075
AD18	4	1	708.04197	519.07463	787.54565	515.94776
AD18	5	0	961.92130	677.58582	844.80378	678.13433
AD18	5	1	1079.27702	637.28731	973.74397	652.44403
AD18	6	0	1136.03148	159.99254	1257.38825	177.48881
AD18	6	1	1231.22560	178.63060	1358.62644	198.14179
AD18	7	0	750.33683	486.00746	751.35887	482.54104
AD18	7	1	883.81007	468.88060	867.20357	473.47388
AD18	8	0	834.15320	548.53358	859.36306	549.19403
AD18	8	1	1003.38720	537.95522	1034.13746	550.20149
AD18	9	0	706.32214	559.89552	728.26023	555.86567
AD18	9	1	883.61490	547.80597	910.08604	550.82836
AD18	10	0	887.96957	534.24627	947.50997	543.86194
AD18	10	1	1072.31375	461.20522	1130.84680	483.91791
AD18	11	0	81.09129	852.99254	0.50367	747.65299
AD18	11	1	312.27702	777.43284	222.62329	708.36194
AD18	12	0	1460.93284	569.38806	1352.61280	617.35075
AD18	12	1	1660.38720	498.36194	1608.47849	557.91045
AD18	13	0	291.24449	670.14925	341.94334	618.45896
AD18	13	1	437.81322	683.24627	458.79538	642.13433
AD18	14	0	1047.41763	677.08209	1021.32949	696.66045
AD18	14	1	1165.78069	639.80597	1149.76600	668.45149
AD18	15	0	953.68625	357.69030	1022.82581	368.60821
AD18	15	1	1157.67366	332.50373	1228.82791	356.51866
AD18	16	0	931.34418	779.41791	779.70829	772.15672
AD18	16	1	1167.56663	675.14552	1023.48583	702.64179
AD18	17	0	1198.54669	588.10448	1186.81217	620.41418
AD18	17	1	1470.52991	597.17164	1470.88353	648.62313
AD18	18	0	1136.61280	232.83955	1104.00735	248.24627
AD18	18	1	1498.17419	148.37687	1472.19203	169.66418
AD18	19	0	1285.37251	963.13433	803.86149	975.22388
AD18	19	1	1631.89927	729.40299	1140.31480	779.77612
AD18	20	0	845.88562	969.17910	476.27492	935.42910
AD18	20	1	1149.09654	995.37313	716.02308	986.30597
AD18	21	0	1575.48793	1037.68657	1122.18258	1077.98507
AD18	21	1	1877.69150	969.17910	1422.37146	1073.95522
AD18	22	0	727.30325	1007.46269	563.06821	970.26866
AD18	22	1	797.81742	930.89552	647.18153	898.73881
AD18	23	0	318.32109	957.08955	78.57293	856.34328
AD18	23	1	1406.25393	612.53731	1374.01889	662.91045
AD18	24	0	1136.02833	699.42537	1109.24554	732.91045
AD18	24	1	1354.62225	552.83955	1384.75446	597.40672
AD18	25	0	866.73033	720.72015	306.71249	667.41418
AD18	25	1	1230.97587	421.11940	656.26128	418.06716
