OpCode	TapeReader	Depth	Comment	Info5Name	Info5Value	Info6Name	Info6Value	Info7Name	Info7Value	Info8Name	Info8Value	Info9Name	Info9Value	Info10Name	Info10Value	Info11Name	Info11Value	Info12Name	Info12Value
AD12	Sam Wines	27.6	Nice Rhodolith drop w/ lots of snapper and agro gummys	Latitude	-38.403643	Longitude	144.267284	Date	2018-03-07	Time	917	MPAStatus	NoTake	Site	Point Addis MNP	Year	2018	Spare	
AD18	Sam Wines	24.1	Macroalgae, not the greatest viz. Huge diveristy	Latitude	-38.42504471	Longitude	144.217496	Date	2018-03-07	Time	1429	MPAStatus	NoTake	Site	Point Addis MNP	Year	2018	Spare	
AD33	Sam Wines	6.9	Kingies!, Poor Viz, lots of salps, macroalgae	Latitude	-38.40984	Longitude	144.23142	Date	2018-03-08	Time	1306	MPAStatus	NoTake	Site	Point Addis MNP	Year	2018	Spare	
AD37	Sam Wines	12.1	Poor viz, eagle ray	Latitude	-38.38177895	Longitude	144.2744604	Date	2018-03-08	Time	1445	MPAStatus	NoTake	Site	Point Addis MNP	Year	2018	Spare	
AD41	Sam Wines	26.8	No 173 Camera. Good viz. Mixed. Wobbegong	Latitude	-38.41993729	Longitude	144.23745	Date	2018-03-07	Time	1248	MPAStatus	NoTake	Site	Point Addis MNP	Year	2018	Spare	
AD06	Sam Wines	27.9	Nice Transition drop w/ mixed inverts and some algae	Latitude	-38.41403037	Longitude	144.2552518	Date	2018-03-07	Time	1102	MPAStatus	NoTake	Site	Point Addis MNP	Year	2018	Spare	
AD67	Sam Wines	35.3	Poor viz, Dark, Rhodoliths	Latitude	-38.42322154	Longitude	144.2505708	Date	2018-04-09	Time	1554	MPAStatus	NoTake	Site	Point Addis MNP	Year	2018	Spare	
AD74	Sam Wines	43.5	Sand, 3 species	Latitude	-38.46420859	Longitude	144.1965273	Date	2018-03-07	Time	1618	MPAStatus	Fished	Site	Point Addis	Year	2018	Spare	
AD81	Sam Wines	29.5	Heaps of fish, 15 species	Latitude	-38.46055032	Longitude	144.1781066	Date	2018-04-09	Time	1357	MPAStatus	Fished	Site	Point Addis	Year	2018	Spare	
AD84	Sam Wines	30.4	Reasonable viz, ~ 10 sp, Mixed sparse inverts and macroalgae	Latitude	-38.47239535	Longitude	144.1360771	Date	2018-04-09	Time	1208	MPAStatus	Fished	Site	Point Addis	Year	2018	Spare	
AD87	Sam Wines	26.3	Thresher, Kingies, 2.4m Wobbegong, No tail eagle ray	Latitude	-38.43415808	Longitude	144.2062223	Date	2018-03-08	Time	1133	MPAStatus	Fished	Site	Point Addis	Year	2018	Spare	
AD09	Sam Wines	18.1	Green water, lots of snapper and caesioperca, baby gummy?	Latitude	-38.34523554	Longitude	144.3425393	Date	2018-03-08	Time	1622	MPAStatus	Fished	Site	Point Addis	Year	2018	Spare	
AD13	Sam Wines	28.7	Good viz, No tail eagle ray	Latitude	-38.432258	Longitude	144.212661	Date	2018-03-07	Time	1439	MPAStatus	NoTake	Site	Point Addis MNP	Year	2018	Spare	
AD14	Sam Wines	21.9	Reasonable viz, Mixed benthos, Not many fish	Latitude	-38.404027	Longitude	144.2557	Date	2018-03-07	Time	1112	MPAStatus	NoTake	Site	Point Addis MNP	Year	2018	Spare	
AD20	Sam Wines	30.7	Bronze whaler	Latitude	-38.39554809	Longitude	144.2821979	Date	2018-03-07	Time	908	MPAStatus	NoTake	Site	Point Addis MNP	Year	2018	Spare	
AD27	Sam Wines	6.6	15~ sp, reasonable viz	Latitude	-38.32852623	Longitude	144.3577025	Date	2018-03-08	Time	1633	MPAStatus	Fished	Site	Point Addis	Year	2018	Spare	
AD03	Sam Wines	11.3	Kingies, 20 odd sp	Latitude	-38.4096112	Longitude	144.2435685	Date	2018-03-07	Time	1240	MPAStatus	NoTake	Site	Point Addis MNP	Year	2018	Spare	
AD39	Sam Wines	9.5	Poor viz, lots of trachurus and snapper	Latitude	-38.40369378	Longitude	144.2272043	Date	2018-03-08	Time	1313	MPAStatus	NoTake	Site	Point Addis MNP	Year	2018	Spare	
AD04	Sam Wines	5.6	Really poor viz	Latitude	-38.3901185	Longitude	144.2596761	Date	2018-04-09	Time	816	MPAStatus	NoTake	Site	Point Addis MNP	Year	2018	Spare	
AD46	Sam Wines	24.3	Right Hand camera is actually AD68. No Right Hand AD46 Camera. Macroalgae	Latitude	-38.45795843	Longitude	144.166291	Date	2018-04-09	Time	1353	MPAStatus	Fished	Site	Point Addis	Year	2018	Spare	
AD47	Sam Wines	15.4	Macroalgae, 7gill, big smooth ray, eagle rays	Latitude	-38.43246	Longitude	144.1899561	Date	2018-03-08	Time	942	MPAStatus	Fished	Site	Point Addis	Year	2018	Spare	
