CampaignID,Sample,Latitude,Longitude,Date,Time,Location,Status,Site,Depth,Observer,Successful.count,Successful.length,EstimatedVisibility,Others,Comment
2018-03-PA-BRUV,AD01,-38.40790848,144.2180173,20180308,11:46:00,Point Addis MNP,No-take,AD,7.9,Sam Wines,Yes,Yes,3,NA,"Facing down, Conger Eel, Kelpfish"
2018-03-PA-BRUV,AD02,-38.4179155,144.2409312,20180307,12:45:00,Point Addis MNP,No-take,AD,27.1,Sam Wines,Yes,Yes,7,NA,Macroalgae
2018-03-PA-BRUV,AD03,-38.4096112,144.2435685,20180307,12:40:00,Point Addis MNP,No-take,AD,11.3,Sam Wines,Yes,Yes,6,NA,"Kingies, 20 odd sp"
2018-03-PA-BRUV,AD04,-38.3901185,144.2596761,20180409,8:16:00,Point Addis MNP,No-take,AD,5.6,Sam Wines,Yes,Yes,1,NA,Really poor viz
2018-03-PA-BRUV,AD05,-38.41254978,144.2291417,20180308,13:01:00,Point Addis MNP,No-take,AD,11.3,Sam Wines,Yes,Yes,4,NA,View obstructed by Reef ledge
2018-03-PA-BRUV,AD06,-38.41403037,144.2552518,20180307,11:02:00,Point Addis MNP,No-take,AD,27.9,Sam Wines,Yes,Yes,8,NA,Nice Transition drop w/ mixed inverts and some algae
2018-03-PA-BRUV,AD07,-38.38478802,144.2680777,20180308,14:42:00,Point Addis MNP,No-take,AD,7.9,Sam Wines,Yes,Yes,5,NA,"Macroalgae, Facing up slightly, so only silhouettes of lots of fish"
2018-03-PA-BRUV,AD08,-38.32548601,144.3649063,20180308,16:37:00,Point Addis,Fished,AD,9.3,Sam Wines,Yes,Yes,6,NA,2018 not 2017 (as clapper says)
2018-03-PA-BRUV,AD09,-38.34523554,144.3425393,20180308,16:22:00,Point Addis,Fished,AD,18.1,Sam Wines,Yes,Yes,4,NA,"Green water, lots of snapper and caesioperca, baby gummy?"
2018-03-PA-BRUV,AD10,-38.33964381,144.357411,20180308,16:28:00,Point Addis,Fished,AD,22.5,Sam Wines,Yes,Yes,3,NA,Poor viz
2018-03-PA-BRUV,AD11,-38.411525,144.27304,20180307,9:25:00,Point Addis MNP,No-take,AD,35.5,Sam Wines,Yes,Yes,15,NA,"Pretty inverts, Cuttlefish!, lobster"
2018-03-PA-BRUV,AD12,-38.403643,144.267284,20180307,9:17:00,Point Addis MNP,No-take,AD,27.6,Sam Wines,Yes,Yes,10,NA,Nice Rhodolith drop w/ lots of snapper and agro gummys
2018-03-PA-BRUV,AD13,-38.432258,144.212661,20180307,14:39:00,Point Addis MNP,No-take,AD,28.7,Sam Wines,Yes,Yes,10,NA,"Good viz, No tail eagle ray"
2018-03-PA-BRUV,AD14,-38.404027,144.2557,20180307,11:12:00,Point Addis MNP,No-take,AD,21.9,Sam Wines,Yes,Yes,6,NA,"Reasonable viz, Mixed benthos, Not many fish"
2018-03-PA-BRUV,AD15,-38.42652414,144.2114516,20180307,14:33:00,Point Addis MNP,No-take,AD,13,Sam Wines,Yes,Yes,6,NA,"Facing up a bit, macroalgae"
2018-03-PA-BRUV,AD16,-38.39212291,144.2809152,20180307,9:02:00,Point Addis MNP,No-take,AD,27.1,Sam Wines,Yes,No,6,NA,Only a and b of 226 available. Nice mixed drop
2018-03-PA-BRUV,AD17,-38.40836732,144.2610137,20180307,11:08:00,Point Addis MNP,No-take,AD,27.6,Sam Wines,Yes,Yes,7,NA,Nice mixed drop
2018-03-PA-BRUV,AD18,-38.42504471,144.217496,20180307,14:29:00,Point Addis MNP,No-take,AD,24.1,Sam Wines,Yes,Yes,6,NA,"Macroalgae, not the greatest viz. Huge diveristy"
2018-03-PA-BRUV,AD19,-38.40072792,144.26769,20180409,15:50:00,Point Addis MNP,No-take,AD,26.8,Sam Wines,Yes,Yes,5,NA,Landed sideways. Sand
2018-03-PA-BRUV,AD20,-38.39554809,144.2821979,20180307,9:08:00,Point Addis MNP,No-take,AD,30.7,Sam Wines,Yes,Yes,8,NA,Bronze whaler
2018-03-PA-BRUV,AD21,-38.427778,144.223808,20180307,14:22:00,Point Addis MNP,No-take,AD,28,Sam Wines,Yes,Yes,13,NA,Sparse algae
2018-03-PA-BRUV,AD22,-38.408566,144.248844,20180307,12:37:00,Point Addis MNP,No-take,AD,17.2,Sam Wines,Yes,Yes,5,NA,Macroalgae
