"sample","latitude","longitude","date","time","site","location","successful.count","fov.Facing Down","fov.Limited","fov.Open","mean.relief","sd.relief","broad.Hydroids","broad.Macroalgae","broad.Sponges","broad.Unconsolidated","broad.WaveEnergy Structure"
"WE01",-38.39388,142.16432,20210603,13:50:00,"Wave Energy Generator","Port Fairy","Yes",0,100,0,4.55555555555556,0.704792186494566,0,100,0,0,0
"WE02",-38.39423,142.1682,20210603,09:42:00,"Wave Energy Generator","Port Fairy","Yes",0,0,100,1.3,0.483045891539648,0,100,0,0,0
"WE03",-38.39452,142.17223,20210603,13:54:00,"Wave Energy Generator","Port Fairy","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WE05",-38.3972,142.1842,20210603,09:55:00,"Wave Energy Generator","Port Fairy","Yes",0,100,0,5,0,0,100,0,0,0
"WE06",-38.39752,142.18762,20210603,09:59:00,"Wave Energy Generator","Port Fairy","Yes",0,0,100,2.15384615384615,0.688737231721194,0,100,0,0,0
"WE07",-38.39657,142.15625,20210603,11:37:00,"Wave Energy Generator","Port Fairy","Yes",0,0,100,0,0,0,0,0,100,0
"WE08",-38.3965,142.15985,20210603,11:40:00,"Wave Energy Generator","Port Fairy","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WE09",-38.39912,142.15837,20210603,11:43:00,"Wave Energy Generator","Port Fairy","Yes",0,0,100,0,0,0,0,0,100,0
"WE10",-38.39682,142.1641,20210603,11:46:00,"Wave Energy Generator","Port Fairy","Yes",0,0,100,0,0,0,0,0,100,0
"WE11",-38.39712,142.16752,20210603,11:54:00,"Wave Energy Generator","Port Fairy","Yes",0,0,100,0,0,0,0,0,100,0
"WE12",-38.39957,142.16537,20210603,11:51:00,"Wave Energy Generator","Port Fairy","Yes",0,0,100,0,0,0,0,0,100,0
"WE13",-38.39715,142.17102,20210603,11:56:00,"Wave Energy Generator","Port Fairy","Yes",0,0,100,0,0,0,0,0,100,0
"WE14",-38.39747,142.1746,20210603,11:58:00,"Wave Energy Generator","Port Fairy","Yes",0,0,100,0,0,0,0,0,100,0
"WE15",-38.40013,142.17207,20210603,12:02:00,"Wave Energy Generator","Port Fairy","Yes",0,0,100,0,0,0,0,0,100,0
"WE16",-38.39952,142.17868,20210603,13:36:00,"Wave Energy Generator","Port Fairy","Yes",0,0,100,0,0,0,0,0,100,0
"WE17",-38.39992,142.18305,20210603,13:48:00,"Wave Energy Generator","Port Fairy","Yes",0,0,100,0,0,0,0,0,100,0
"WE18",-38.40245,142.18,20210603,13:41:00,"Wave Energy Generator","Port Fairy","Yes",0,0,100,0,0,0,0,0,100,0
"WE19",-38.40073,142.18772,20210603,10:12:00,"Wave Energy Generator","Port Fairy","Yes",0,100,0,2.77777777777778,0.427792631946499,0,55.5555555555556,44.4444444444444,0,0
"WE20",-38.40095,142.19203,20210603,10:08:00,"Wave Energy Generator","Port Fairy","Yes",0,65,35,1.2,0.918936583472681,0,30,30,40,0
"WE21",-38.40387,142.18937,20210603,14:04:00,"Wave Energy Generator","Port Fairy","Yes",0,25,75,0.866666666666667,0.351865775274498,0,20,80,0,0
"WE22",-38.39844998,142.1724,20210603,09:30:00,"Wave Energy Generator","Port Fairy","Yes",0,100,0,1,0,20,40,40,0,0
"WE23",-38.3983,142.172,20210603,11:31:00,"Wave Energy Generator","Port Fairy","Yes",0,100,0,1.68421052631579,1.88716811884154,0,0,0,52.6315789473684,47.3684210526316
"WE24",-38.398283,142.172517,20210603,13:27:00,"Wave Energy Generator","Port Fairy","Yes",0,0,100,0,0,0,0,0,100,0
"WE25",-38.39814999,142.1720833,20210603,13:31:00,"Wave Energy Generator","Port Fairy","Yes",100,0,0,1.25,1.88832981062213,0,0,0,60,40
"WEER1",-38.39795,142.19085,20210603,10:04:00,"Wave Energy Generator","Port Fairy","Yes",0,100,0,3.15,1.08942283125661,0,100,0,0,0
"WEER2",-38.39505,142.17545,20210603,09:50:00,"Wave Energy Generator","Port Fairy","Yes",0,0,100,2,0,0,100,0,0,0
