OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
WE01	0	0	715.76871	676.45565	359.71914	668.38710
WE01	0	1	507.33333	758.10887	116.18573	751.67339
WE01	1	0	879.45578	424.59677	474.02039	415.88710
WE01	1	1	681.36054	270.00000	195.69649	256.93548
WE01	2	0	1458.50340	435.48387	1130.69083	415.88710
WE01	2	1	1536.87075	428.95161	1222.01586	409.35484
WE01	3	0	1482.44218	366.26613	1014.23103	352.16532
WE01	3	1	1350.19728	331.97177	896.81314	317.32661
WE01	4	0	1391.55782	263.92742	1037.20159	247.80242
WE01	4	1	1531.59864	215.88306	1146.46546	203.16532
WE01	5	0	1229.93197	298.30645	923.14609	283.94355
WE01	5	1	1076.82313	295.89919	743.21404	280.67742
WE01	6	0	1382.50340	628.68145	948.05096	613.08468
WE01	6	1	1495.15646	629.77016	1048.07361	613.08468
WE01	7	0	1352.42177	624.06452	1087.37373	593.20161
WE01	7	1	1564.12245	566.90726	1248.27973	549.65323
WE01	8	0	1456.49660	723.95968	1187.33862	712.12500
WE01	8	1	1576.76871	720.14919	1280.29445	703.41532
WE01	9	0	1062.31293	609.67742	713.53567	604.14919
WE01	9	1	902.27211	538.72984	543.93205	524.12903
WE01	10	0	843.44898	628.97984	69.58097	611.85484
WE01	10	1	1096.51020	688.31452	365.30011	675.00000
WE01	11	0	979.51701	364.21774	415.64100	345.46774
WE01	11	1	1208.63265	354.96371	641.23556	331.85887
WE01	12	0	1053.60544	498.62903	668.56512	482.61694
WE01	12	1	1236.68027	504.48790	864.91053	496.12500
WE01	13	0	1182.04082	557.41935	26.09287	540.00000
WE01	13	1	1515.10204	511.69355	469.67157	483.38710
WE01	14	0	1562.99320	607.50000	1249.11438	594.17742
WE01	14	1	1351.83673	542.17742	1079.51076	532.66532
WE01	15	0	1679.16327	582.16532	1302.46886	561.77419
WE01	15	1	1419.71429	594.72177	1077.53114	571.02419
WE01	16	0	1811.15646	637.39113	1402.49151	620.56452
WE01	16	1	1537.41497	665.15323	1175.47565	644.23790
WE01	17	0	1780.68027	814.35484	1354.65459	786.04839
WE01	17	1	1602.17687	679.35484	1217.66704	659.75806
WE02	0	0	1196.77551	570.88306	811.05323	579.19355
WE02	0	1	989.42857	551.28629	602.31031	555.24194
WE02	1	0	1226.70748	532.23387	780.61155	537.82258
WE02	1	1	948.61224	486.50806	489.24122	492.09677
WE02	2	0	1114.62585	579.94355	519.65232	590.95968
WE02	2	1	818.89796	622.48387	78.27860	633.60887
WE02	3	0	1014.81633	691.07258	430.53228	703.28629
WE02	3	1	677.94558	660.04435	129.37712	678.24597
WE02	4	0	1144.91837	918.87097	441.40430	940.64516
WE02	4	1	812.25170	781.35081	126.11552	796.93548
WE02	5	0	1151.41497	685.85081	727.11438	699.27016
WE02	5	1	866.74150	580.77419	438.46206	591.48790
WE02	6	0	790.20408	200.32258	468.26840	205.54032
WE02	6	1	590.30612	161.91129	237.78143	167.97984
WE02	7	0	1348.99320	233.18952	1114.57984	245.39113
WE02	7	1	1508.44898	248.97581	1259.17780	262.26613
WE02	8	0	1183.56463	395.46774	1042.26614	405.33065
WE02	8	1	1312.00000	375.87097	1168.92525	383.55645
WE02	9	0	989.97959	220.52419	397.91619	219.91935
WE02	9	1	869.70748	228.68952	191.34768	215.56452
WE02	10	0	1079.53061	508.74597	1048.91733	519.39113
WE02	10	1	1173.13605	502.75806	1147.30917	514.49194
WE02	11	0	1127.00680	674.77016	714.50963	689.69758
WE02	11	1	969.72789	698.17742	529.14156	712.01613
WE02	12	0	1001.93197	581.81452	631.88222	589.53629
WE02	12	1	852.27211	507.23790	525.26614	519.26210
WE02	13	0	606.48980	298.97581	358.98981	306.58065
WE02	13	1	369.75510	230.38710	166.55493	245.06855
WE02	14	0	1083.97279	260.27823	823.16988	270.76613
WE02	14	1	902.20408	203.12097	680.20272	216.33065
WE02	15	0	1645.92517	286.69355	1377.73952	300.22581
WE02	15	1	1418.44218	291.59274	1190.19706	298.59274
WE02	16	0	1305.17687	680.81048	918.62627	693.76210
WE02	16	1	1098.37415	595.34677	737.06342	613.74194
WE02	17	0	1048.59184	533.18952	652.15515	540.73387
WE02	17	1	865.20408	377.72984	508.06569	387.09677
WE05	0	0	1849.79592	656.44355	1213.31823	618.38710
WE05	0	1	1616.32653	602.55242	1000.22650	581.37097
WE05	1	0	1852.51701	805.64516	1354.65459	755.56452
WE05	1	1	1504.21769	1029.91935	987.18007	997.25806
WE05	2	0	1203.80952	381.04839	671.89128	359.27419
WE05	2	1	1711.02041	226.45161	980.65685	206.85484
WE05	3	0	700.29252	906.68145	230.85051	868.21371
WE05	3	1	906.76190	731.30645	528.52435	719.91935
WE05	4	0	1323.53741	422.41935	630.57758	402.82258
WE05	4	1	1865.57823	74.03226	934.99434	82.74194
WE05	5	0	829.28571	478.83468	546.83579	466.68145
WE05	5	1	949.55782	397.72581	650.66365	381.21774
WE05	6	0	734.38776	628.50000	469.91959	609.08468
WE05	6	1	614.65986	690.01210	318.79841	674.95161
WE05	7	0	1297.41497	677.17742	508.81087	651.04839
WE05	7	1	1554.50340	607.24194	810.88788	587.33871
WE06	0	0	171.42857	228.33468	113.06908	263.46774
WE06	0	1	396.19048	263.17339	295.71914	291.77419
WE06	1	0	617.65306	233.76210	313.11438	256.93548
WE06	1	1	392.34694	119.99194	32.61608	137.17742
WE06	2	0	1863.40136	230.80645	1024.14496	276.53226
WE06	2	1	1375.78231	272.17742	784.96036	291.77419
WE06	3	0	1165.57823	586.71774	820.48698	603.85887
WE06	3	1	1032.78912	622.64516	613.91846	634.88710
WE06	4	0	957.23129	513.75403	660.80634	530.27823
WE06	4	1	757.50340	502.86694	425.42695	518.84677
WE06	5	0	947.63946	673.89516	779.42582	691.77419
WE06	5	1	845.32653	635.24597	688.10079	654.75806
WE06	6	0	1245.36054	564.12500	1096.95243	586.79839
WE06	6	1	1420.17007	419.29032	1268.73046	443.63306
WE06	7	0	589.93197	195.96774	4.34881	185.08065
WE06	7	1	1007.89116	189.43548	500.11325	202.50000
WE06	8	0	801.08844	618.38710	380.74858	636.37903
WE06	8	1	653.06122	570.48387	256.26387	584.12097
WE06	9	0	860.52381	446.86694	600.68403	463.89919
WE06	9	1	649.91156	402.77419	351.71461	417.62903
WE06	10	0	565.98639	492.09677	308.76557	502.98387
WE06	10	1	391.83673	415.88710	102.19706	433.30645
WE06	11	0	1382.31293	365.80645	982.83126	391.93548
WE06	11	1	1160.27211	378.87097	811.05323	398.46774
WE06	12	0	887.27211	407.06452	794.77803	429.49194
WE06	12	1	984.68707	367.87097	892.62627	391.38710
WE06	13	0	1310.79592	786.55645	858.36467	811.10081
WE06	13	1	1135.55782	771.85887	635.48811	790.95968
WE06	14	0	1436.29932	688.49194	796.78596	698.88710
WE06	14	1	1259.97279	670.52823	516.28766	686.36694
WE06	15	0	1098.66667	639.82258	991.71008	663.21371
WE06	15	1	915.26531	613.69355	801.44960	633.27419
WE06	16	0	1789.38776	132.82258	1269.85277	185.08065
WE06	16	1	1445.44218	300.48387	1017.62174	333.14516
WE07	0	0	1689.79592	836.33468	1290.85617	852.97177
WE07	0	1	1739.31973	820.00403	1351.19592	843.17339
WE07	1	0	1755.64626	858.65323	1319.12344	876.37903
WE07	1	1	1848.16327	873.35081	1398.48924	887.81048
WE07	2	0	1648.97959	875.52823	1200.07475	887.81048
WE07	2	1	1717.55102	864.09677	1273.46093	880.18952
WE07	3	0	1585.85034	879.33871	1096.24689	894.88710
WE07	3	1	1638.09524	872.26210	1151.69422	888.35484
WE07	4	0	1598.36735	820.54839	1238.67044	836.64113
WE07	4	1	1658.23129	812.38306	1308.79502	835.00806
WE07	5	0	923.99320	834.69758	549.50736	851.08065
WE07	5	1	997.46259	828.70968	615.28313	841.82661
WE07	6	0	862.91156	701.76613	596.63760	710.30242
WE07	6	1	596.89796	786.15323	252.29558	793.26613
WE09	0	0	689.37415	522.39919	509.02718	539.09677
WE09	0	1	248.14966	495.85887	10.32843	509.40323
WE09	1	0	1387.34014	661.45161	813.76897	677.14516
WE09	1	1	1289.38095	670.70565	707.76670	686.94355
WE09	2	0	1390.06122	690.84677	749.08041	704.36290
WE09	2	1	1303.53061	694.65726	664.82220	710.35081
WE09	3	0	1201.24490	827.75403	596.89128	851.41532
WE09	3	1	1305.73469	828.84274	685.49830	848.14919
WE09	4	0	1197.43537	732.49194	626.24575	746.35484
WE09	4	1	1147.36735	778.21774	544.70555	790.44758
WE09	5	0	1021.65306	802.71371	406.44621	824.94758
WE09	5	1	943.28571	817.95565	336.32163	842.91129
WE09	6	0	1622.80272	571.23387	994.56852	591.27419
WE09	6	1	1496.00000	582.66532	890.74066	600.52823
WE09	7	0	1613.00680	610.97177	1010.33296	628.29032
WE09	7	1	1528.65306	633.83468	923.90034	652.78629
WE09	8	0	1522.66667	664.31855	965.21404	683.27016
WE09	8	1	1440.48980	662.14113	892.91506	680.00403
WE09	9	0	1438.85714	717.66532	937.49037	737.16129
WE09	9	1	1530.28571	720.93145	1010.87656	738.25000
WE09	10	0	1832.87075	610.42742	1238.10193	632.10081
WE09	10	1	1728.38095	601.71774	1163.08494	621.75806
WE09	11	0	798.53741	689.31048	422.21178	706.47177
WE09	11	1	856.22449	684.41129	484.18233	699.93952
WE09	12	0	815.46939	339.56048	579.39411	361.20968
WE09	12	1	725.12925	338.47177	471.76104	352.50000
WE09	13	0	820.91156	369.50000	632.66704	390.06048
