OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
WE01	0	20210603_Port_Fairy_Wave_WE01_Rig6_6L (1).MP4	12542	20210603_Port_Fairy_Wave_WE01_Rig6_6R (1).MP4	12728	6.97475	Analysis	1.17784	199.52102	1.89255	2.39881	1521.07729	21.19564	12.01763	20.88884	-521.11215	-175.75042	-1418.17842	Girellidae	Girella	zebra		1	AD	Passing			
WE01	1	20210603_Port_Fairy_Wave_WE01_Rig6_6L (2).MP4	984	20210603_Port_Fairy_Wave_WE01_Rig6_6R (2).MP4	1170	18.18150	Analysis	12.38459	226.42888	1.84681	4.14068	1332.10165	17.25823	27.77724	31.06500	-357.72005	168.00095	-1272.12690	Scorpididae	Scorpis	aequipinnis	37361004	1	AD	Passing			
WE01	2	20210603_Port_Fairy_Wave_WE01_Rig6_6L (2).MP4	984	20210603_Port_Fairy_Wave_WE01_Rig6_6R (2).MP4	1170	18.18150	Analysis	12.38459	108.47272	2.65875	1.50072	1578.60823	15.53041	24.71051	5.53443	401.32436	132.62904	-1520.97082	Scorpididae	Scorpis	aequipinnis	37361004	1	AD	Passing			
WE01	3	20210603_Port_Fairy_Wave_WE01_Rig6_6L (2).MP4	992	20210603_Port_Fairy_Wave_WE01_Rig6_6R (2).MP4	1178	18.18595	Analysis	12.38904	109.81931	1.10487	0.70564	1240.44751	12.01179	7.08096	16.85836	189.50231	175.30527	-1213.28767	Scorpididae	Scorpis	aequipinnis	37361004	1	AD	Passing			
WE01	4	20210603_Port_Fairy_Wave_WE01_Rig6_6L (2).MP4	992	20210603_Port_Fairy_Wave_WE01_Rig6_6R (2).MP4	1178	18.18595	Analysis	12.38904	119.82831	2.18644	1.47283	1478.34426	17.06562	24.13383	14.85669	304.82604	308.71083	-1413.25173	Scorpididae	Scorpis	aequipinnis	37361004	1	AD	Passing			
WE01	5	20210603_Port_Fairy_Wave_WE01_Rig6_6L (2).MP4	995	20210603_Port_Fairy_Wave_WE01_Rig6_6R (2).MP4	1181	18.18761	Analysis	12.39071	197.54691	2.30225	1.08728	1535.72265	10.30859	21.96309	3.53278	31.22502	273.03747	-1510.93336	Scorpididae	Scorpis	aequipinnis	37361004	1	AD	Passing			
WE01	6	20210603_Port_Fairy_Wave_WE01_Rig6_6L (2).MP4	1014	20210603_Port_Fairy_Wave_WE01_Rig6_6R (2).MP4	1200	18.19818	Analysis	12.40128	90.88656	1.17115	1.26056	1267.47059	10.82836	4.98374	1.33469	227.98213	-68.72890	-1244.90248	Scorpididae	Scorpis	aequipinnis	37361004	1	AD	Passing			
WE01	7	20210603_Port_Fairy_Wave_WE01_Rig6_6L (2).MP4	1021	20210603_Port_Fairy_Wave_WE01_Rig6_6R (2).MP4	1207	18.20207	Analysis	12.40517	220.90741	3.61241	9.48680	1653.03423	13.92268	36.36981	17.09571	395.19277	-44.94491	-1604.47025	Scorpididae	Scorpis	aequipinnis	37361004	1	AD	Passing			
WE01	8	20210603_Port_Fairy_Wave_WE01_Rig6_6L (2).MP4	1022	20210603_Port_Fairy_Wave_WE01_Rig6_6R (2).MP4	1208	18.20263	Analysis	12.40573	117.46009	3.70763	1.87392	1712.33874	17.39762	35.37479	9.85801	474.12688	-193.23234	-1634.00395	Scorpididae	Scorpis	aequipinnis	37361004	1	AD	Passing			
WE01	9	20210603_Port_Fairy_Wave_WE01_Rig6_6L (2).MP4	1022	20210603_Port_Fairy_Wave_WE01_Rig6_6R (2).MP4	1208	18.20263	Analysis	12.40573	184.36771	1.20990	4.71937	1424.43337	6.61665	3.93134	24.19625	-160.94445	-32.18746	-1414.94568	Scorpididae	Scorpis	aequipinnis	37361004	1	AD	Passing			
