OpCode	PointIndex	Filename	Frame	Time	Period	PeriodTime	ImageCol	ImageRow	RectWidth	RectHeight	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
WE01	2	20210603_Port_Fairy_Wave_WE01_Rig6_6L (1).MP4	10733	5.96874	Analysis	0.17184	424.4898	452.90323	0	0	Labridae	Notolabrus	fucicola	37384021	1	AD	Passing			
WE01	3	20210603_Port_Fairy_Wave_WE01_Rig6_6L (1).MP4	10740	5.97263	Analysis	0.17573	1687.07483	19.59677	0	0	Scorpididae	Scorpis	aequipinnis	37361004	1	AD	Passing			
WE01	4	20210603_Port_Fairy_Wave_WE01_Rig6_6L (1).MP4	10740	5.97263	Analysis	0.17573	1371.42857	261.29032	0	0	Scorpididae	Scorpis	aequipinnis	37361004	1	AD	Passing			
WE01	5	20210603_Port_Fairy_Wave_WE01_Rig6_6L (1).MP4	10740	5.97263	Analysis	0.17573	613.87755	52.25806	0	0	Scorpididae	Scorpis	aequipinnis	37361004	1	AD	Passing			
WE01	6	20210603_Port_Fairy_Wave_WE01_Rig6_6L (1).MP4	10947	6.08775	Analysis	0.29085	883.80952	394.1129	0	0	Labridae	Notolabrus	tetricus	37384003	1	AD	Passing			
WE01	7	20210603_Port_Fairy_Wave_WE01_Rig6_6L (1).MP4	10947	6.08775	Analysis	0.29085	32.65306	927.58065	0	0	Labridae	Notolabrus	tetricus	37384003	1	AD	Passing			
WE01	8	20210603_Port_Fairy_Wave_WE01_Rig6_6L (1).MP4	11208	6.23289	Analysis	0.43599	494.14966	476.85484	0	0	Labridae	Notolabrus	tetricus	37384003	1	M	Passing			
WE01	9	20210603_Port_Fairy_Wave_WE01_Rig6_6L (1).MP4	11397	6.338	Analysis	0.5411	1674.01361	751.20968	0	0	Labridae	Notolabrus	fucicola	37384021	1	AD	Passing			
WE01	10	20210603_Port_Fairy_Wave_WE01_Rig6_6L (1).MP4	11397	6.338	Analysis	0.5411	546.39456	452.90323	0	0	Labridae	Notolabrus	fucicola	37384021	1	AD	Passing			
WE01	11	20210603_Port_Fairy_Wave_WE01_Rig6_6L (1).MP4	11886	6.60994	Analysis	0.81303	1077.55102	97.98387	0	0	Scorpididae	Scorpis	aequipinnis	37361004	1	AD	Passing			
