"sample","latitude","longitude","date","time","site","location","successful.count","fov.Facing Down","fov.Facing Up","fov.Limited","fov.Open","mean.relief","sd.relief","broad.Ascidians","broad.Hydroids","broad.Macroalgae","broad.Seagrasses","broad.Sponges","broad.Unconsolidated"
"PPH_28",-38.27864489,144.63372,20180408,09:44:00,"PPH","PPH","Yes",0,0,0,100,0.1,0.316227766016838,0,0,0,100,0,0
"PPH_13",-38.29406433,144.59827,20180408,11:26:00,"PPH","PPH","Yes",0,0,0,100,1,0,0,0,100,0,0,0
"PPH_57",-38.30717713,144.6884,20180408,07:46:00,"PPH","PPH","Yes",0,0,0,100,0,0,0,0,70,0,0,30
"PPH_23",-38.28473282,144.63653,20180407,14:32:00,"PPH","PPH","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PPH_09",-38.27528186,144.65549,20180408,09:48:00,"PPH","PPH","Yes",0,0,0,100,1,0,0,0,20,80,0,0
"PPH_52",-38.32011068,144.66498,20180407,09:50:00,"PPH","PPH","Yes",0,0,0,100,0,0,0,0,0,0,0,100
"PPH_46",-38.30407154,144.66736,20180408,08:05:00,"PPH","PPH","Yes",0,0,0,100,0,0,0,0,0,0,0,100
"PPH_50",-38.32656179,144.67468,20180407,09:40:00,"PPH","PPH","Yes",100,0,0,0,0.65,0.875093979915421,0,0,25,0,0,75
"PPH_31",-38.28176565,144.63952,20180407,14:35:00,"PPH","PPH","Yes",0,0,0,100,1,0,0,0,100,0,0,0
"PPH_40",-38.31892921,144.65535,20180408,13:54:00,"PPH","PPH","Yes",0,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"PPH_38",-38.31449034,144.64858,20180408,13:53:00,"PPH","PPH","Yes",0,0,95,5,1.1875,1.16726175299288,0,0,75,0,0,25
"PPH_37",-38.31120127,144.65041,20180408,13:49:00,"PPH","PPH","Yes",0,0,0,100,0,0,0,0,0,0,0,100
"PPH_43",-38.31047267,144.6444,20180408,13:46:00,"PPH","PPH","Yes",0,0,0,100,0,0,0,0,30,0,0,70
"PPH_47",-38.30482895,144.67278,20180408,08:00:00,"PPH","PPH","Yes",0,0,0,100,0,0,0,0,0,0,0,100
"PPH_29",-38.27643445,144.63761,20180408,09:46:00,"PPH","PPH","Yes",0,0,100,0,0.5625,0.51234753829798,0,0,75,0,0,25
"PPH_54",-38.31084146,144.71034,20180514,13:25:00,"PPH","PPH","Yes",0,100,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"PPH_21",-38.29374722,144.6213,20180407,12:54:00,"PPH","PPH","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PPH_51",-38.32521433,144.66387,20180407,09:43:00,"PPH","PPH","Yes",0,0,100,0,0,0,0,0,37.5,0,0,62.5
"PPH_16",-38.28886255,144.6318,20180514,13:01:00,"PPH","PPH","Yes",0,0,100,0,2.05555555555556,1.05564155136453,16.6666666666667,0,72.2222222222222,0,0,11.1111111111111
"PPH_24",-38.28342646,144.62407,20180407,11:28:00,"PPH","PPH","Yes",0,0,0,100,1,0,0,0,100,0,0,0
"PPH_25",-38.28298327,144.61985,20180407,11:30:00,"PPH","PPH","Yes",0,0,0,100,0,0,0,0,30,0,0,70
"PPH_03",-38.2873349,144.62,20180407,11:33:00,"PPH","PPH","Yes",0,0,100,0,1.2,0.414039335605413,0,0,100,0,0,0
"PPH_53",-38.32349749,144.65847,20180407,09:48:00,"PPH","PPH","Yes",0,0,0,100,0,0,0,0,0,0,0,100
"PPH_22",-38.29701025,144.61856,20180407,12:52:00,"PPH","PPH","Yes",0,0,0,100,1,0,0,0,100,0,0,0
"PPH_34",-38.30606,144.64868,20180408,16:00:00,"PPH","PPH","Yes",0,0,0,100,0.833333333333333,0.389249472080761,0,0,83.3333333333333,0,0,16.6666666666667
"PPH_19",-38.29031372,144.62858,20180407,12:59:00,"PPH","PPH","Yes",0,0,0,100,1,0,0,0,100,0,0,0
"PPH_04",-38.29011756,144.62258,20180407,14:19:00,"PPH","PPH","Yes",0,0,100,0,2,0,0,0,100,0,0,0
"PPH_05",-38.29667168,144.61299,20180408,11:15:00,"PPH","PPH","Yes",0,0,100,0,1.5,0.514495755427527,0,0,100,0,0,0
"PPH_20",-38.28802068,144.6253,20180407,11:36:00,"PPH","PPH","Yes",0,0,0,100,1.07692307692308,0.277350098112615,0,0,100,0,0,0
"PPH_45",-38.30374041,144.6788,20180408,07:55:00,"PPH","PPH","Yes",0,0,0,100,0.333333333333333,0.5,0,0,66.6666666666667,0,33.3333333333333,0
"PPH_58",-38.29636,144.60595,20180408,11:32:00,"PPH","PPH","Yes",0,0,0,100,1.2,0.414039335605413,0,0,100,0,0,0
"PPH_18",-38.29875923,144.62303,20180407,12:48:00,"PPH","PPH","Yes",0,0,0,100,1.1,0.316227766016838,0,0,100,0,0,0
"PPH_15",-38.29287752,144.62568,20180407,12:56:00,"PPH","PPH","Yes",0,0,0,100,1,0,0,0,100,0,0,0
"PPH_02",-38.28016609,144.62507,20180407,11:26:00,"PPH","PPH","Yes",0,0,100,0,1,0,0,0,100,0,0,0
"PPH_08",-38.28302156,144.63434,20180407,14:32:00,"PPH","PPH","Yes",0,0,0,100,1,0,0,0,100,0,0,0
"PPH_11",-38.30422645,144.65929,20180408,09:32:00,"PPH","PPH","Yes",0,0,100,0,1,0,0,0,100,0,0,0
"PPH_55",-38.31293797,144.71249,20180514,13:28:00,"PPH","PPH","Yes",0,0,0,100,0,0,0,0,7.69230769230769,84.6153846153846,0,7.69230769230769
"PPH_44",-38.306558,144.6636,20180408,09:27:00,"PPH","PPH","Yes",0,0,0,100,1,0,0,0,41.6666666666667,58.3333333333333,0,0
"PPH_39",-38.31433617,144.65517,20180408,16:08:00,"PPH","PPH","Yes",0,0,0,100,0,0,0,0,0,0,0,100
"PPH_14",-38.29019422,144.58883,20180408,11:29:00,"PPH","PPH","Yes",100,0,0,0,0.7,0.470162345981627,0,0,70,0,0,30
"PPH_41",-38.32010002,144.65013,20180408,16:13:00,"PPH","PPH","Yes",100,0,0,0,0,0,0,0,0,0,0,100
"PPH_35",-38.30423,144.64608,20180408,15:58:00,"PPH","PPH","Yes",0,0,0,100,0.7,0.483045891539648,0,0,80,0,0,20
"PPH_33",-38.31035201,144.65443,20180408,16:03:00,"PPH","PPH","Yes",0,0,0,100,1,0,0,0,100,0,0,0
"PPH_32",-38.31374326,144.6595,20180408,16:09:00,"PPH","PPH","Yes",0,0,0,100,0,0,0,0,0,0,0,100
"PPH_42",-38.30728215,144.64223,20180408,13:41:00,"PPH","PPH","Yes",0,0,5,95,0.133333333333333,0.516397779494322,0,0,53.3333333333333,0,0,46.6666666666667
"PPH_61",-38.30691797,144.80102,20180514,13:43:00,"PPH","PPH","Yes",0,0,0,100,1,0,0,33.3333333333333,66.6666666666667,0,0,0
"PPH_01",-38.28636769,144.62963,20180407,14:23:00,"PPH","PPH","Yes",0,0,0,100,1.3,0.483045891539648,0,0,100,0,0,0
"PPH_30",-38.28681842,144.63566,20180407,14:27:00,"PPH","PPH","Yes",0,0,0,100,1,0,0,0,100,0,0,0
"PPH_12",-38.30412315,144.65585,20180408,09:35:00,"PPH","PPH","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PPH_26",-38.27866588,144.62151,20180407,11:23:00,"PPH","PPH","Yes",0,0,100,0,1,0,0,0,5.55555555555556,94.4444444444444,0,0
"PPH_06",-38.29461679,144.61027,20180408,11:20:00,"PPH","PPH","Yes",0,0,0,100,1,0,0,0,100,0,0,0
"PPH_36",-38.30727867,144.64562,20180408,13:44:00,"PPH","PPH","Yes",0,0,0,100,0.4,0.516397779494322,0,0,60,0,0,40
"PPH_59",-38.27695679,144.69781,20180514,13:10:00,"PPH","PPH","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PPH_48",-38.30512545,144.68505,20180408,07:50:00,"PPH","PPH","Yes",0,0,0,100,0,0,0,0,0,0,0,100
