OpCode	ImagePtPair	Index	Lx	Ly	Rx	Ry
PPH_01	0	0	696.30535	1001.41791	598.90871	952.05224
PPH_01	0	1	851.43652	993.35821	765.12067	959.10448
PPH_01	1	0	600.60756	977.23881	553.57817	919.81343
PPH_01	1	1	756.74607	949.02985	695.61385	917.79851
PPH_01	2	0	1607.72298	830.14925	1535.19412	898.65672
PPH_01	2	1	1837.39769	767.68657	1768.89822	856.34328
PPH_01	3	0	1139.05561	636.35821	1074.83631	646.26866
PPH_01	3	1	1298.21616	509.41791	1232.98951	524.36567
PPH_01	4	0	560.08395	951.04478	410.99685	866.41791
PPH_01	4	1	761.55299	844.25373	614.48059	795.89552
PPH_01	5	0	1312.21721	956.08209	1154.90136	985.29851
PPH_01	5	1	1505.62749	949.02985	1329.17209	1012.50000
PPH_01	6	0	1139.96013	1012.50000	1060.12172	1038.69403
PPH_01	6	1	1268.90031	1011.49254	1206.18678	1053.80597
PPH_01	7	0	991.22770	1019.55224	880.41973	1005.44776
PPH_01	7	1	1287.38720	975.22388	1148.37356	1013.50746
PPH_01	8	0	1480.79748	1013.50746	1313.57817	1061.86567
PPH_01	8	1	1770.91291	949.02985	1652.04617	1047.76119
PPH_01	9	0	912.65477	860.37313	348.54145	773.73134
PPH_01	9	1	1901.86779	924.85075	1031.52151	942.98507
PPH_01	10	0	1732.63379	791.86567	1869.63274	896.64179
PPH_01	10	1	1329.69570	866.41791	1357.90136	928.88060
PPH_02	0	0	1577.50262	605.97015	1541.23820	660.23881
PPH_02	0	1	1712.48688	572.72388	1749.75866	614.90299
PPH_02	1	0	901.17524	869.44030	782.24764	846.26866
PPH_02	1	1	1085.51941	816.04478	958.53305	825.11194
PPH_02	2	0	1364.87723	479.31343	1359.30430	509.96269
PPH_02	2	1	1113.04092	478.30597	1109.48269	496.86567
PPH_02	3	0	1029.50682	949.02985	785.72928	932.91045
PPH_02	3	1	866.31689	826.11940	691.03882	791.86567
PPH_02	4	0	362.64428	596.41791	255.86569	529.92537
PPH_02	4	1	201.46905	560.14925	86.63169	489.62687
PPH_02	5	0	1110.09444	556.11940	1075.84470	564.17910
PPH_02	5	1	1315.59286	540.00000	1273.28437	570.22388
PPH_02	6	0	1055.95908	302.23881	1106.19412	318.00000
PPH_02	6	1	920.97482	294.17910	977.25393	305.91045
PPH_02	7	0	880.41973	360.67164	1015.40399	370.74627
PPH_02	7	1	1597.64953	298.20896	1778.97167	330.44776
