OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	Length	Precision	RMS	Range	Direction	HorzDir	VertDir	MidX	MidY	MidZ	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
PPH_01	0	PPH_226_225_226_01a.avi	12850	PPH_226_225_225_01a.avi	12105	8.56667	Analysis	5.71133	228.10602	4.11395	8.60367	2242.15932	17.40485	25.03600	2.51738	-275.78538	-611.35247	-2139.50205	Labridae	Pictilabrus	laticlavius	37384020	1	F	Attracted			
PPH_01	1	PPH_226_225_226_01a.avi	12850	PPH_226_225_225_01a.avi	12105	8.56667	Analysis	5.71133	219.51662	2.33120	3.10130	2392.87093	17.80698	1.49796	10.20992	-409.43632	-606.50208	-2278.23362	Labridae	Pictilabrus	laticlavius	37384020	1	M	Attracted			
PPH_01	2	PPH_226_225_226_01b.avi	3513	PPH_226_225_225_01b.avi	2696	13.79733	Analysis	10.94200	287.04824	5.11126	5.91314	2066.66848	26.46373	48.50621	22.79201	873.57394	-291.64707	-1850.11599	Monacanthidae	Scobinichthys	granulatus	37465007	1	AD	Attracted			
PPH_01	3	PPH_226_225_226_01b.avi	7172	PPH_226_225_225_01b.avi	6355	16.23667	Analysis	13.38133	279.55461	3.51478	3.66041	2138.21463	8.16245	28.21048	40.34993	301.61748	-34.49959	-2116.55344	Labridae	Notolabrus	tetricus	37384003	1	F	Attracted			
PPH_01	4	PPH_226_225_226_01b.avi	7187	PPH_226_225_225_01b.avi	6370	16.24667	Analysis	13.39133	250.40702	2.42649	6.59305	1921.21881	17.58116	15.74921	25.26090	-412.74307	-407.93451	-1831.47872	Labridae	Notolabrus	tetricus	37384003	1	F	Attracted			
PPH_01	5	PPH_226_225_226_01b.avi	7209	PPH_226_225_225_01b.avi	6392	16.26133	Analysis	13.40600	227.15395	4.02236	4.60572	1906.42117	19.86807	36.26367	9.12731	448.66339	-467.42438	-1792.94654	Labridae	Notolabrus	tetricus	37384003	1	F	Attracted			
PPH_01	6	PPH_226_225_226_01d.avi	757	PPH_226_225_225_01c.avi	17100	34.88000	Analysis	32.02467	205.29160	2.61800	3.81481	2377.35953	18.55115	9.62797	1.68322	345.16688	-673.00814	-2253.83190	Mullidae	Upeneichthys	vlamingii	37355029	1	AD	Attracted			
PPH_01	7	PPH_226_225_226_01d.avi	14947	PPH_226_225_225_01d.avi	14178	44.34000	Analysis	41.48467	396.78648	3.69189	7.00414	2111.32082	16.80535	25.57722	13.75707	182.01510	-582.65956	-2021.15163	Latridae	Pseudogoniistius	nigripes	37377001	1	AD	Attracted			
PPH_01	8	PPH_226_225_226_01d.avi	14980	PPH_226_225_225_01d.avi	14211	44.36200	Analysis	41.50667	338.56295	2.60889	9.62595	1937.69278	25.88168	10.65173	14.85439	694.65359	-482.58166	-1743.33721	Latridae	Pseudogoniistius	nigripes	37377001	1	AD	Attracted			
PPH_01	9	PPH_226_225_226_01e.avi	4370	PPH_226_225_225_01e.avi	3601	48.69667	Analysis	45.84133	562.05402	1.05232	2.28348	926.43099	12.48079	28.42959	2.02106	31.53776	-197.71353	-904.53806	Heterodontidae	Heterodontus	portusjacksoni	37007001	1	AD	Attracted			
PPH_01	10	PPH_226_225_226_01f.avi	8062	PPH_226_225_225_01f.avi	7293	62.56600	Analysis	59.71067	772.46416	5.59532	10.92865	2931.61233	23.53953	0.17969	11.18007	1067.89259	-480.05584	-2687.65746	Trygonorrhinidae	Trygonorrhina	dumerilii	37027011	1	AD	Attracted			
PPH_02	0	PPH_226_225_226_02a.avi	3312	PPH_226_225_225_02a.avi	2551	2.20800	Analysis	0.84000	310.76230	4.91575	17.02416	2296.48622	23.71446	24.23029	12.71649	923.01236	-32.89372	-2102.57345	Monacanthidae	Scobinichthys	granulatus	37465007	1	AD	Attracted			
PPH_02	1	PPH_226_225_226_02a.avi	9431	PPH_226_225_225_02a.avi	8670	6.28733	Analysis	4.91933	239.62518	1.82476	3.12222	2031.88592	10.80393	9.09675	16.89295	-13.29362	-380.64217	-1995.86954	Labridae	Pictilabrus	laticlavius	37384020	1	M	Attracted			
PPH_02	2	PPH_226_225_226_02a.avi	9717	PPH_226_225_225_02a.avi	8956	6.47800	Analysis	5.11000	376.78714	4.38999	4.15365	2387.42086	9.88937	20.41898	1.51095	397.65682	99.97165	-2351.94666	Labridae	Notolabrus	tetricus	37384003	1	M	Attracted			
PPH_02	3	PPH_226_225_226_02a.avi	17077	PPH_226_225_225_02a.avi	16316	11.38467	Analysis	10.01667	244.53923	3.79682	2.26800	1756.10554	12.75552	43.60991	24.55336	-108.55286	-372.22731	-1712.76671	Labridae	Notolabrus	tetricus	37384003	1	F	Attracted			
PPH_02	4	PPH_226_225_226_02a.avi	17077	PPH_226_225_225_02a.avi	16316	11.38467	Analysis	10.01667	177.97215	4.34418	3.09138	1860.28204	25.29702	45.02314	10.56154	-792.39011	-63.35162	-1681.88994	Labridae	Notolabrus	tetricus	37384003	1	F	Attracted			
PPH_02	5	PPH_226_225_226_02a.avi	17120	PPH_226_225_225_02a.avi	16359	11.41333	Analysis	10.04533	292.77126	4.22002	2.57570	2250.43963	8.28186	23.12258	5.16448	324.14432	-3.17944	-2226.97079	Labridae	Notolabrus	tetricus	37384003	1	F	Attracted			
PPH_02	6	PPH_226_225_226_02a.avi	17120	PPH_226_225_225_02a.avi	16359	11.41333	Analysis	10.04533	230.91942	3.68853	5.19020	2734.10429	8.60918	13.15705	2.31196	60.09423	404.84252	-2703.29752	Labridae	Notolabrus	tetricus	37384003	1	F	Attracted			
PPH_02	7	PPH_226_225_226_02c.avi	3275	PPH_226_225_225_02c.avi	2478	25.17467	Analysis	23.80667	1496.15786	8.44971	6.23392	3366.38895	13.63905	17.98537	5.68683	648.73821	457.46280	-3271.45855	Dasyatidae	Bathytoshia	brevicaudata	37035001	1	AD	Attracted	Precision		
PPH_02	8	PPH_226_225_226_02e.avi	1368	PPH_226_225_225_02e.avi	535	46.72733	Analysis	45.35933	531.65333	3.03773	16.59181	3399.21555	8.66935	3.12713	9.95291	-125.07925	496.86891	-3360.37838	Latridae	Dactylophora	nigricans	37377005	1	AD	Passing			
PPH_02	9	PPH_226_225_226_02e.avi	3908	PPH_226_225_225_02e.avi	3075	48.42067	Analysis	47.05267	290.57407	1.30536	1.22498	1376.19574	8.04813	12.27390	1.10680	189.57222	34.43358	-1362.64134	Monacanthidae	Meuschenia	freycineti	37465036	1	F	Feeding			
PPH_02	10	PPH_226_225_226_02e.avi	3908	PPH_226_225_225_02e.avi	3075	48.42067	Analysis	47.05267	356.89129	3.09974	2.83009	2592.89443	11.45155	7.68787	18.37576	441.51519	264.71562	-2541.27753	Monacanthidae	Meuschenia	freycineti	37465036	1	F	Attracted			
PPH_02	11	PPH_226_225_226_02e.avi	4100	PPH_226_225_225_02e.avi	3267	48.54867	Analysis	47.18067	353.03538	4.53218	2.40752	2276.34241	7.22204	25.49414	4.77121	77.20012	275.56018	-2258.28287	Monacanthidae	Meuschenia	freycineti	37465036	1	M	Attracted			
PPH_02	12	PPH_226_225_226_02e.avi	4246	PPH_226_225_225_02e.avi	3413	48.64600	Analysis	47.27800	365.59223	4.90667	1.86866	2237.83528	6.53541	28.81450	7.18547	-230.86082	107.59892	-2223.29316	Monacanthidae	Meuschenia	freycineti	37465036	1	M	Attracted			
PPH_02	13	PPH_226_225_226_02e.avi	6488	PPH_226_225_225_02e.avi	5655	50.14067	Analysis	48.77267	352.40815	3.59067	5.14110	3838.54979	11.15169	2.67922	4.78772	291.57087	682.75092	-3766.07250	Girellidae	Girella	zebra		1	AD	Attracted			
PPH_02	14	PPH_226_225_226_02f.avi	4316	PPH_226_225_225_02f.avi	3483	60.10867	Analysis	58.74067	605.62113	4.92277	10.09275	2560.66406	8.12971	21.96787	23.92739	358.64607	50.00513	-2534.93056	Heterodontidae	Heterodontus	portusjacksoni	37007001	1	AD	Attracted			
PPH_03	0	PPH_224_223_224_03a.avi	6690	PPH_224_223_223_03a.avi	6106	4.46000	Analysis	1.82733	427.79562	3.67648	4.74641	2048.07844	26.35321	27.58714	6.05701	720.30510	554.71907	-1835.23094	Dinolestidae	Dinolestes	lewini	37327002	1	AD	Passing			
PPH_03	1	PPH_224_223_224_03a.avi	6711	PPH_224_223_223_03a.avi	6127	4.47400	Analysis	1.84133	330.11632	3.12011	2.07522	2247.05935	20.00121	15.31992	6.49844	-423.69478	641.25216	-2111.52886	Dinolestidae	Dinolestes	lewini	37327002	1	AD	Passing			
PPH_03	2	PPH_224_223_224_03a.avi	6711	PPH_224_223_223_03a.avi	6127	4.47400	Analysis	1.84133	403.37372	4.46119	8.18993	2461.75141	26.37060	12.88471	1.99369	-973.87208	497.19730	-2205.58110	Dinolestidae	Dinolestes	lewini	37327002	1	AD	Passing			
PPH_03	3	PPH_224_223_224_03a.avi	6781	PPH_224_223_223_03a.avi	6198	4.52067	Analysis	1.88800	380.76793	2.79101	3.45033	1821.36824	27.36218	18.22027	3.25775	-795.76919	259.86692	-1617.59168	Monacanthidae	Meuschenia	freycineti	37465036	1	M	Attracted			
PPH_03	4	PPH_224_223_224_03a.avi	7011	PPH_224_223_223_03a.avi	6428	4.67400	Analysis	2.04133	197.55839	3.98507	3.71677	1789.71453	21.78231	42.61829	2.14229	618.50854	241.89897	-1661.92965	Pomacentridae	Parma	victoriae	37372006	1	AD	Attracted			
PPH_03	5	PPH_224_223_224_03a.avi	10247	PPH_224_223_223_03a.avi	9664	6.83133	Analysis	4.19867	173.32895	1.62050	0.84646	1719.29222	16.03637	0.36765	2.90009	403.86573	249.93996	-1652.38864	Labridae	Pictilabrus	laticlavius	37384020	1	F	Attracted			
PPH_03	6	PPH_224_223_224_03a.avi	12317	PPH_224_223_223_03a.avi	11733	8.21133	Analysis	5.57867	338.51118	2.84334	2.48101	2366.90372	11.02955	11.85841	14.96667	250.68380	377.10467	-2323.18379	Latridae	Pseudogoniistius	nigripes	37377001	1	AD	Attracted			
PPH_03	7	PPH_224_223_224_03a.avi	12317	PPH_224_223_223_03a.avi	11733	8.21133	Analysis	5.57867	351.11047	1.44089	6.75823	1198.56557	18.21281	26.16739	20.15178	-351.55003	129.39863	-1138.52009	Latridae	Pseudogoniistius	nigripes	37377001	1	AD	Attracted			
PPH_03	8	PPH_224_223_224_03a.avi	13272	PPH_224_223_223_03a.avi	12689	8.84800	Analysis	6.21533	413.56632	3.51778	9.46777	2644.66373	18.63605	9.88582	4.14905	-471.67048	701.24857	-2505.99754	Labridae	Notolabrus	tetricus	37384003	1	M	Attracted			
PPH_03	9	PPH_224_223_224_03a.avi	13277	PPH_224_223_223_03a.avi	12694	8.85133	Analysis	6.21867	191.57797	2.88982	4.51652	1677.19816	20.61590	40.65660	36.89821	-506.67465	303.35264	-1569.79351	Labridae	Notolabrus	tetricus	37384003	1	F	Attracted			
PPH_03	10	PPH_224_223_224_03a.avi	13289	PPH_224_223_223_03a.avi	12706	8.85933	Analysis	6.22667	297.59246	3.15773	1.54075	2009.01659	26.96255	14.82395	3.24570	-852.54308	320.80617	-1790.64272	Labridae	Notolabrus	tetricus	37384003	1	M	Passing			
PPH_03	11	PPH_224_223_224_03a.avi	13289	PPH_224_223_223_03a.avi	12706	8.85933	Analysis	6.22667	210.77929	2.66473	4.28409	2085.16510	16.54886	14.99738	34.52579	-512.10470	300.82195	-1998.79174	Labridae	Notolabrus	tetricus	37384003	1	F	Passing			
PPH_03	12	PPH_224_223_224_03a.avi	13289	PPH_224_223_223_03a.avi	12706	8.85933	Analysis	6.22667	182.76502	1.12224	0.89299	1511.78590	7.89762	6.57933	31.89310	-102.02867	180.94080	-1497.44689	Labridae	Notolabrus	tetricus	37384003	1	F	Attracted			
