OpCode	PeriodIndex	Period	FilenameStart	FrameStart	TimeStart	FilenameEnd	FrameEnd	TimeEnd	HasEnd
PPH_01	0	Analysis	PPH_226_225_226_01a.avi	4283	2.85533				0
PPH_02	0	Analysis	PPH_226_225_226_02a.avi	2052	1.36800				0
PPH_03	0	Analysis	PPH_224_223_224_03a.avi	3949	2.63267				0
PPH_04	0	Analysis	PPH_278_279_278_04a.avi	2585	1.72333				0
PPH_05	0	Analysis	PPH_180_179_180_05a.avi	3796	2.53067				0
PPH_06	0	Analysis	PPH_224_223_224_06a.avi	1541	1.02733				0
PPH_07	0	Analysis	PPH_174_173_174_07a.avi	1681	1.12067				0
PPH_08	0	Analysis	PPH_224_223_224_08a.avi	2886	1.92400				0
PPH_09	0	Analysis	PPH_180_179_180_09a.avi	4800	3.20000				0
PPH_10	0	Analysis	PPH_278_279_278_10a.avi	3858	2.57200				0
PPH_11	0	Analysis	PPH_226_225_226_11a.avi	2753	1.83533				0
PPH_12	0	Analysis	PPH_174_173_174_12a.avi	3426	2.28400				0
PPH_13	0	Analysis	PPH_226_225_226_13a.avi	2967	1.97800				0
PPH_14	0	Analysis	PPH_278_279_278_14a.avi	3320	2.21333				0
PPH_15	0	Analysis	PPH_178_177_178_15a.avi	1883	1.25533				0
PPH_16	0	Analysis	PPH_178_177_178_16a.avi	3572	2.38133				0
PPH_18	0	Analysis	PPH_180_179_180_18a.avi	1318	0.87867				0
PPH_19	0	Analysis	PPH_226_225_226_19a.avi	2376	1.58400				0
PPH_20	0	Analysis	PPH_180_179_180_20a.avi	2767	1.84467				0
PPH_21	0	Analysis	PPH_174_173_174_21a.avi	3071	2.04733				0
PPH_22	0	Analysis	PPH_224_223_224_22a.avi	3013	2.00867				0
PPH_23	0	Analysis	PPH_174_173_174_23a(1).avi	1834	-1.00000				0
PPH_24	0	Analysis	PPH_178_177_178_24a.avi	1871	1.24733				0
PPH_25	0	Analysis	PPH_174_173_173_25a.avi	1385	0.92333				0
PPH_26	0	Analysis	PPH_278_279_278_26a.avi	2528	1.68533				0
PPH_28	0	Analysis	PPH_178_177_178_28a.avi	2750	1.83333				0
PPH_29	0	Analysis	PPH_224_223_224_29a.avi	2952	1.96800				0
PPH_30	0	Analysis	PPH_178_177_178_30a.avi	3939	2.62600				0
PPH_31	0	Analysis	PPH_180_179_180_31a.avi	1785	1.19000				0
PPH_32	0	Analysis	PPH_226_225_226_32a.avi	2603	1.73533				0
PPH_33	0	Analysis	PPH_178_177_178_33a.avi	1612	1.07467				0
PPH_34	0	Analysis	PPH_224_223_224_34a.avi	2020	1.34667				0
PPH_35	0	Analysis	PPH_180_179_180_35a.avi	2565	1.71000				0
PPH_36	0	Analysis	PPH_226_225_226_36a.avi	1473	0.98200				0
PPH_37	0	Analysis	PPH_178_177_178_37a.avi	3136	2.09067				0
PPH_38	0	Analysis	PPH_224_223_224_38a.avi	2485	1.65667				0
PPH_39	0	Analysis	PPH_174_173_174_39a.avi	2689	1.79267				0
PPH_40	0	Analysis	PPH_180_179_180_40a.avi	3294	2.19600				0
PPH_41	0	Analysis	PPH_278_279_278_41a(1).avi	4007	2.67133				0
PPH_42	0	Analysis	PPH_278_279_278_42a.avi	4417	2.94467				0
PPH_43	0	Analysis	PPH_174_173_174_43a.avi	2490	1.66000				0
PPH_44	0	Analysis	PPH_278_279_278_44a.avi	4849	3.23267				0
PPH_45	0	Analysis	PPH_224_223_224_45a.avi	3431	2.28733				0
PPH_46	0	Analysis	PPH_226_225_225_46a.avi	9491	6.32733				0
PPH_47	0	Analysis	PPH_174_173_174_47b.avi	0	0.00000				0
PPH_48	0	Analysis	PPH_180_179_180_48a.avi	3140	2.09333				0
PPH_50	0	Analysis	PPH_180_179_180_50a.avi	3325	2.21667				0
PPH_51	0	Analysis	PPH_224_223_224_51a.avi	3846	2.56400				0
PPH_52	0	Analysis	PPH_178_177_178_52a.avi	1622	1.08133				0
PPH_53	0	Analysis	PPH_174_173_174_53a.avi	3077	2.05133				0
PPH_54	0	Analysis	PPH_180_179_180_54a.avi	2117	1.41133				0
PPH_55	0	Analysis	PPH_224_223_224_55a.avi	3466	2.31067				0
PPH_57	0	Analysis	PPH_178_177_178_57a.avi	1985	1.32333				0
PPH_58	0	Analysis	PPH_178_177_178_58a(1).avi	1611	1.07400				0
PPH_59	0	Analysis	PPH_174_173_173_59a.avi	4586	3.05733				0
PPH_61	0	Analysis	PPH_226_225_226_61a.avi	2336	1.55733				0
