OpCode	ExportVersion	DateTimeCreate	PictureDirectory	EMObs
PPH_01	1.09	2024 02 29 10:44:02	N:\BRUV\03_Data\2018\Port Phillip Heads\01_Footage\02_Processing\	PPH_01_226_225_226.EMObs
PPH_02	1.09	2024 02 29 10:44:02	F:\BRUV\2018\PortPhillipHeads\01_Footage\02_Processing\	PPH_02_226_225_226.EMObs
PPH_03	1.09	2024 02 29 10:44:02	N:\BRUV\03_Data\2018\Port Phillip Heads\01_Footage\02_Processing\	PPH_03_224_223_224.EMObs
PPH_04	1.09	2024 02 29 10:44:02	N:\BRUV\03_Data\2018\Port Phillip Heads\01_Footage\02_Processing\	PPH_04_278_279_278.EMObs
PPH_05	1.09	2024 02 29 10:44:02	N:\BRUV\03_Data\2018\Port Phillip Heads\01_Footage\02_Processing\	PPH_05_180_179_180.EMObs
PPH_06	1.09	2024 02 29 10:44:02	N:\BRUV\03_Data\2018\Port Phillip Heads\01_Footage\02_Processing\	PPH_06_224_223_224.EMObs
PPH_07	1.09	2024 02 29 10:44:02	N:\BRUV\03_Data\2018\Port Phillip Heads\01_Footage\02_Processing\	PPH_07_174_173_174.EMObs
PPH_08	1.09	2024 02 29 10:44:02	N:\BRUV\03_Data\2018\Port Phillip Heads\01_Footage\02_Processing\	PPH_08_224_223_224.EMObs
PPH_09	1.09	2024 02 29 10:44:02	N:\BRUV\03_Data\2018\Port Phillip Heads\01_Footage\02_Processing\	PPH_09_180_179_180.EMObs
PPH_10	1.09	2024 02 29 10:44:02	N:\BRUV\03_Data\2018\Port Phillip Heads\01_Footage\02_Processing\	PPH_10_278_279_278.EMObs
PPH_11	1.09	2024 02 29 10:44:02	N:\BRUV\03_Data\2018\Port Phillip Heads\01_Footage\02_Processing\	PPH_11_226_225_226.EMObs
PPH_12	1.09	2024 02 29 10:44:02	N:\BRUV\03_Data\2018\Port Phillip Heads\01_Footage\02_Processing\	PPH_12_174_173_174.EMObs
PPH_13	1.09	2024 02 29 10:44:02	N:\BRUV\03_Data\2018\Port Phillip Heads\01_Footage\02_Processing\	PPH_13_226_225_226.EMObs
